type	latitude	longitude	altitude (m)	name	desc
T	-37.849998722	144.969050393	11.0	Albert Park Inner	
T	-37.849307073	144.968180022	6.7		
T	-37.848956020	144.967744829	6.2		
T	-37.848378034	144.967017850	7.3		
T	-37.847796683	144.966287406	3.9		
T	-37.847649783	144.966103167	4.6		
T	-37.847626413	144.966079081	4.6		
T	-37.847603826	144.966066623	4.6		
T	-37.847580500	144.966061559	4.6		
T	-37.847562137	144.966067467	4.5		
T	-37.847534989	144.966087364	4.3		
T	-37.847488824	144.966125076	4.1		
T	-37.847401269	144.966183454	4.7		
T	-37.847300626	144.966240300	5.4		
T	-37.847247052	144.966265310	5.8		
T	-37.847177456	144.966288827	6.5		
T	-37.847071691	144.966318125	7.6		
T	-37.846981913	144.966330200	8.6		
T	-37.846880307	144.966335271	9.2		
T	-37.846819034	144.966331102	9.4		
T	-37.846744045	144.966320913	9.5		
T	-37.846653635	144.966303675	9.6		
T	-37.846588641	144.966283542	9.2		
T	-37.846507895	144.966251674	8.7		
T	-37.846423144	144.966205190	7.9		
T	-37.846295100	144.966119745	7.4		
T	-37.846237470	144.966072501	7.3		
T	-37.846177888	144.966014375	7.0		
T	-37.846117274	144.965947171	6.2		
T	-37.846070722	144.965889291	5.9		
T	-37.846017192	144.965815720	5.6		
T	-37.845990043	144.965787554	5.7		
T	-37.845855185	144.965597317	5.3		
T	-37.845778919	144.965490042	5.7		
T	-37.845691754	144.965367309	6.2		
T	-37.845635220	144.965288945	6.0		
T	-37.845594328	144.965229903	6.3		
T	-37.845468862	144.965059501	7.3		
T	-37.845294437	144.964843579	8.3		
T	-37.845114920	144.964625701	8.0		
T	-37.844928575	144.964408579	7.9		
T	-37.844652544	144.964108380	9.4		
T	-37.844382255	144.963834178	9.7		
T	-37.844148510	144.963604568	13.0		
T	-37.843882528	144.963363995	12.9		
T	-37.843599916	144.963127065	9.7		
T	-37.843372519	144.962939841	9.5		
T	-37.842913313	144.962598113	9.0		
T	-37.842518255	144.962336683	10.8		
T	-37.842323053	144.962211639	10.7		
T	-37.842299598	144.962200474	10.4		
T	-37.842273500	144.962196646	10.2		
T	-37.842254843	144.962198359	10.1		
T	-37.842234200	144.962200890	9.9		
T	-37.842210780	144.962211610	9.9		
T	-37.842189757	144.962226686	9.9		
T	-37.842176224	144.962238083	9.8		
T	-37.842155914	144.962260956	9.7		
T	-37.842142752	144.962285313	9.6		
T	-37.842133893	144.962321035	9.4		
T	-37.842108103	144.962500734	9.0		
T	-37.841972355	144.963452331	2.6		
T	-37.841963678	144.963497016	2.5		
T	-37.841941893	144.963565623	2.2		
T	-37.841920621	144.963613487	2.1		
T	-37.841906007	144.963640450	2.5		
T	-37.841874272	144.963683513	3.0		
T	-37.841835896	144.963725492	3.6		
T	-37.841797959	144.963755658	4.1		
T	-37.841744190	144.963786997	4.6		
T	-37.841690647	144.963806443	5.0		
T	-37.841650043	144.963812009	5.2		
T	-37.841608582	144.963813290	5.4		
T	-37.841497299	144.963809494	5.8		
T	-37.840496678	144.963767735	12.5		
T	-37.840127091	144.963750540	8.9		
T	-37.840066517	144.963749316	8.5		
T	-37.840017134	144.963749239	8.1		
T	-37.839986206	144.963754775	8.1		
T	-37.839935687	144.963771145	8.5		
T	-37.839892931	144.963788763	8.8		
T	-37.839856967	144.963812686	9.1		
T	-37.839826974	144.963835092	9.4		
