type	latitude	longitude	altitude (m)	name	desc
T	-37.850131214	144.968992121	11.6	Albert Park Outer	
T	-37.850105992	144.968962020	11.6		
T	-37.850069999	144.968915913	11.5		
T	-37.849741647	144.968505926	10.1		
T	-37.849362207	144.968026160	7.1		
T	-37.848867932	144.967406447	8.6		
T	-37.848025934	144.966349656	5.8		
T	-37.847724325	144.965972944	5.4		
T	-37.847710259	144.965958389	5.4		
T	-37.847690489	144.965940444	5.5		
T	-37.847676447	144.965931236	5.5		
T	-37.847659563	144.965921126	5.5		
T	-37.847640583	144.965913407	5.6		
T	-37.847615309	144.965907088	5.6		
T	-37.847587721	144.965904133	5.6		
T	-37.847560954	144.965906043	5.5		
T	-37.847533978	144.965913409	5.5		
T	-37.847508196	144.965924319	5.4		
T	-37.847489176	144.965937339	5.3		
T	-37.847468262	144.965953797	5.3		
T	-37.847436543	144.965979580	5.3		
T	-37.847394538	144.966012399	5.3		
T	-37.847362436	144.966035342	5.4		
T	-37.847338863	144.966047866	5.5		
T	-37.847243041	144.966102460	5.9		
T	-37.847198668	144.966122882	6.3		
T	-37.847127685	144.966149160	7.0		
T	-37.847054970	144.966169314	7.8		
T	-37.846929472	144.966188491	9.0		
T	-37.846846530	144.966189084	9.1		
T	-37.846758829	144.966180245	9.2		
T	-37.846667938	144.966162731	9.2		
T	-37.846617532	144.966150049	8.8		
T	-37.846535268	144.966119572	8.1		
T	-37.846445531	144.966072027	7.4		
T	-37.846373283	144.966028502	7.0		
T	-37.846305430	144.965974943	6.9		
T	-37.846235172	144.965910266	6.4		
T	-37.846164692	144.965832403	5.4		
T	-37.846111594	144.965764008	5.0		
T	-37.845993321	144.965595613	5.1		
T	-37.845840445	144.965387003	5.6		
T	-37.845684797	144.965170159	6.8		
T	-37.845118845	144.964451949	8.4		
T	-37.844762069	144.964058537	9.4		
T	-37.844503442	144.963792991	9.5		
T	-37.844365898	144.963655087	10.6		
T	-37.844208084	144.963500846	12.2		
T	-37.843961031	144.963276600	12.1		
T	-37.843615875	144.962987557	10.0		
T	-37.843317875	144.962746421	9.6		
T	-37.843069206	144.962563353	8.4		
T	-37.842772830	144.962357865	10.5		
T	-37.842346529	144.962083287	10.1		
T	-37.842282158	144.962066466	9.4		
T	-37.842230639	144.962067119	9.0		
T	-37.842190010	144.962076313	8.8		
T	-37.842144515	144.962104919	8.8		
T	-37.842108117	144.962141536	8.9		
T	-37.842081043	144.962180291	9.1		
T	-37.842064178	144.962210157	9.3		
T	-37.842047129	144.962254781	9.3		
T	-37.842031267	144.962325356	9.2		
T	-37.842022123	144.962365821	9.1		
T	-37.842014378	144.962405821	9.1		
T	-37.842000074	144.962500571	9.0		
T	-37.841984311	144.962615006	8.5		
T	-37.841970356	144.962744804	8.0		
T	-37.841964563	144.962799484	7.7		
T	-37.841946232	144.962933245	6.9		
T	-37.841908121	144.963196247	4.5		
T	-37.841875914	144.963418130	2.9		
T	-37.841861780	144.963481973	2.8		
T	-37.841840878	144.963533392	2.7		
T	-37.841816851	144.963571336	2.6		
T	-37.841785921	144.963612269	2.6		
T	-37.841756575	144.963639306	3.0		
T	-37.841730626	144.963656634	3.3		
T	-37.841691153	144.963676862	3.6		
T	-37.841659804	144.963683803	3.8		
T	-37.841629039	144.963687171	4.0		
T	-37.841489399	144.963682422	4.4		
T	-37.841221658	144.963671886	6.0		
T	-37.840710820	144.963652474	11.8		
T	-37.840336907	144.963635069	9.8		
T	-37.840032259	144.963622716	7.3		
T	-37.840002749	144.963621807	7.1		
T	-37.839955138	144.963631225	7.5		
T	-37.839883198	144.963654392	8.1		
T	-37.839845925	144.963671396	8.4		
T	-37.839800651	144.963700147	8.8		
T	-37.839755859	144.963736515	9.3		
T	-37.839699134	144.963796902	9.8		
T	-37.839671090	144.963832656	10.0		
T	-37.839639778	144.963882103	10.3		
T	-37.839525294	144.964079601	11.2		
T	-37.839499245	144.964112130	11.4		
T	-37.839243491	144.964560081	13.6		
T	-37.839204183	144.964639751	14.2		
T	-37.839047572	144.964912769	16.4		
T	-37.838981910	144.965030308	17.4		
T	-37.838912330	144.965172228	17.4		
T	-37.838831077	144.965352629	16.6		
T	-37.838760943	144.965545663	15.0		
T	-37.838729531	144.965634540	14.4		
T	-37.838562399	144.966214980	10.8		
T	-37.838460569	144.966575572	10.5		
T	-37.838428606	144.966688950	10.7		
T	-37.838369445	144.966858907	11.0		
T	-37.838283401	144.967086117	11.3		
T	-37.838232969	144.967207751	11.6		
T	-37.838149402	144.967392764	11.3		
T	-37.838089895	144.967509960	11.1		
T	-37.837984758	144.967702624	11.1		
T	-37.837957974	144.967749357	11.3		
T	-37.837939952	144.967800716	11.4		
T	-37.837937093	144.967856488	11.3		
T	-37.837934816	144.967903031	11.2		
T	-37.837940182	144.967952024	11.0		
T	-37.837957043	144.968003031	10.8		
T	-37.837994065	144.968076914	10.4		
T	-37.838093067	144.968234854	9.7		
T	-37.838155610	144.968320608	9.3		
T	-37.838220837	144.968422003	9.2		
T	-37.838270992	144.968504512	9.4		
T	-37.838293431	144.968553690	9.6		
T	-37.838330665	144.968632288	10.1		
T	-37.838369180	144.968732178	10.4		
T	-37.838396834	144.968815555	10.7		
T	-37.838421543	144.968891614	11.0		
T	-37.838444926	144.968999877	11.2		
T	-37.838464149	144.969146329	11.5		
T	-37.838471094	144.969270166	10.9		
T	-37.838475913	144.969469852	9.7		
T	-37.838492631	144.969637458	7.9		
T	-37.838507289	144.969744289	6.9		
T	-37.838530697	144.969879696	6.3		
T	-37.838562626	144.970013150	5.8		
T	-37.838597839	144.970128518	5.5		
T	-37.838658397	144.970311986	5.2		
T	-37.838742216	144.970505906	4.0		
T	-37.838827901	144.970658257	3.3		
T	-37.838952884	144.970849167	3.5		
T	-37.839072846	144.970998092	4.3		
T	-37.839166809	144.971101763	5.0		
T	-37.839250392	144.971182034	6.8		
T	-37.839378262	144.971282686	8.8		
T	-37.839534763	144.971386385	10.3		
T	-37.839668990	144.971450900	10.8		
T	-37.839816061	144.971511199	9.2		
T	-37.840017098	144.971564796	6.3		
T	-37.841154820	144.971821891	10.7		
T	-37.841332158	144.971871103	11.8		
T	-37.841392514	144.971875928	12.3		
T	-37.841464169	144.971871936	13.3		
T	-37.841559188	144.971867849	14.7		
T	-37.841629978	144.971861705	15.6		
T	-37.841700967	144.971840812	16.0		
T	-37.841752841	144.971826506	15.9		
T	-37.841874783	144.971787909	15.6		
T	-37.841978009	144.971735719	14.4		
T	-37.842056545	144.971681408	12.2		
T	-37.842311357	144.971454638	3.6		
T	-37.842500552	144.971274142	-1.4		
T	-37.842606214	144.971182935	1.3		
T	-37.842718499	144.971114614	5.8		
T	-37.842829030	144.971061877	8.2		
T	-37.842907688	144.971034924	8.2		
T	-37.844227559	144.970724429	9.7		
T	-37.844462318	144.970681983	9.9		
T	-37.844664501	144.970672910	9.5		
T	-37.844893218	144.970676900	9.8		
T	-37.845104336	144.970696582	8.1		
T	-37.845390100	144.970754901	4.0		
T	-37.845576831	144.970805952	5.3		
T	-37.845852705	144.970918764	13.4		
T	-37.845971961	144.970977177	14.0		
T	-37.846103406	144.971051750	13.6		
T	-37.846302391	144.971179774	10.5		
T	-37.846436259	144.971282303	8.3		
T	-37.846542624	144.971365393	6.6		
T	-37.846667041	144.971476315	4.4		
T	-37.846772063	144.971579416	4.1		
T	-37.846881965	144.971696010	3.8		
T	-37.846999273	144.971838029	4.8		
T	-37.847074339	144.971932812	5.5		
T	-37.847219975	144.972137267	7.0		
T	-37.847438731	144.972448042	9.5		
T	-37.847787289	144.972953522	10.7		
T	-37.847857933	144.973057370	10.0		
T	-37.847974583	144.973223848	9.4		
T	-37.848028644	144.973304148	9.1		
T	-37.848038301	144.973318467	9.1		
T	-37.848056930	144.973376302	9.1		
T	-37.848071515	144.973438536	9.1		
T	-37.848082859	144.973509332	9.2		
T	-37.848080961	144.973599648	9.5		
T	-37.848043354	144.973994426	12.4		
T	-37.848034253	144.974131158	12.8		
T	-37.847983364	144.974638304	11.6		
T	-37.847974231	144.974742132	12.0		
T	-37.847974064	144.974788047	12.5		
T	-37.847979545	144.974826847	13.0		
T	-37.847997537	144.974865339	13.5		
T	-37.848105877	144.975028603	14.4		
T	-37.848201743	144.975165770	12.7		
T	-37.848228000	144.975209413	12.3		
T	-37.848364299	144.975411340	11.3		
T	-37.848541643	144.975669607	13.8		
T	-37.848573648	144.975719931	14.0		
T	-37.848665691	144.975881420	14.1		
T	-37.848766633	144.976036889	13.0		
T	-37.848933451	144.976287165	10.3		
T	-37.849007118	144.976392875	10.0		
T	-37.849159920	144.976610956	10.0		
T	-37.849326051	144.976847340	10.6		
T	-37.849394786	144.976946778	10.8		
T	-37.849441391	144.977010537	11.7		
T	-37.849488898	144.977068410	12.1		
T	-37.849527930	144.977114207	12.3		
T	-37.849563477	144.977155223	12.5		
T	-37.849604407	144.977198049	12.6		
T	-37.849646952	144.977235806	12.7		
T	-37.849707981	144.977288209	12.8		
T	-37.849751875	144.977324824	12.7		
T	-37.849861393	144.977410765	12.0		
T	-37.849932446	144.977459812	11.5		
T	-37.850058475	144.977543094	11.3		
T	-37.850143042	144.977594463	11.5		
T	-37.850305203	144.977679776	11.5		
T	-37.850456910	144.977749322	11.4		
T	-37.850542506	144.977786577	11.2		
T	-37.851346732	144.978077012	10.2		
T	-37.851956520	144.978296119	5.8		
T	-37.852603136	144.978527804	7.3		
T	-37.852797622	144.978595907	7.9		
T	-37.852885383	144.978625153	7.7		
T	-37.852999063	144.978647209	7.5		
T	-37.853036740	144.978639121	7.3		
T	-37.853068764	144.978622016	7.0		
T	-37.853108226	144.978592585	6.7		
T	-37.853138791	144.978568098	6.6		
T	-37.853158239	144.978551065	6.6		
T	-37.853177459	144.978530051	6.7		
T	-37.853203954	144.978490451	6.8		
T	-37.853234463	144.978433679	7.2		
T	-37.853252088	144.978389886	7.5		
T	-37.853268432	144.978335090	8.0		
T	-37.853281453	144.978314490	8.3		
T	-37.853350601	144.978091733	11.5		
T	-37.853492777	144.977634508	13.6		
T	-37.853508366	144.977567528	13.5		
T	-37.853674968	144.977020047	11.3		
T	-37.853895475	144.976314118	7.4		
T	-37.853918867	144.976237599	6.6		
T	-37.853941206	144.976143755	5.5		
T	-37.853952660	144.976057398	5.3		
T	-37.853955657	144.975970759	5.5		
T	-37.853949634	144.975901799	5.9		
T	-37.853941204	144.975813865	6.4		
T	-37.853923429	144.975724858	7.3		
T	-37.853890013	144.975630892	8.4		
T	-37.853856469	144.975552654	9.6		
T	-37.853812836	144.975477221	10.6		
T	-37.853762098	144.975405168	11.6		
T	-37.853711877	144.975350466	12.5		
T	-37.853667534	144.975308055	13.2		
T	-37.853620713	144.975271774	13.8		
T	-37.853584927	144.975247764	13.7		
T	-37.853561476	144.975223753	13.4		
T	-37.853131717	144.974927150	6.0		
T	-37.853056843	144.974881020	4.7		
T	-37.852695592	144.974634277	6.4		
T	-37.852543253	144.974524071	7.4		
T	-37.852399582	144.974413704	8.0		
T	-37.852249327	144.974295628	7.6		
T	-37.852158833	144.974218257	6.9		
T	-37.852127599	144.974184893	6.7		
T	-37.852116282	144.974156835	6.6		
T	-37.852112458	144.974124525	6.5		
T	-37.852113896	144.974093471	6.3		
T	-37.852118844	144.974063431	6.3		
T	-37.852129968	144.974039090	6.2		
T	-37.852185670	144.973979022	6.2		
T	-37.852565458	144.973564809	7.9		
T	-37.852755023	144.973353768	7.9		
T	-37.852793817	144.973300851	7.9		
T	-37.852830760	144.973234616	7.7		
T	-37.852851793	144.973190082	7.6		
T	-37.852867514	144.973154661	7.6		
T	-37.852884361	144.973105258	7.5		
T	-37.852899650	144.973053909	7.4		
T	-37.852912151	144.972997297	7.4		
T	-37.852919397	144.972952821	7.3		
T	-37.852924734	144.972913902	7.3		
T	-37.852928502	144.972867485	7.2		
T	-37.852930443	144.972804956	7.1		
T	-37.852923070	144.972717370	6.9		
T	-37.852913864	144.972651587	6.8		
T	-37.852899124	144.972583947	6.6		
T	-37.852879964	144.972525045	6.4		
T	-37.852866937	144.972489091	6.3		
T	-37.852840417	144.972421344	6.2		
T	-37.852805083	144.972361200	6.0		
T	-37.852768289	144.972310184	6.0		
T	-37.852678863	144.972193789	5.8		
T	-37.852668518	144.972171271	5.9		
T	-37.852298116	144.971703983	6.2		
T	-37.852188038	144.971574584	6.1		
T	-37.852027008	144.971372164	6.7		
T	-37.851655754	144.970906032	9.0		
T	-37.851430053	144.970626783	9.0		
T	-37.851176236	144.970306422	9.9		
T	-37.850717507	144.969731243	9.6		
