type	latitude	longitude	altitude (m)	name	desc
T	52.962272687	6.524179349	12.0	Assen Inner	
T	52.963285644	6.526272944	11.2		
T	52.964468496	6.528694606	12.2		
T	52.964554835	6.528882239	12.6		
T	52.964577583	6.528948601	12.5		
T	52.964589042	6.529014573	12.5		
T	52.964591596	6.529071786	12.5		
T	52.964587764	6.529124249	12.5		
T	52.964578849	6.529175973	12.6		
T	52.964543537	6.529284210	13.1		
T	52.964406436	6.529579473	13.9		
T	52.964279515	6.529864852	13.2		
T	52.963851669	6.530704320	11.0		
T	52.963812565	6.530784595	11.0		
T	52.963780646	6.530833336	11.0		
T	52.963752349	6.530862232	10.9		
T	52.963722762	6.530880395	10.8		
T	52.963683810	6.530901821	10.8		
T	52.963562740	6.530935678	10.5		
T	52.963172860	6.531019805	10.2		
T	52.962712716	6.531119141	9.5		
T	52.962567907	6.531145555	10.5		
T	52.962447650	6.531168775	11.0		
T	52.962403260	6.531172795	11.0		
T	52.962355997	6.531169908	11.0		
T	52.962299188	6.531155831	11.0		
T	52.962243541	6.531125761	11.0		
T	52.962200566	6.531097389	10.9		
T	52.962150512	6.531049958	10.8		
T	52.962101419	6.530990191	10.8		
T	52.962051286	6.530896508	10.9		
T	52.962022702	6.530829999	11.0		
T	52.962003056	6.530770982	11.0		
T	52.961983661	6.530700458	11.0		
T	52.961968466	6.530613139	11.0		
T	52.961958770	6.530498989	11.0		
T	52.961961134	6.530386554	11.0		
T	52.961970111	6.530265826	10.9		
T	52.961991576	6.530149870	10.8		
T	52.962084025	6.529813906	9.7		
T	52.962123314	6.529708087	9.1		
T	52.962159157	6.529633317	8.7		
T	52.962202604	6.529572545	8.2		
T	52.962244216	6.529522079	8.0		
T	52.962297765	6.529480765	8.0		
T	52.962362399	6.529447252	8.0		
T	52.962431167	6.529424714	8.1		
T	52.962495419	6.529418479	8.1		
T	52.962568881	6.529433390	8.3		
T	52.962654952	6.529470608	8.6		
T	52.962706649	6.529513061	8.9		
T	52.962817100	6.529623056	9.7		
T	52.963010435	6.529821735	10.4		
T	52.963085956	6.529895951	10.6		
T	52.963138132	6.529933006	10.5		
T	52.963183799	6.529957984	10.5		
T	52.963233048	6.529972428	10.3		
T	52.963293493	6.529976144	10.1		
T	52.963342069	6.529967941	10.0		
T	52.963402353	6.529946007	10.0		
T	52.963459252	6.529907288	10.2		
T	52.963512365	6.529855228	10.3		
T	52.963550009	6.529808107	10.5		
T	52.963576941	6.529752132	10.8		
T	52.963595583	6.529701957	10.9		
T	52.963611495	6.529630694	11.0		
T	52.963618771	6.529553288	11.0		
T	52.963618771	6.529476310	11.0		
T	52.963610045	6.529412809	10.9		
T	52.963595586	6.529348269	10.6		
T	52.963572670	6.529291627	10.3		
T	52.963545798	6.529244485	10.0		
T	52.963387471	6.529044694	8.8		
T	52.963112808	6.528767731	9.2		
T	52.962948240	6.528626290	10.0		
T	52.962802634	6.528531759	10.0		
T	52.962595577	6.528407037	10.0		
T	52.962422998	6.528319421	10.0		
T	52.962268671	6.528237660	10.1		
T	52.962188918	6.528190644	10.1		
T	52.962104798	6.528128325	10.4		
T	52.961971459	6.528018857	10.9		
T	52.961744597	6.527794621	11.0		
T	52.960201400	6.526155536	10.7		
T	52.959610623	6.525420858	11.1		
T	52.958470684	6.523987880	12.5		
T	52.958377726	6.523865900	12.8		
T	52.958330362	6.523793363	12.6		
T	52.958298156	6.523726893	12.3		
T	52.958223019	6.523546066	11.6		
T	52.957624401	6.521958905	12.9		
T	52.957561417	6.521787463	13.2		
T	52.957508839	6.521662426	13.0		
T	52.957459847	6.521549355	12.4		
T	52.957407421	6.521451819	11.9		
T	52.957358958	6.521381663	11.5		
