type	latitude	longitude	altitude (m)	name	desc
T	52.962371087	6.524049636	12.0	Assen Outer	
T	52.963130709	6.525615989	12.0		
T	52.964172435	6.527758976	13.0		
T	52.964451251	6.528324148	12.0		
T	52.964643738	6.528742407	11.8		
T	52.964674012	6.528805438	11.9		
T	52.964700077	6.528887078	12.1		
T	52.964717215	6.528981719	12.0		
T	52.964720652	6.529075988	12.0		
T	52.964714914	6.529171369	12.0		
T	52.964694371	6.529268549	12.5		
T	52.964661491	6.529370304	13.0		
T	52.964533537	6.529638782	13.7		
T	52.964176719	6.530381386	12.6		
T	52.963966432	6.530824101	11.3		
T	52.963903271	6.530941369	10.7		
T	52.963860133	6.531011714	10.4		
T	52.963819061	6.531053930	10.2		
T	52.963776359	6.531087741	10.1		
T	52.963723617	6.531112453	10.0		
T	52.963589384	6.531145963	10.0		
T	52.963283678	6.531203728	10.0		
T	52.962690341	6.531311837	9.6		
T	52.962522716	6.531335641	10.8		
T	52.962359080	6.531357832	11.0		
T	52.962288483	6.531337121	11.0		
T	52.962203874	6.531296478	10.9		
T	52.962153856	6.531260882	10.8		
T	52.962117366	6.531229658	10.6		
T	52.962046444	6.531147456	10.4		
T	52.961974678	6.531030179	10.4		
T	52.961906959	6.530858115	10.8		
T	52.961878729	6.530751487	10.8		
T	52.961857898	6.530617110	10.9		
T	52.961848845	6.530460512	11.1		
T	52.961851497	6.530351751	11.2		
T	52.961862401	6.530235191	11.3		
T	52.961886308	6.530119476	11.3		
T	52.961974805	6.529779865	10.7		
T	52.962002081	6.529692265	10.4		
T	52.962042746	6.529587835	9.9		
T	52.962093724	6.529495370	9.4		
T	52.962150755	6.529411966	8.9		
T	52.962208790	6.529350633	8.5		
T	52.962283910	6.529295130	8.5		
T	52.962357134	6.529256130	8.7		
T	52.962419721	6.529238752	8.7		
T	52.962496879	6.529233603	8.8		
T	52.962571058	6.529245116	9.0		
T	52.962644951	6.529274510	9.1		
T	52.962728164	6.529332935	9.2		
T	52.962898000	6.529502364	9.6		
T	52.963080701	6.529681372	10.0		
T	52.963129671	6.529733194	10.0		
T	52.963186833	6.529770087	10.1		
T	52.963253189	6.529792378	10.1		
T	52.963298525	6.529792803	10.0		
T	52.963342213	6.529784066	10.0		
T	52.963389122	6.529758306	10.2		
T	52.963430295	6.529723400	10.3		
T	52.963463758	6.529688646	10.5		
T	52.963485454	6.529645746	10.5		
T	52.963500698	6.529596101	10.6		
T	52.963509247	6.529542522	10.6		
T	52.963509250	6.529489360	10.6		
T	52.963502409	6.529453370	10.6		
T	52.963490525	6.529413154	10.5		
T	52.963476242	6.529383653	10.3		
T	52.963364173	6.529234272	9.4		
T	52.963162361	6.529015694	8.8		
T	52.962951708	6.528820316	9.5		
T	52.962774505	6.528683276	10.0		
T	52.962559833	6.528545043	10.0		
T	52.962370514	6.528451462	10.0		
T	52.962229776	6.528379560	10.0		
T	52.962129908	6.528315172	10.3		
T	52.961989869	6.528206427	10.8		
T	52.961879468	6.528107847	11.0		
T	52.961747528	6.527969909	11.0		
T	52.960393410	6.526533692	11.9		
T	52.960160462	6.526289441	10.6		
T	52.959611503	6.525607142	11.4		
T	52.958280663	6.523936922	12.8		
T	52.958244702	6.523882118	12.7		
T	52.958199549	6.523772923	12.1		
T	52.958124208	6.523563181	11.2		
T	52.957684342	6.522401143	11.3		
T	52.957471825	6.521827695	12.9		
T	52.957421541	6.521711119	12.7		
T	52.957389171	6.521642316	12.5		
T	52.957336464	6.521543345	12.0		
T	52.957267107	6.521438946	11.3		
T	52.957224352	6.521385721	11.0		
T	52.957165280	6.521318779	11.0		
T	52.957099327	6.521255505	11.0		
T	52.957026575	6.521201777	11.0		
T	52.956948452	6.521153894	11.0		
T	52.956851280	6.521114448	11.0		
T	52.956753551	6.521091606	11.0		
T	52.956489598	6.521068702	10.9		
T	52.955168190	6.520952367	11.0		
T	52.955139406	6.520939365	11.0		
T	52.955059873	6.520885056	11.0		
T	52.955003334	6.520838781	11.0		
T	52.954937005	6.520763382	11.0		
T	52.954866239	6.520662671	11.0		
T	52.954799548	6.520534800	10.9		
T	52.954750141	6.520407617	10.5		
T	52.954721248	6.520299432	10.1		
T	52.954693246	6.520138948	10.0		
T	52.954682265	6.520033944	10.0		
T	52.954689409	6.519675850	10.1		
T	52.954706675	6.519268388	10.7		
T	52.954726721	6.518887570	12.0		
T	52.954738969	6.518563567	12.0		
T	52.954738972	6.518458998	12.0		
T	52.954733702	6.518345878	12.0		
T	52.954708584	6.517910919	12.0		
T	52.954681735	6.517519522	11.4		
T	52.954652072	6.517093736	11.4		
T	52.954643520	6.516975307	11.3		
T	52.954641636	6.516779866	11.3		
T	52.954642068	6.516406201	12.2		
T	52.954645071	6.515165708	10.6		
T	52.954643892	6.514541865	11.3		
T	52.954639949	6.514407473	11.4		
T	52.954629616	6.514323046	11.6		
T	52.954617087	6.514248813	11.8		
T	52.954599136	6.514185581	12.0		
T	52.954579318	6.514125779	12.0		
