type	latitude	longitude	altitude (m)	name	desc
T	51.360258416	0.260396198	127.9	Brands Hatch Indy Inner	
T	51.360362743	0.260751836	128.6		
T	51.360434804	0.261001400	129.3		
T	51.360493934	0.261217540	129.7		
T	51.360558207	0.261440874	130.1		
T	51.360639216	0.261729099	131.0		
T	51.360694405	0.261946156	131.0		
T	51.360717798	0.262042610	131.0		
T	51.360737297	0.262142802	130.9		
T	51.360756938	0.262252737	130.8		
T	51.360772345	0.262344436	130.7		
T	51.360788886	0.262450570	130.5		
T	51.360807128	0.262579835	130.3		
T	51.360818479	0.262711132	130.0		
T	51.360828032	0.262855577	129.9		
T	51.360839535	0.263093470	129.8		
T	51.360841823	0.263264479	128.6		
T	51.360839258	0.263375425	128.1		
T	51.360826389	0.263500661	127.9		
T	51.360816404	0.263570603	127.8		
T	51.360806742	0.263635275	127.5		
T	51.360792472	0.263702554	126.8		
T	51.360772421	0.263780899	126.0		
T	51.360755618	0.263831184	125.5		
T	51.360734500	0.263892144	124.9		
T	51.360719391	0.263924960	124.6		
T	51.360701129	0.263963721	124.3		
T	51.360683183	0.263997780	124.0		
T	51.360662270	0.264033415	123.6		
T	51.360635777	0.264074287	123.2		
T	51.360617877	0.264101574	122.9		
T	51.360596476	0.264128816	122.6		
T	51.360573608	0.264154837	122.2		
T	51.360553379	0.264177205	121.9		
T	51.360539392	0.264191728	121.7		
T	51.360528537	0.264208439	121.4		
T	51.360486220	0.264249614	120.6		
T	51.360437478	0.264286768	119.7		
T	51.360384790	0.264322822	118.6		
T	51.360308181	0.264366854	117.1		
T	51.360215499	0.264409337	115.8		
T	51.360145980	0.264436398	115.1		
T	51.360054749	0.264463276	114.4		
T	51.359980780	0.264475887	114.2		
T	51.359890639	0.264487608	114.5		
T	51.359786979	0.264500496	115.0		
T	51.359693734	0.264511134	115.6		
T	51.359607644	0.264523178	116.8		
T	51.359489870	0.264539022	118.4		
T	51.359420679	0.264544729	119.3		
T	51.359332578	0.264554564	120.2		
T	51.359277845	0.264561720	120.8		
T	51.359202869	0.264562417	121.6		
T	51.359098178	0.264555212	123.0		
T	51.358958405	0.264543005	125.0		
T	51.358736503	0.264521608	127.6		
T	51.358543827	0.264502498	129.8		
T	51.358443032	0.264491493	130.9		
T	51.358354077	0.264483344	131.9		
T	51.358300141	0.264476619	132.5		
T	51.358243012	0.264464921	133.0		
T	51.358207160	0.264454888	133.4		
T	51.358183743	0.264441583	133.6		
T	51.358152769	0.264420989	133.9		
T	51.358117891	0.264391881	134.2		
T	51.358097594	0.264361834	134.3		
T	51.358079214	0.264335625	134.4		
T	51.358062757	0.264304955	134.4		
T	51.358039113	0.264250422	134.5		
T	51.358024527	0.264198987	134.4		
T	51.358015035	0.264140118	134.4		
T	51.358009273	0.264085865	134.3		
T	51.358011014	0.264022487	134.0		
T	51.358019951	0.263966621	133.8		
T	51.358034445	0.263907223	133.4		
T	51.358051297	0.263861481	133.1		
T	51.358068287	0.263825366	132.9		
T	51.358088916	0.263788056	132.7		
T	51.358110742	0.263754135	132.5		
T	51.358140543	0.263725506	132.2		
T	51.358174910	0.263701339	131.9		
T	51.358211023	0.263683651	131.5		
T	51.358245621	0.263672789	131.1		
T	51.358277839	0.263666632	130.8		
T	51.358320716	0.263661347	130.3		
T	51.358361865	0.263657245	129.9		
T	51.358406555	0.263652669	129.4		
T	51.358467069	0.263649091	128.7		
T	51.358505680	0.263645861	128.3		
T	51.358554713	0.263642264	127.7		
T	51.358608579	0.263635519	127.1		
T	51.358653406	0.263630801	126.6		
T	51.358715309	0.263628376	125.9		
T	51.358766178	0.263623778	125.4		
T	51.358812286	0.263621200	124.9		
T	51.358880916	0.263615393	124.1		
T	51.358971385	0.263609493	123.1		
T	51.359035108	0.263605375	122.4		
T	51.359081946	0.263601689	121.9		
T	51.359132635	0.263598595	121.4		
T	51.359191609	0.263594555	120.9		
T	51.359232931	0.263587352	120.6		
T	51.359266121	0.263579013	120.3		
T	51.359312140	0.263562152	119.9		
T	51.359371801	0.263536359	119.4		
T	51.359420735	0.263507262	118.9		
T	51.359466631	0.263475564	118.4		
T	51.359500953	0.263453942	118.2		
T	51.359670809	0.263338886	118.0		
T	51.359766102	0.263273740	117.8		
T	51.359819228	0.263236044	117.8		
T	51.359873503	0.263190291	117.8		
T	51.359926045	0.263132999	117.8		
T	51.359954220	0.263089125	117.9		
T	51.359975858	0.263043334	117.9		
T	51.360002572	0.262979942	118.0		
T	51.360017390	0.262936297	118.2		
T	51.360027886	0.262902083	118.4		
T	51.360034196	0.262872647	118.5		
T	51.360040219	0.262836247	118.5		
T	51.360046469	0.262794789	118.7		
T	51.360049559	0.262745466	118.7		
T	51.360052797	0.262685327	118.8		
T	51.360049837	0.262616715	118.8		
T	51.360036209	0.262513161	118.6		
T	51.360021066	0.262414373	118.7		
T	51.359995821	0.262263331	118.8		
T	51.359887219	0.261615582	119.8		
T	51.359840846	0.261339036	120.6		
T	51.359820397	0.261218405	121.0		
T	51.359795219	0.261084083	121.3		
T	51.359775443	0.260998431	121.4		
T	51.359727067	0.260788719	121.2		
T	51.359696525	0.260676336	121.6		
