type	latitude	longitude	altitude (m)	name	desc
T	51.360272326	0.260061121	128.7	Brands Hatch Indy Outer	
T	51.360519922	0.260892860	130.5		
T	51.360653565	0.261364748	132.1		
T	51.360708410	0.261566095	132.6		
T	51.360757005	0.261763987	132.6		
T	51.360810004	0.262012251	132.4		
T	51.360860332	0.262274142	132.1		
T	51.360888092	0.262443589	132.0		
T	51.360911860	0.262655196	131.6		
T	51.360937029	0.262959636	131.0		
T	51.360945090	0.263130358	130.5		
T	51.360942882	0.263316836	129.6		
T	51.360917299	0.263543466	129.0		
T	51.360892685	0.263717061	127.8		
T	51.360855789	0.263875846	126.3		
T	51.360825896	0.263978828	125.6		
T	51.360787905	0.264070897	124.9		
T	51.360742423	0.264160557	124.0		
T	51.360664848	0.264265375	123.0		
T	51.360583879	0.264353717	121.7		
T	51.360546101	0.264390966	121.0		
T	51.360485295	0.264443415	119.7		
T	51.360414625	0.264491892	118.4		
T	51.360319514	0.264547259	116.7		
T	51.360215870	0.264597408	115.7		
T	51.360110665	0.264634260	115.2		
T	51.359606200	0.264701817	117.2		
T	51.359385445	0.264716852	119.6		
T	51.359259654	0.264709813	121.0		
T	51.358963871	0.264688208	124.9		
T	51.358458454	0.264640217	131.0		
T	51.358342312	0.264629846	132.5		
T	51.358284555	0.264628617	133.1		
T	51.358233283	0.264617587	133.5		
T	51.358194213	0.264603652	133.8		
T	51.358145108	0.264579194	134.2		
T	51.358082204	0.264535552	134.7		
T	51.358041597	0.264494291	135.1		
T	51.357997010	0.264427485	135.4		
T	51.357959791	0.264349780	135.5		
T	51.357935718	0.264273190	135.5		
T	51.357917462	0.264187893	135.5		
T	51.357908874	0.264114216	135.5		
T	51.357910569	0.264000453	135.3		
T	51.357920203	0.263922188	135.0		
T	51.357937729	0.263851169	134.7		
T	51.357958639	0.263787077	134.4		
T	51.357988106	0.263727153	134.0		
T	51.358028086	0.263652692	133.4		
T	51.358066015	0.263601796	132.9		
T	51.358095174	0.263574932	132.7		
T	51.358120042	0.263554234	132.5		
T	51.358146743	0.263539421	132.2		
T	51.358183158	0.263522662	131.8		
T	51.358218626	0.263512162	131.4		
T	51.358252024	0.263510184	131.0		
T	51.358298466	0.263506358	130.4		
T	51.358379880	0.263500954	129.5		
T	51.358633425	0.263482738	126.8		
T	51.358781851	0.263474708	125.5		
T	51.358858138	0.263476296	124.8		
T	51.359051003	0.263460194	122.8		
T	51.359205065	0.263443508	121.2		
T	51.359264880	0.263431626	120.5		
T	51.359348969	0.263395294	119.4		
T	51.359464661	0.263318540	118.0		
T	51.359587472	0.263239131	117.8		
T	51.359711097	0.263146717	117.4		
T	51.359827981	0.263059528	117.4		
T	51.359865579	0.263020350	117.5		
T	51.359912135	0.262927158	117.7		
