type	latitude	longitude	altitude (m)	name	desc
T	14.957986364	103.085969702	180.7	Buriram Inner	
T	14.958202451	103.085541532	180.3		
T	14.958545154	103.084808668	178.8		
T	14.958738436	103.084362950	179.2		
T	14.958996638	103.083832753	179.5		
T	14.959284099	103.083173054	180.3		
T	14.959385519	103.082946355	180.6		
T	14.959613721	103.082468104	180.9		
T	14.959639155	103.082419015	180.8		
T	14.959661147	103.082390710	180.7		
T	14.959681121	103.082370203	180.6		
T	14.959698960	103.082357663	180.6		
T	14.959726467	103.082342743	180.6		
T	14.959749338	103.082330700	180.5		
T	14.959785675	103.082320101	180.5		
T	14.959836813	103.082322171	180.5		
T	14.959901900	103.082336505	180.6		
T	14.960234009	103.082416649	180.5		
T	14.961034871	103.082616586	179.1		
T	14.961708265	103.082778513	176.7		
T	14.962274273	103.082919041	176.9		
T	14.963194189	103.083148659	177.9		
T	14.963657459	103.083254133	177.3		
T	14.964452528	103.083460147	174.7		
T	14.964622940	103.083485403	174.1		
T	14.965246838	103.083575154	172.3		
T	14.965979538	103.083662396	170.7		
T	14.966715740	103.083785492	169.9		
T	14.967935626	103.083981844	167.3		
T	14.968356164	103.084048731	167.1		
T	14.968463445	103.084069476	166.8		
T	14.968522413	103.084090381	166.7		
T	14.968569236	103.084117929	166.5		
T	14.968588955	103.084138911	166.4		
T	14.968612290	103.084169603	166.3		
T	14.968631480	103.084205743	166.2		
T	14.968641346	103.084270974	166.1		
T	14.968642370	103.084355269	166.0		
T	14.968630085	103.084409637	166.0		
T	14.968612975	103.084459848	166.0		
T	14.968582553	103.084516169	166.0		
T	14.968544390	103.084570533	166.0		
T	14.968492132	103.084623592	166.1		
T	14.968439188	103.084658251	166.2		
T	14.968382515	103.084676514	166.3		
T	14.968301260	103.084691423	166.4		
T	14.968220742	103.084693970	166.6		
T	14.968112603	103.084680343	166.9		
T	14.967224681	103.084550259	168.8		
T	14.966621228	103.084453649	170.4		
T	14.965507282	103.084279655	172.4		
T	14.964204919	103.084090487	173.3		
T	14.963202587	103.083929080	176.5		
T	14.962512619	103.083822930	176.2		
T	14.961859404	103.083720643	176.5		
T	14.961362040	103.083644560	177.2		
T	14.961259974	103.083630925	177.5		
T	14.961121241	103.083618719	177.9		
T	14.960975903	103.083624055	178.3		
T	14.960890131	103.083641609	178.5		
T	14.960809124	103.083663017	178.7		
T	14.960725308	103.083697680	178.8		
T	14.960655033	103.083731801	178.8		
T	14.960579726	103.083774754	178.9		
T	14.960498376	103.083831089	179.0		
T	14.960419911	103.083902416	179.0		
T	14.960373491	103.083942261	179.0		
T	14.960134925	103.084174393	178.8		
T	14.959624669	103.084683566	177.4		
T	14.959290115	103.085016631	176.9		
T	14.959200494	103.085114359	177.1		
T	14.958984722	103.085331649	177.9		
T	14.958955818	103.085368879	178.1		
T	14.958926885	103.085421205	178.2		
T	14.958903687	103.085474591	178.4		
T	14.958892977	103.085511746	178.5		
T	14.958881500	103.085556003	178.6		
T	14.958876804	103.085594341	178.7		
T	14.958876100	103.085638821	178.7		
T	14.958879758	103.085679701	178.8		
T	14.958887048	103.085719822	178.8		
T	14.958898000	103.085759394	178.8		
T	14.958911175	103.085791557	178.9		
T	14.958928423	103.085824700	178.8		
T	14.958950902	103.085863764	178.7		
T	14.958976273	103.085897079	178.6		
T	14.958999998	103.085921268	178.5		
T	14.959021987	103.085942258	178.4		
T	14.959051115	103.085967220	178.2		
T	14.959086249	103.085991234	178.1		
T	14.959216504	103.086055300	177.9		
T	14.959295789	103.086098494	178.0		
T	14.959605757	103.086235035	179.1		
T	14.959736161	103.086254904	179.6		
T	14.959841539	103.086258121	180.0		
T	14.959918979	103.086253514	180.2		
T	14.959995797	103.086239713	180.4		
T	14.960088605	103.086211829	180.2		
T	14.960155250	103.086188451	180.0		
T	14.960227127	103.086153114	179.8		
T	14.960291632	103.086116260	179.7		
T	14.960362829	103.086061030	179.5		
T	14.960443504	103.085986238	179.3		
T	14.960518502	103.085878000	179.1		
T	14.960559060	103.085801389	179.0		
T	14.960608306	103.085712005	179.0		
T	14.960664283	103.085592741	179.1		
T	14.960788313	103.085327608	179.5		
T	14.960863778	103.085173722	179.7		
T	14.960927891	103.085047176	179.7		
T	14.960989247	103.084966971	179.6		
T	14.961047378	103.084909528	179.3		
T	14.961117923	103.084863565	179.0		
T	14.961339615	103.084767124	178.4		
T	14.961422660	103.084732779	178.2		
T	14.961504145	103.084715724	178.0		
T	14.961563962	103.084707699	177.9		
T	14.961807153	103.084726485	177.6		
T	14.962152474	103.084771205	177.4		
T	14.963199369	103.084900769	177.7		
T	14.964085604	103.085017089	176.2		
T	14.964154882	103.085034012	176.1		
T	14.964190558	103.085050082	176.0		
T	14.964223812	103.085071179	176.0		
T	14.964260421	103.085097527	175.9		
T	14.964300474	103.085129236	175.9		
T	14.964330095	103.085166423	175.8		
T	14.964359216	103.085210055	175.9		
T	14.964397883	103.085279406	175.9		
T	14.964418606	103.085339806	176.0		
T	14.964430812	103.085411110	176.2		
T	14.964455149	103.085607815	176.7		
T	14.964574716	103.086338552	175.2		
T	14.964602961	103.086499988	174.6		
T	14.964607273	103.086563307	174.4		
T	14.964594927	103.086639998	174.1		
T	14.964585433	103.086693213	174.1		
T	14.964566908	103.086739796	174.2		
T	14.964549577	103.086781934	174.4		
T	14.964525846	103.086822035	174.5		
T	14.964507622	103.086850372	174.6		
T	14.964463654	103.086899089	174.7		
T	14.964411483	103.086938748	174.9		
T	14.964363590	103.086968763	175.0		
T	14.964318812	103.086985697	175.1		
T	14.964264830	103.087004537	175.2		
T	14.964208284	103.087010737	175.2		
T	14.964149051	103.087012075	175.3		
T	14.964080587	103.087003312	175.3		
T	14.964027166	103.086989734	175.2		
T	14.963975715	103.086969084	175.2		
T	14.963894514	103.086921706	175.2		
T	14.963859050	103.086890045	175.1		
T	14.963733122	103.086749818	175.1		
T	14.963592170	103.086602016	175.5		
T	14.963499576	103.086521429	175.7		
T	14.963416618	103.086463796	175.9		
T	14.963351806	103.086425146	176.0		
T	14.963272091	103.086386120	176.0		
T	14.963202614	103.086358306	176.1		
T	14.963150410	103.086340750	176.1		
T	14.963095849	103.086326188	176.2		
T	14.963019472	103.086307394	176.2		
T	14.962945807	103.086299741	176.3		
T	14.962861600	103.086296348	176.3		
T	14.962768702	103.086298826	176.4		
T	14.962655635	103.086309594	176.5		
T	14.962583589	103.086322628	176.5		
T	14.962508246	103.086344100	176.6		
T	14.962422724	103.086372742	176.7		
T	14.962348038	103.086410316	176.7		
T	14.962208243	103.086492338	176.9		
T	14.961927381	103.086673163	177.0		
T	14.961857358	103.086719472	177.0		
