type	latitude	longitude	altitude (m)	name	desc
T	14.958113595	103.085421157	180.0	Buriram Outer	
T	14.958692482	103.084150313	179.6		
T	14.958762200	103.084015931	179.6		
T	14.958779399	103.083964127	179.6		
T	14.959145284	103.083156413	180.2		
T	14.959231993	103.082951070	180.5		
T	14.959456055	103.082467818	180.9		
T	14.959526008	103.082344104	180.5		
T	14.959558083	103.082285223	180.3		
T	14.959593821	103.082244293	180.2		
T	14.959633756	103.082211971	180.2		
T	14.959677480	103.082182596	180.1		
T	14.959711219	103.082169593	180.1		
T	14.959752159	103.082159805	180.1		
T	14.959797642	103.082149493	180.1		
T	14.959889277	103.082156135	180.1		
T	14.959999189	103.082180703	180.2		
T	14.960379698	103.082272018	180.1		
T	14.961076992	103.082442609	179.1		
T	14.961258613	103.082489081	178.5		
T	14.961364113	103.082523017	178.1		
T	14.961952865	103.082662284	176.7		
T	14.962308632	103.082754453	176.6		
T	14.963243626	103.082987160	177.9		
T	14.964122560	103.083195248	176.4		
T	14.964648509	103.083323883	174.3		
T	14.964880211	103.083386995	173.4		
T	14.965209387	103.083453669	172.3		
T	14.965408537	103.083483125	171.7		
T	14.965776743	103.083522917	170.6		
T	14.966592238	103.083621134	170.1		
T	14.967347421	103.083704872	168.5		
T	14.968061940	103.083784496	167.6		
T	14.968310557	103.083812905	167.4		
T	14.968372255	103.083820781	167.4		
T	14.968428987	103.083835883	167.3		
T	14.968503005	103.083867765	167.1		
T	14.968582651	103.083930008	166.9		
T	14.968651602	103.083998934	166.6		
T	14.968693520	103.084062660	166.4		
T	14.968720013	103.084123385	166.2		
T	14.968735471	103.084162426	166.0		
T	14.968746924	103.084204428	166.0		
T	14.968752391	103.084238932	165.9		
T	14.968760302	103.084292087	165.8		
T	14.968757118	103.084333632	165.8		
T	14.968754009	103.084375957	165.7		
T	14.968745110	103.084431836	165.7		
T	14.968734498	103.084468744	165.7		
T	14.968719107	103.084519112	165.7		
T	14.968687727	103.084575530	165.7		
T	14.968655258	103.084625447	165.7		
T	14.968619902	103.084666530	165.7		
T	14.968588402	103.084696528	165.8		
T	14.968548602	103.084728126	165.8		
T	14.968509794	103.084751113	165.9		
T	14.968461413	103.084773193	166.0		
T	14.968409223	103.084790705	166.1		
T	14.968346271	103.084806647	166.2		
T	14.968289578	103.084810746	166.3		
T	14.968238861	103.084808832	166.5		
T	14.968155290	103.084797432	166.7		
T	14.968106539	103.084792428	166.9		
T	14.967944125	103.084769894	167.3		
T	14.967801229	103.084747970	167.6		
T	14.967399126	103.084688850	168.5		
T	14.967278659	103.084669994	168.8		
T	14.967155708	103.084644417	169.1		
T	14.966966077	103.084608023	169.6		
T	14.966561408	103.084541067	170.6		
T	14.966084202	103.084475193	171.5		
T	14.965309471	103.084354955	172.6		
T	14.964418931	103.084234817	173.2		
T	14.962695460	103.083963061	175.9		
T	14.961537740	103.083785335	176.8		
T	14.961316150	103.083752648	177.3		
T	14.961237925	103.083740846	177.5		
T	14.961167004	103.083730898	177.7		
T	14.961064565	103.083733489	178.0		
T	14.960993040	103.083743777	178.1		
T	14.960931280	103.083755128	178.3		
T	14.960878206	103.083767461	178.4		
T	14.960827424	103.083782336	178.5		
T	14.960769364	103.083803694	178.5		
T	14.960710008	103.083829811	178.6		
T	14.960659238	103.083854997	178.7		
T	14.960609491	103.083888584	178.7		
T	14.960525223	103.083950959	178.7		
T	14.960493064	103.083979663	178.7		
T	14.960195985	103.084273476	178.5		
T	14.959670455	103.084794524	177.0		
T	14.959376073	103.085126563	177.0		
T	14.959010474	103.085544558	178.2		
T	14.958995496	103.085573860	178.2		
T	14.958989701	103.085609977	178.3		
T	14.958987782	103.085647001	178.4		
T	14.958993854	103.085681333	178.4		
