type	latitude	longitude	altitude (m)	name	desc
T	44.344348169	11.714001202	45.3	Imola Inner	
T	44.344389593	11.713735156	45.2		
T	44.344424312	11.713497984	44.1		
T	44.344449744	11.713277313	42.8		
T	44.344469070	11.713069775	42.0		
T	44.344485812	11.712840428	41.9		
T	44.344496166	11.712630187	41.9		
T	44.344501135	11.712451663	42.2		
T	44.344496989	11.712200662	43.1		
T	44.344489236	11.711969798	44.7		
T	44.344472498	11.711650327	46.9		
T	44.344437113	11.711143931	46.1		
T	44.344392860	11.710539222	44.8		
T	44.344352535	11.709997356	43.0		
T	44.344324107	11.709655801	43.0		
T	44.344305251	11.709503767	43.0		
T	44.344252158	11.709186785	43.0		
T	44.344105208	11.708349197	41.8		
T	44.344093391	11.708286080	41.8		
T	44.344077888	11.708242003	41.8		
T	44.344060890	11.708208319	41.8		
T	44.344043890	11.708183291	41.8		
T	44.344028345	11.708165004	41.8		
T	44.344002801	11.708146060	41.8		
T	44.343971890	11.708126939	41.8		
T	44.343935220	11.708111132	41.8		
T	44.343727098	11.708048598	42.0		
T	44.343674431	11.708031985	42.1		
T	44.343637288	11.708015262	42.1		
T	44.343600651	11.707993119	42.2		
T	44.343563966	11.707966457	42.4		
T	44.343523118	11.707924808	42.5		
T	44.343488078	11.707882136	42.5		
T	44.343452791	11.707827953	42.5		
T	44.343409629	11.707742875	42.3		
T	44.343367588	11.707622906	42.1		
T	44.343158633	11.707027854	43.9		
T	44.343066690	11.706769381	43.4		
T	44.343033175	11.706669006	43.0		
T	44.343011617	11.706611630	42.8		
T	44.342985913	11.706562095	42.5		
T	44.342955346	11.706508002	42.2		
T	44.342916982	11.706455039	41.9		
T	44.342877454	11.706412279	41.5		
T	44.342838532	11.706374377	41.2		
T	44.342793571	11.706341912	40.9		
T	44.342497834	11.706175975	41.0		
T	44.341915814	11.705847866	43.9		
T	44.341420816	11.705569169	43.1		
T	44.340783141	11.705213843	43.0		
T	44.340274218	11.704927505	44.0		
T	44.339605297	11.704553493	42.6		
T	44.339421597	11.704451188	43.0		
T	44.339382487	11.704432690	43.1		
T	44.339346980	11.704421455	43.1		
T	44.339311771	11.704415060	43.2		
T	44.339281267	11.704414428	43.2		
T	44.339243042	11.704420167	43.2		
T	44.339197524	11.704432122	43.1		
T	44.339132144	11.704454885	43.0		
T	44.338797458	11.704580534	42.7		
T	44.338706787	11.704613213	42.8		
T	44.338658677	11.704622993	42.9		
T	44.338619622	11.704625432	43.0		
T	44.338575437	11.704618991	43.2		
T	44.338531852	11.704604287	43.4		
T	44.338482263	11.704571067	43.7		
T	44.338442499	11.704537401	44.0		
T	44.338416895	11.704506769	44.2		
T	44.338386965	11.704466509	44.5		
T	44.338134199	11.704041783	44.8		
T	44.337896135	11.703641791	44.4		
T	44.337650147	11.703226798	45.6		
T	44.337500813	11.702976253	47.3		
T	44.337324770	11.702683641	49.5		
T	44.337192019	11.702464171	50.4		
T	44.337140592	11.702383053	51.1		
T	44.337090689	11.702313622	51.3		
T	44.337039370	11.702246812	51.3		
T	44.336984589	11.702185635	51.0		
T	44.336947039	11.702150728	50.7		
T	44.336908095	11.702127009	50.7		
T	44.336869013	11.702112221	50.8		
T	44.336835713	11.702107251	50.8		
T	44.336795082	11.702106219	50.9		
T	44.336764673	11.702113680	51.0		
T	44.336732085	11.702124666	51.1		
T	44.336702132	11.702144199	51.3		
T	44.336677645	11.702164610	51.6		
T	44.336652321	11.702193167	51.8		
T	44.336631689	11.702225832	52.1		
T	44.336613729	11.702257448	52.3		
T	44.336595262	11.702298787	52.5		
T	44.336581837	11.702337851	52.7		
T	44.336573306	11.702374001	52.9		
T	44.336565685	11.702421787	53.1		
T	44.336561734	11.702468988	53.3		
T	44.336559471	11.702523525	53.5		
T	44.336567813	11.702644163	53.9		
T	44.336649270	11.703504870	53.5		
T	44.336745202	11.704521394	57.4		
T	44.336839365	11.705544227	61.1		
T	44.336908414	11.706327767	66.6		
T	44.336921671	11.706609080	70.4		
T	44.336924687	11.706785268	71.6		
T	44.336919871	11.707021470	71.9		
T	44.336906541	11.707270912	71.4		
T	44.336890141	11.707457003	71.6		
T	44.336859866	11.707717506	70.8		
T	44.336776484	11.708338162	73.2		
T	44.336693244	11.708964967	71.3		
T	44.336677732	11.709083447	70.6		
T	44.336669468	11.709147033	70.1		
T	44.336663947	11.709201432	70.0		
T	44.336657737	11.709261870	70.1		
T	44.336653457	11.709317019	70.1		
T	44.336652753	11.709385245	70.1		
T	44.336656631	11.709441913	70.0		
T	44.336661015	11.709479757	70.1		
T	44.336669543	11.709525518	70.3		
T	44.336685514	11.709579011	70.6		
T	44.336706653	11.709636259	70.8		
T	44.336724229	11.709676002	71.0		
T	44.336747059	11.709722568	71.3		
T	44.336767802	11.709757797	71.3		
T	44.336797930	11.709801459	71.3		
T	44.336835386	11.709845216	71.3		
T	44.336888026	11.709895066	71.3		
T	44.336942038	11.709939412	71.2		
T	44.337071009	11.710033333	71.8		
T	44.337142037	11.710082905	72.0		
T	44.337323453	11.710204989	71.5		
T	44.337482665	11.710305513	70.9		
T	44.337571667	11.710352559	70.3		
T	44.337681491	11.710402270	69.5		
T	44.337792320	11.710437949	68.8		
T	44.337861324	11.710454808	68.0		
T	44.337952588	11.710472132	66.9		
T	44.338053756	11.710481103	65.8		
T	44.338153176	11.710482930	64.7		
T	44.338259656	11.710471217	63.3		
T	44.338387409	11.710445736	61.8		
T	44.338656397	11.710366116	59.0		
T	44.339083780	11.710236151	57.1		
T	44.339453551	11.710122909	56.8		
T	44.339569173	11.710087252	56.7		
T	44.339874164	11.709994846	55.4		
T	44.339911422	11.709984138	55.3		
T	44.339941384	11.709976430	55.2		
T	44.339970572	11.709970636	55.1		
T	44.340007512	11.709967044	54.9		
T	44.340045619	11.709970241	54.5		
T	44.340083532	11.709977923	54.1		
T	44.340122173	11.709992803	53.7		
T	44.340163340	11.710013937	53.2		
T	44.340223804	11.710057214	52.3		
T	44.340254088	11.710081500	51.7		
T	44.340840046	11.710609367	49.1		
T	44.340887032	11.710657552	49.7		
T	44.340919202	11.710703577	50.1		
T	44.340931708	11.710729054	50.3		
T	44.340941462	11.710752257	50.4		
T	44.340952421	11.710790223	50.6		
T	44.340961261	11.710832625	50.8		
T	44.340965270	11.710874353	51.3		
T	44.340965103	11.710902542	51.5		
T	44.340962650	11.710942032	51.9		
T	44.340951680	11.710994797	52.2		
T	44.340914559	11.711118766	52.9		
T	44.340874842	11.711246946	53.4		
T	44.340853496	11.711317621	53.7		
T	44.340829148	11.711396426	54.0		
T	44.340816159	11.711448248	54.1		
T	44.340806829	11.711490015	54.2		
T	44.340797436	11.711540788	54.3		
T	44.340789052	11.711594776	54.4		
T	44.340784299	11.711636825	54.5		
T	44.340778526	11.711693354	54.8		
T	44.340773027	11.711759777	55.2		
T	44.340770316	11.711819619	55.5		
T	44.340770626	11.711909355	56.1		
T	44.340772320	11.712186082	58.3		
T	44.340774348	11.712496345	60.8		
T	44.340777004	11.712832003	62.0		
T	44.340780550	11.713436740	63.4		
T	44.340783997	11.714158972	65.0		
T	44.340793525	11.715370591	69.1		
T	44.340798638	11.716436518	69.4		
T	44.340803612	11.716880971	70.0		
T	44.340803668	11.716991471	70.1		
T	44.340802334	11.717062178	70.3		
T	44.340794974	11.717107585	70.4		
T	44.340783530	11.717145276	70.5		
T	44.340769382	11.717172815	70.4		
T	44.340748845	11.717197874	70.4		
T	44.340726637	11.717214870	70.2		
T	44.340592750	11.717281271	69.2		
T	44.340573160	11.717291812	69.1		
T	44.340558816	11.717303596	69.0		
T	44.340548872	11.717317184	69.0		
T	44.340539688	11.717335881	69.0		
T	44.340535231	11.717353710	69.0		
T	44.340533189	11.717371506	69.0		
T	44.340533839	11.717390077	69.0		
T	44.340554041	11.717465630	69.0		
T	44.340792954	11.718283824	68.0		
T	44.341079328	11.719279489	68.1		
T	44.341145009	11.719492147	67.8		
T	44.341221069	11.719698376	67.1		
T	44.341293990	11.719867558	66.7		
T	44.341392896	11.720077806	65.7		
T	44.341515770	11.720326734	64.9		
T	44.341640302	11.720565434	64.1		
T	44.341697763	11.720671124	64.0		
T	44.341747368	11.720757019	63.8		
T	44.341858104	11.720938951	63.7		
T	44.342001111	11.721149613	63.9		
T	44.342286991	11.721551020	63.8		
T	44.342651994	11.722063039	61.8		
T	44.343091956	11.722676007	59.1		
T	44.343140460	11.722746103	58.5		
T	44.343180267	11.722807570	57.9		
T	44.343250742	11.722932444	56.9		
T	44.343332591	11.723089787	55.9		
T	44.343374192	11.723184379	55.1		
T	44.343410791	11.723274248	54.4		
T	44.343474618	11.723470501	52.5		
T	44.343685462	11.724154197	44.0		
T	44.343903090	11.724857646	42.9		
T	44.343934065	11.724950838	42.2		
T	44.343962186	11.725010855	41.7		
T	44.343991414	11.725053991	41.4		
T	44.344017479	11.725076864	41.1		
T	44.344044852	11.725092801	40.9		
T	44.344074165	11.725102556	40.7		
T	44.344120616	11.725100646	40.5		
T	44.344199687	11.725066482	40.3		
T	44.344461106	11.724913034	39.3		
T	44.344724337	11.724753821	39.0		
T	44.344836098	11.724683247	39.0		
T	44.344875909	11.724653119	39.0		
T	44.344910733	11.724620897	39.0		
T	44.344936159	11.724584118	39.0		
T	44.344958727	11.724548548	39.0		
T	44.344976692	11.724510649	39.0		
T	44.344990765	11.724466998	39.0		
T	44.345004457	11.724417458	39.1		
T	44.345010448	11.724361072	39.3		
T	44.345014723	11.724302322	39.5		
T	44.345011867	11.724244889	39.7		
T	44.344998677	11.724176890	40.0		
T	44.344927454	11.723892116	39.5		
T	44.344725089	11.723147883	36.0		
T	44.344535653	11.722463183	40.3		
T	44.344285811	11.721554947	38.5		
T	44.344136987	11.721013232	39.2		
T	44.344092072	11.720840365	39.3		
T	44.344052663	11.720647229	40.1		
T	44.344028052	11.720504209	40.3		
T	44.344005095	11.720341849	39.8		
T	44.343981883	11.720104467	39.0		
T	44.343973342	11.719853650	38.2		
T	44.343972021	11.719628992	37.5		
T	44.343972166	11.719382790	36.9		
T	44.343975959	11.718633982	37.0		
T	44.343979207	11.717986644	37.5		
T	44.343984569	11.717032972	39.2		
T	44.343986162	11.716475053	39.4		
T	44.343987885	11.716391534	39.4		
T	44.343992552	11.716328566	39.3		
T	44.344011171	11.716199513	39.1		
T	44.344131358	11.715419725	40.7		
T	44.344251912	11.714629757	42.4		
T	44.344348169	11.714001202	45.3		
