type	latitude	longitude	altitude (m)	name	desc
T	44.344469266	11.714040214	46.0	Imola Outer	
T	44.344509204	11.713787556	45.4		
T	44.344526159	11.713636247	44.8		
T	44.344540452	11.713458126	43.4		
T	44.344562373	11.713146044	41.8		
T	44.344584636	11.712793897	41.5		
T	44.344590591	11.712653874	41.7		
T	44.344593878	11.712473253	42.1		
T	44.344593787	11.712298385	42.7		
T	44.344587973	11.712099576	43.7		
T	44.344560113	11.711644820	46.6		
T	44.344517895	11.711042755	45.8		
T	44.344471212	11.710389199	44.4		
T	44.344432550	11.709840715	43.0		
T	44.344415564	11.709624597	43.0		
T	44.344395151	11.709468525	43.0		
T	44.344270472	11.708745900	42.4		
T	44.344194881	11.708321299	42.0		
T	44.344176238	11.708244221	42.0		
T	44.344156067	11.708183135	42.0		
T	44.344136848	11.708141371	42.0		
T	44.344117282	11.708110528	42.0		
T	44.344098588	11.708086307	42.0		
T	44.344077841	11.708061221	42.0		
T	44.344050493	11.708034127	42.1		
T	44.344022909	11.708013725	42.2		
T	44.343986926	11.707992785	42.2		
T	44.343956005	11.707982597	42.3		
T	44.343869273	11.707958585	42.3		
T	44.343829751	11.707947244	42.4		
T	44.343794742	11.707936846	42.4		
T	44.343762976	11.707927119	42.5		
T	44.343715079	11.707911934	42.5		
T	44.343677664	11.707898063	42.6		
T	44.343643885	11.707879209	42.6		
T	44.343610278	11.707856171	42.7		
T	44.343583808	11.707829779	42.8		
T	44.343557240	11.707802100	42.8		
T	44.343531867	11.707766291	42.7		
T	44.343510329	11.707725556	42.6		
T	44.343485677	11.707667750	42.5		
T	44.343352406	11.707290615	42.8		
T	44.343194459	11.706842680	43.6		
T	44.343109631	11.706598368	42.8		
T	44.343080834	11.706531559	42.5		
T	44.343045386	11.706464077	42.2		
T	44.343003878	11.706394384	41.8		
T	44.342953729	11.706329905	41.4		
T	44.342893147	11.706273224	41.0		
T	44.342802220	11.706205533	40.4		
T	44.342708393	11.706150238	40.4		
T	44.342233550	11.705880766	42.9		
T	44.341094965	11.705250132	43.9		
T	44.340439746	11.704882774	43.8		
T	44.339743514	11.704490414	42.9		
T	44.339495927	11.704349121	43.3		
T	44.339440935	11.704322032	43.4		
T	44.339387418	11.704301053	43.6		
T	44.339341217	11.704293087	43.7		
T	44.339289727	11.704289308	43.9		
T	44.339243390	11.704292037	43.9		
T	44.339191056	11.704303478	44.0		
T	44.339071105	11.704347726	43.6		
T	44.338759622	11.704464065	43.0		
T	44.338712754	11.704479591	43.0		
T	44.338679298	11.704491537	43.0		
T	44.338646522	11.704498038	43.0		
T	44.338615343	11.704498691	43.0		
T	44.338586499	11.704492673	43.2		
T	44.338561116	11.704481916	43.3		
T	44.338536441	11.704467934	43.5		
T	44.338516661	11.704451581	43.7		
T	44.338493712	11.704430049	43.9		
T	44.338463863	11.704389378	44.2		
T	44.338189941	11.703936407	45.0		
T	44.337821252	11.703325188	45.0		
T	44.337477185	11.702752716	48.3		
T	44.337214141	11.702315568	51.3		
T	44.337125780	11.702174645	51.3		
T	44.337080113	11.702110825	50.7		
T	44.337049834	11.702070311	50.4		
T	44.337009663	11.702028252	50.2		
T	44.336977486	11.701999615	50.1		
T	44.336944954	11.701981009	50.1		
T	44.336906531	11.701964828	50.1		
T	44.336859616	11.701953708	50.0		
T	44.336828503	11.701950504	50.0		
T	44.336800021	11.701949972	50.0		
T	44.336757487	11.701955406	50.1		
T	44.336699306	11.701978129	50.2		
T	44.336649384	11.702011690	50.6		
T	44.336597332	11.702059795	51.2		
T	44.336545269	11.702130986	51.9		
T	44.336508996	11.702201985	52.5		
T	44.336483231	11.702281125	52.9		
T	44.336470876	11.702353736	53.2		
T	44.336466688	11.702415693	53.4		
T	44.336471432	11.702515993	53.8		
T	44.336495114	11.702787645	54.7		
T	44.336523848	11.703091864	55.6		
T	44.336537857	11.703249954	55.7		
T	44.336566135	11.703550929	55.7		
T	44.336582247	11.703720571	56.2		
T	44.336630305	11.704240797	57.4		
T	44.336643599	11.704386614	58.0		
T	44.336691297	11.704894334	60.8		
T	44.336730268	11.705318185	62.1		
T	44.336785121	11.705916947	63.5		
T	44.336808145	11.706185049	66.0		
T	44.336825029	11.706409138	69.0		
T	44.336835836	11.706652959	72.0		
T	44.336835629	11.706894775	72.7		
T	44.336827253	11.707141929	72.4		
T	44.336815770	11.707337330	72.4		
T	44.336802573	11.707486142	72.5		
T	44.336741510	11.707954358	72.8		
T	44.336665042	11.708521435	73.3		
T	44.336607706	11.708944110	72.2		
T	44.336582554	11.709131281	71.2		
T	44.336568276	11.709245280	70.9		
T	44.336560138	11.709336744	70.7		
T	44.336557851	11.709407536	70.5		
T	44.336560557	11.709467843	70.4		
T	44.336564635	11.709508122	70.5		
T	44.336573835	11.709560206	70.6		
T	44.336587110	11.709618318	70.7		
T	44.336601682	11.709668154	70.9		
T	44.336625455	11.709732009	71.0		
T	44.336660121	11.709806639	71.0		
T	44.336691561	11.709857757	71.0		
T	44.336736804	11.709920113	71.1		
T	44.336795295	11.709980887	71.0		
T	44.336857779	11.710031589	71.0		
T	44.337040136	11.710150483	71.3		
T	44.337239014	11.710278685	71.0		
T	44.337412651	11.710390756	70.6		
T	44.337501651	11.710442198	70.4		
T	44.337573175	11.710477892	69.9		
