type	latitude	longitude	altitude (m)	name	desc
T	-23.703388019	-46.699975346	785.9	Interlagos Inner	
T	-23.704655538	-46.699621328	785.1		
T	-23.705913239	-46.699275581	786.6		
T	-23.705990982	-46.699253221	786.7		
T	-23.706062183	-46.699220589	786.7		
T	-23.706135096	-46.699179387	786.8		
T	-23.706200548	-46.699123519	786.6		
T	-23.706268222	-46.699056477	786.3		
T	-23.706300062	-46.699005822	786.1		
T	-23.706323112	-46.698957503	785.8		
T	-23.706329213	-46.698911089	785.5		
T	-23.706330663	-46.698876934	785.3		
T	-23.706329099	-46.698828680	785.0		
T	-23.706324260	-46.698788787	784.7		
T	-23.706310167	-46.698748847	784.4		
T	-23.706288061	-46.698701888	784.0		
T	-23.706256647	-46.698661072	783.7		
T	-23.706223290	-46.698617121	783.3		
T	-23.706138110	-46.698528157	782.4		
T	-23.705976120	-46.698368086	780.8		
T	-23.705940276	-46.698326084	780.3		
T	-23.705915688	-46.698292597	779.8		
T	-23.705898344	-46.698261513	779.4		
T	-23.705886070	-46.698229869	779.0		
T	-23.705877188	-46.698194539	778.6		
T	-23.705870778	-46.698145969	778.0		
T	-23.705870981	-46.698076417	777.1		
T	-23.705879902	-46.698017119	776.5		
T	-23.705908852	-46.697942779	775.9		
T	-23.706001322	-46.697771905	774.8		
T	-23.706055875	-46.697664991	774.3		
T	-23.706102167	-46.697575308	773.9		
T	-23.706137428	-46.697482986	773.6		
T	-23.706172471	-46.697370326	773.9		
T	-23.706193406	-46.697270410	774.0		
T	-23.706210312	-46.697115526	774.1		
T	-23.706214316	-46.697042851	774.0		
T	-23.706216014	-46.696951792	773.9		
T	-23.706212277	-46.696897537	773.8		
T	-23.706205967	-46.696834068	773.7		
T	-23.706195403	-46.696765220	773.5		
T	-23.706176858	-46.696683519	773.1		
T	-23.706159402	-46.696612529	773.1		
T	-23.706131212	-46.696538447	772.9		
T	-23.706090685	-46.696433982	772.7		
T	-23.706053550	-46.696356750	772.5		
T	-23.706021232	-46.696298985	772.2		
T	-23.705966113	-46.696215578	771.8		
T	-23.705903300	-46.696129049	771.2		
T	-23.705853020	-46.696070689	770.7		
T	-23.705763969	-46.695983672	770.2		
T	-23.705667649	-46.695898371	769.8		
T	-23.705588461	-46.695845861	769.5		
T	-23.705477165	-46.695783593	769.1		
T	-23.705380367	-46.695736497	768.8		
T	-23.705300141	-46.695704036	768.5		
T	-23.704950125	-46.695577640	767.1		
T	-23.703204345	-46.695069016	761.1		
T	-23.701140314	-46.694463217	754.2		
T	-23.700088449	-46.694158148	751.5		
T	-23.700045644	-46.694146041	751.2		
T	-23.699989618	-46.694132899	750.9		
T	-23.699947588	-46.694122660	750.9		
T	-23.699917276	-46.694119011	750.9		
T	-23.699887810	-46.694117923	750.9		
T	-23.699861163	-46.694119973	750.9		
T	-23.699833330	-46.694125043	750.9		
T	-23.699811105	-46.694129644	751.0		
T	-23.699785530	-46.694139035	751.0		
T	-23.699765050	-46.694145634	751.0		
T	-23.699736375	-46.694156726	751.0		
T	-23.699713898	-46.694168954	751.0		
T	-23.699685399	-46.694188364	750.9		
T	-23.699645419	-46.694222724	750.7		
T	-23.699622212	-46.694250106	750.5		
T	-23.699597022	-46.694280787	750.3		
T	-23.699567423	-46.694323149	750.1		
T	-23.699544807	-46.694371798	749.7		
T	-23.699529467	-46.694433373	749.4		
T	-23.699500912	-46.694560942	748.5		
T	-23.699396178	-46.695172788	745.8		
T	-23.699379279	-46.695284643	745.9		
T	-23.699379160	-46.695383149	746.1		
T	-23.699379467	-46.695463691	746.2		
T	-23.699386621	-46.695539121	746.3		
T	-23.699398830	-46.695618267	746.4		
T	-23.699412442	-46.695679416	746.5		
T	-23.699433663	-46.695752439	746.6		
T	-23.699455350	-46.695811422	746.6		
T	-23.699471093	-46.695854541	746.7		
T	-23.699499426	-46.695913146	746.8		
T	-23.699531942	-46.695975449	746.9		
T	-23.699559087	-46.696021852	747.0		
T	-23.699592333	-46.696073253	747.1		
T	-23.699616404	-46.696112552	747.1		
T	-23.699725518	-46.696242990	747.0		
T	-23.699885055	-46.696399604	746.5		
T	-23.700569716	-46.696951712	750.2		
T	-23.701245776	-46.697476101	754.0		
T	-23.701922854	-46.698007286	759.2		
T	-23.702158633	-46.698190750	761.4		
T	-23.702241112	-46.698266969	762.2		
T	-23.702295669	-46.698328199	762.8		
T	-23.702340370	-46.698400481	763.7		
T	-23.702380764	-46.698490387	764.7		
T	-23.702408007	-46.698584935	765.5		
T	-23.702423784	-46.698683457	766.3		
T	-23.702431141	-46.698762432	766.8		
T	-23.702433234	-46.698891964	767.6		
T	-23.702423082	-46.699011450	768.2		
T	-23.702403657	-46.699142571	768.8		
T	-23.702381545	-46.699236455	769.4		
T	-23.702337771	-46.699352251	770.1		
T	-23.702279618	-46.699485383	771.0		
T	-23.702228592	-46.699581867	771.7		
T	-23.702191276	-46.699636430	772.1		
T	-23.702136564	-46.699697876	772.5		
T	-23.702060804	-46.699761292	772.9		
T	-23.701994575	-46.699796271	773.0		
T	-23.701891830	-46.699832522	773.1		
T	-23.701854001	-46.699847214	773.2		
T	-23.701808817	-46.699868305	773.3		
T	-23.701658304	-46.699911462	773.5		
T	-23.701315467	-46.699983431	773.1		
T	-23.701022071	-46.700036271	772.6		
T	-23.700841701	-46.700051283	772.1		
T	-23.700734997	-46.700049423	772.8		
T	-23.700697016	-46.700037491	772.9		
T	-23.700623711	-46.700023270	773.2		
T	-23.700568028	-46.700001584	773.3		
T	-23.700521960	-46.699969362	773.3		
T	-23.700483641	-46.699928319	773.2		
T	-23.700456714	-46.699884690	772.9		
T	-23.700436935	-46.699841075	772.6		
T	-23.700418273	-46.699779095	772.1		
T	-23.700413827	-46.699742956	771.7		
T	-23.700413834	-46.699692494	771.2		
T	-23.700418563	-46.699653308	770.7		
T	-23.700429844	-46.699605831	770.2		
T	-23.700462049	-46.699535824	769.2		
T	-23.700649788	-46.699256748	765.5		
T	-23.700670072	-46.699226926	765.2		
T	-23.700685646	-46.699183489	764.7		
T	-23.700697476	-46.699145051	764.3		
T	-23.700709218	-46.699101910	763.8		
T	-23.700717375	-46.699063547	763.4		
T	-23.700719113	-46.699013682	762.9		
T	-23.700716850	-46.698975624	762.6		
T	-23.700707387	-46.698936001	762.2		
T	-23.700696530	-46.698901934	762.0		
T	-23.700677869	-46.698857500	761.6		
T	-23.700659703	-46.698821209	761.3		
T	-23.700631991	-46.698783788	761.0		
T	-23.700584460	-46.698733234	760.7		
T	-23.700553614	-46.698706706	760.6		
T	-23.700517151	-46.698684271	760.5		
T	-23.700471987	-46.698665712	760.5		
T	-23.700427788	-46.698657885	760.6		
T	-23.700394285	-46.698655870	760.7		
T	-23.700356525	-46.698656645	760.8		
T	-23.700324648	-46.698659432	761.0		
T	-23.700288849	-46.698667458	761.2		
T	-23.700255220	-46.698679007	761.4		
T	-23.700219289	-46.698698587	761.7		
T	-23.700155767	-46.698742551	762.4		
T	-23.700020062	-46.698863007	764.0		
T	-23.699725694	-46.699184711	767.6		
T	-23.699675025	-46.699239253	768.5		
T	-23.699639265	-46.699277833	769.1		
T	-23.699583336	-46.699331143	770.0		
T	-23.699517164	-46.699389269	771.0		
T	-23.699458732	-46.699430951	771.8		
T	-23.699380053	-46.699475588	772.6		
T	-23.699297346	-46.699512733	773.5		
T	-23.699205607	-46.699546660	774.3		
T	-23.699050158	-46.699589584	775.6		
T	-23.698764728	-46.699667270	777.9		
T	-23.698713341	-46.699678435	778.2		
T	-23.698668308	-46.699685915	778.4		
T	-23.698623902	-46.699689877	778.7		
T	-23.698546090	-46.699681233	778.8		
T	-23.698498913	-46.699668687	778.8		
T	-23.698451802	-46.699647574	778.8		
T	-23.698417493	-46.699616295	778.5		
T	-23.698385837	-46.699576708	778.2		
T	-23.698355368	-46.699527374	777.8		
T	-23.698341522	-46.699495753	777.5		
T	-23.698326549	-46.699461585	777.2		
T	-23.698312964	-46.699409860	776.7		
T	-23.698312860	-46.699374570	776.3		
T	-23.698316484	-46.699330618	775.9		
T	-23.698329683	-46.699288905	775.3		
T	-23.698376259	-46.699221004	774.3		
T	-23.698441654	-46.699156359	773.1		
T	-23.698456319	-46.699129649	772.9		
T	-23.698653996	-46.698939084	770.2		
T	-23.698677111	-46.698929823	769.9		
T	-23.698906300	-46.698713877	767.0		
T	-23.698985802	-46.698636605	766.0		
T	-23.699019919	-46.698600643	765.5		
T	-23.699050209	-46.698566694	765.1		
T	-23.699117453	-46.698481231	764.2		
T	-23.699154339	-46.698425484	763.6		
T	-23.699204170	-46.698349700	762.9		
T	-23.699233015	-46.698295561	762.4		
T	-23.699256501	-46.698240472	761.8		
T	-23.699280279	-46.698167855	761.0		
T	-23.699298539	-46.698091300	760.3		
T	-23.699309470	-46.698001831	759.5		
T	-23.699315243	-46.697891095	758.5		
T	-23.699314450	-46.697820804	757.9		
T	-23.699307036	-46.697748293	757.3		
T	-23.699294587	-46.697676855	756.8		
T	-23.699275833	-46.697603817	756.2		
T	-23.699258914	-46.697549768	755.9		
T	-23.699233516	-46.697489097	755.5		
T	-23.699210116	-46.697444983	755.4		
T	-23.699174302	-46.697378487	755.2		
T	-23.699131224	-46.697316266	755.0		
T	-23.699074177	-46.697245169	754.7		
T	-23.699001968	-46.697163625	754.3		
T	-23.698933686	-46.697099313	754.0		
T	-23.698821998	-46.697014726	753.6		
T	-23.698655704	-46.696890792	752.8		
T	-23.698557859	-46.696820482	752.3		
T	-23.698172831	-46.696558967	751.8		
T	-23.697867440	-46.696354036	752.8		
T	-23.697742819	-46.696281718	753.1		
T	-23.697642184	-46.696225759	753.3		
T	-23.697606345	-46.696211721	753.4		
T	-23.697576421	-46.696210123	753.5		
T	-23.697542008	-46.696212187	753.6		
T	-23.697514879	-46.696220189	753.8		
T	-23.697469407	-46.696235344	753.9		
T	-23.697438705	-46.696255071	753.9		
T	-23.697410640	-46.696281539	754.0		
T	-23.697371669	-46.696328832	754.1		
T	-23.697334006	-46.696393301	754.4		
T	-23.697281147	-46.696501546	754.7		
T	-23.697257536	-46.696563167	755.0		
T	-23.697060459	-46.697183384	759.0		
T	-23.697049850	-46.697226797	759.3		
T	-23.697042422	-46.697258929	759.5		
T	-23.697038099	-46.697297327	759.8		
T	-23.697037621	-46.697334123	760.1		
T	-23.697041210	-46.697369007	760.3		
T	-23.697050672	-46.697473228	761.2		
T	-23.697085201	-46.697690516	763.2		
T	-23.697148979	-46.698023246	766.4		
T	-23.697218180	-46.698277927	768.8		
T	-23.697306309	-46.698539174	771.6		
T	-23.697373151	-46.698716267	773.4		
T	-23.697440292	-46.698882229	775.2		
T	-23.697512535	-46.699035510	776.7		
T	-23.697565861	-46.699141879	777.5		
T	-23.697624740	-46.699248540	778.3		
T	-23.697700778	-46.699364099	779.2		
T	-23.697770196	-46.699459523	779.9		
