type	latitude	longitude	altitude (m)	name	desc
T	-23.704079551	-46.699930641	785.8	Interlagos Outer	
T	-23.705273369	-46.699597137	785.9		
T	-23.705670055	-46.699483950	786.6		
T	-23.705801365	-46.699445610	786.9		
T	-23.705881586	-46.699416751	787.0		
T	-23.705938865	-46.699394955	787.0		
T	-23.706013823	-46.699362541	787.1		
T	-23.706155520	-46.699288418	787.2		
T	-23.706243708	-46.699228478	787.2		
T	-23.706294406	-46.699190055	787.2		
T	-23.706356385	-46.699132181	787.0		
T	-23.706409342	-46.699073964	786.8		
T	-23.706437378	-46.699035824	786.6		
T	-23.706457954	-46.698990087	786.4		
T	-23.706468372	-46.698959113	786.2		
T	-23.706478131	-46.698922785	786.0		
T	-23.706481169	-46.698861803	785.6		
T	-23.706478623	-46.698805416	785.3		
T	-23.706475546	-46.698772131	785.1		
T	-23.706465053	-46.698735990	784.8		
T	-23.706456953	-46.698710433	784.6		
T	-23.706438818	-46.698675375	784.3		
T	-23.706408145	-46.698631967	784.0		
T	-23.706238668	-46.698451213	782.2		
T	-23.706196808	-46.698412895	781.8		
T	-23.706158227	-46.698371157	781.4		
T	-23.706113419	-46.698325427	780.9		
T	-23.706077388	-46.698284231	780.4		
T	-23.706057500	-46.698260025	780.1		
T	-23.706034558	-46.698228934	779.7		
T	-23.706021744	-46.698200966	779.3		
T	-23.706013869	-46.698167968	779.0		
T	-23.706008213	-46.698128980	778.5		
T	-23.706007761	-46.698090931	778.1		
T	-23.706012396	-46.698045258	777.7		
T	-23.706020979	-46.698009241	777.4		
T	-23.706055971	-46.697923538	776.8		
T	-23.706158250	-46.697750948	776.1		
T	-23.706225250	-46.697617592	775.6		
T	-23.706264344	-46.697524307	775.4		
T	-23.706302488	-46.697388559	775.5		
T	-23.706318760	-46.697323688	775.6		
T	-23.706332230	-46.697240327	775.7		
T	-23.706340911	-46.697159394	775.7		
T	-23.706343828	-46.697081928	775.6		
T	-23.706344269	-46.697001549	775.5		
T	-23.706340827	-46.696918845	775.4		
T	-23.706334873	-46.696839545	775.2		
T	-23.706326471	-46.696773972	775.0		
T	-23.706317680	-46.696717385	774.9		
T	-23.706304859	-46.696657918	774.7		
T	-23.706290373	-46.696603771	774.7		
T	-23.706275797	-46.696561408	774.6		
T	-23.706257360	-46.696504722	774.6		
T	-23.706220342	-46.696413078	774.4		
T	-23.706163706	-46.696288048	774.1		
T	-23.706106796	-46.696190934	773.6		
T	-23.706067992	-46.696135226	773.3		
T	-23.706001271	-46.696044380	772.7		
T	-23.705917942	-46.695951434	771.8		
T	-23.705836077	-46.695873855	770.9		
T	-23.705778291	-46.695821011	770.7		
T	-23.705703507	-46.695766810	770.6		
T	-23.705632992	-46.695720192	770.4		
T	-23.705545056	-46.695671370	770.1		
T	-23.705441539	-46.695627928	769.8		
T	-23.705375813	-46.695604279	769.5		
T	-23.705317217	-46.695574992	769.3		
T	-23.704315523	-46.695277009	763.3		
T	-23.704269107	-46.695274633	762.9		
T	-23.703231056	-46.694966791	761.8		
T	-23.701211800	-46.694380930	755.1		
T	-23.700093048	-46.694039079	751.2		
T	-23.699978075	-46.694003514	750.6		
T	-23.699916608	-46.693992299	750.7		
T	-23.699857500	-46.693990048	750.7		
T	-23.699805880	-46.693989873	750.8		
T	-23.699740586	-46.694002536	750.9		
T	-23.699665033	-46.694022714	750.9		
T	-23.699621989	-46.694045585	751.0		
T	-23.699580472	-46.694073466	751.0		
T	-23.699541159	-46.694109405	751.0		
T	-23.699499214	-46.694158144	751.0		
T	-23.699468073	-46.694212516	750.7		
T	-23.699448683	-46.694240858	750.5		
T	-23.699429751	-46.694304895	750.1		
T	-23.699399980	-46.694431590	749.3		
T	-23.699363031	-46.694607504	748.1		
T	-23.699302499	-46.694957974	745.6		
T	-23.699287695	-46.695104987	745.5		
T	-23.699268593	-46.695218287	745.7		
T	-23.699260657	-46.695305686	745.8		
T	-23.699259872	-46.695381163	746.0		
T	-23.699259537	-46.695452414	746.1		
T	-23.699264561	-46.695516539	746.3		
T	-23.699274422	-46.695593385	746.4		
T	-23.699286453	-46.695664479	746.5		
T	-23.699305916	-46.695753306	746.7		
T	-23.699330494	-46.695827073	746.8		
T	-23.699354448	-46.695891841	747.0		
T	-23.699376794	-46.695948790	747.2		
T	-23.699406907	-46.696008317	747.3		
T	-23.699439903	-46.696068988	747.4		
T	-23.699474606	-46.696119971	747.5		
T	-23.699516720	-46.696176406	747.5		
T	-23.699579978	-46.696256245	747.5		
T	-23.699632967	-46.696314789	747.5		
T	-23.699738361	-46.696405646	747.2		
T	-23.699762942	-46.696434806	747.1		
T	-23.700281542	-46.696842440	748.6		
T	-23.700331163	-46.696868229	748.9		
T	-23.701127445	-46.697491810	752.8		
T	-23.701905801	-46.698111837	758.9		
T	-23.702059163	-46.698244165	760.3		
T	-23.702092854	-46.698275163	760.6		
T	-23.702119396	-46.698306652	760.9		
T	-23.702160681	-46.698352856	761.5		
T	-23.702188953	-46.698386994	762.0		
T	-23.702208954	-46.698418758	762.4		
T	-23.702229187	-46.698451918	762.8		
T	-23.702250053	-46.698491623	763.2		
T	-23.702267303	-46.698532422	763.7		
T	-23.702278435	-46.698575179	764.1		
T	-23.702292743	-46.698624913	764.5		
T	-23.702301165	-46.698658327	764.8		
T	-23.702310485	-46.698699158	765.1		
T	-23.702317601	-46.698757818	765.6		
T	-23.702318097	-46.698816287	765.9		
T	-23.702314791	-46.698903005	766.4		
T	-23.702301449	-46.699020749	767.0		
T	-23.702274496	-46.699159909	767.5		
T	-23.702246422	-46.699252969	768.2		
T	-23.702219213	-46.699330466	768.8		
T	-23.702188246	-46.699405490	769.4		
T	-23.702172309	-46.699437378	769.6		
T	-23.702145707	-46.699470062	769.8		
T	-23.702122921	-46.699505163	770.1		
T	-23.702102202	-46.699533897	770.3		
T	-23.702073742	-46.699566227	770.5		
T	-23.702051317	-46.699590719	770.6		
T	-23.702023368	-46.699617626	770.8		
T	-23.701995959	-46.699643435	771.0		
T	-23.701968217	-46.699664454	771.1		
T	-23.701941407	-46.699683575	771.2		
T	-23.701914380	-46.699708331	771.4		
T	-23.701884696	-46.699721984	771.5		
T	-23.701850231	-46.699736886	771.5		
T	-23.701813272	-46.699746701	771.5		
T	-23.701676394	-46.699780791	771.4		
T	-23.701401656	-46.699838984	771.5		
T	-23.701068713	-46.699901662	771.1		
T	-23.700981859	-46.699915392	770.9		
T	-23.700907032	-46.699921130	770.6		
T	-23.700811980	-46.699921213	770.5		
T	-23.700739750	-46.699913817	771.0		
T	-23.700687426	-46.699901509	771.3		
T	-23.700636783	-46.699875709	771.5		
T	-23.700606775	-46.699848095	771.4		
T	-23.700587444	-46.699823647	771.3		
T	-23.700573423	-46.699796478	771.2		
T	-23.700562066	-46.699762215	770.9		
T	-23.700556751	-46.699728615	770.6		
T	-23.700558973	-46.699696146	770.3		
T	-23.700568974	-46.699642740	769.7		
T	-23.700583763	-46.699598411	769.1		
T	-23.700608226	-46.699542932	768.5		
T	-23.700642254	-46.699474892	767.6		
T	-23.700772635	-46.699282210	765.2		
T	-23.700804361	-46.699222327	764.6		
T	-23.700825278	-46.699161843	764.0		
T	-23.700837883	-46.699101404	763.4		
T	-23.700843946	-46.699055518	762.9		
T	-23.700845651	-46.698996790	762.3		
T	-23.700841253	-46.698946359	761.9		
T	-23.700831684	-46.698892760	761.4		
T	-23.700814445	-46.698835819	760.9		
T	-23.700789411	-46.698779892	760.4		
T	-23.700760569	-46.698730598	760.1		
T	-23.700721014	-46.698683126	759.8		
T	-23.700681795	-46.698642428	759.5		
T	-23.700644531	-46.698609501	759.3		
T	-23.700576194	-46.698567632	759.2		
T	-23.700524215	-46.698544988	759.1		
T	-23.700480721	-46.698531497	759.2		
T	-23.700446165	-46.698524731	759.2		
T	-23.700382451	-46.698520428	759.4		
T	-23.700330192	-46.698525045	759.7		
T	-23.700269037	-46.698538650	760.0		
T	-23.700220319	-46.698555759	760.3		
T	-23.700170744	-46.698582774	760.8		
T	-23.700117779	-46.698618605	761.3		
T	-23.700038571	-46.698693762	762.3		
T	-23.699982922	-46.698752584	763.1		
T	-23.699921453	-46.698806645	763.8		
T	-23.699819905	-46.698929468	765.1		
T	-23.699767209	-46.698989350	765.8		
T	-23.699720404	-46.699036850	766.2		
T	-23.699662509	-46.699102252	766.9		
T	-23.699629158	-46.699132606	767.2		
T	-23.699556722	-46.699197717	768.0		
T	-23.699506369	-46.699238285	768.7		
T	-23.699455160	-46.699278380	769.4		
T	-23.699400635	-46.699317486	770.1		
T	-23.699352973	-46.699347687	770.7		
T	-23.699286503	-46.699386188	771.4		
T	-23.699227352	-46.699413331	772.0		
T	-23.699137830	-46.699448800	772.9		
T	-23.699070165	-46.699465666	773.5		
T	-23.698911036	-46.699505278	774.9		
T	-23.698716001	-46.699542343	776.3		
T	-23.698639758	-46.699550214	776.8		
T	-23.698575368	-46.699548802	777.0		
T	-23.698539016	-46.699532254	777.0		
T	-23.698514297	-46.699510811	776.9		
T	-23.698486017	-46.699477345	776.6		
T	-23.698468369	-46.699448241	776.3		
T	-23.698458995	-46.699421383	776.1		
T	-23.698455359	-46.699392005	775.8		
T	-23.698455974	-46.699360448	775.4		
T	-23.698463190	-46.699328006	775.0		
T	-23.698473531	-46.699300486	774.6		
T	-23.698498756	-46.699257504	773.9		
T	-23.698539043	-46.699209412	773.0		
T	-23.698619539	-46.699122958	771.6		
T	-23.699035358	-46.698723776	766.2		
T	-23.699137410	-46.698624719	764.9		
T	-23.699200300	-46.698557993	764.2		
T	-23.699252778	-46.698488973	763.6		
T	-23.699292193	-46.698427629	763.0		
T	-23.699328153	-46.698370119	762.5		
T	-23.699367282	-46.698284397	761.6		
T	-23.699403953	-46.698174438	760.5		
T	-23.699420138	-46.698109443	759.8		
T	-23.699437729	-46.698004990	758.8		
T	-23.699443964	-46.697914637	758.0		
T	-23.699443202	-46.697828162	757.2		
T	-23.699437034	-46.697751169	756.6		
T	-23.699425980	-46.697661725	755.9		
T	-23.699410714	-46.697596980	755.4		
T	-23.699375270	-46.697499102	754.7		
T	-23.699293895	-46.697322405	754.2		
T	-23.699232424	-46.697225729	754.0		
T	-23.699172051	-46.697153938	753.9		
T	-23.699063901	-46.697056202	753.5		
T	-23.698960221	-46.696979640	753.2		
T	-23.698814484	-46.696873359	752.6		
T	-23.698684631	-46.696785807	752.0		
T	-23.698553043	-46.696696353	751.3		
T	-23.698507127	-46.696674388	751.1		
T	-23.697853146	-46.696218503	752.4		
T	-23.697636970	-46.696076836	752.7		
T	-23.697586523	-46.696060773	752.8		
T	-23.697534549	-46.696057629	753.0		
T	-23.697475190	-46.696068018	753.1		
T	-23.697428074	-46.696085038	753.1		
T	-23.697378613	-46.696111016	753.1		
T	-23.697341376	-46.696142461	753.2		
T	-23.697291838	-46.696206667	753.4		
T	-23.697256992	-46.696274692	753.7		
T	-23.697214424	-46.696349351	753.9		
T	-23.697124239	-46.696604435	754.8		
T	-23.697004406	-46.696966839	757.1		
T	-23.696974138	-46.697087423	758.0		
T	-23.696944463	-46.697205129	758.8		
T	-23.696935270	-46.697246248	759.0		
T	-23.696930279	-46.697286949	759.3		
T	-23.696928851	-46.697333915	759.7		
T	-23.696926463	-46.697384905	760.1		
T	-23.696929277	-46.697441181	760.5		
T	-23.696933790	-46.697496069	760.9		
T	-23.696947218	-46.697590497	761.8		
T	-23.696967577	-46.697715609	763.1		
T	-23.697039278	-46.698190279	767.6		
T	-23.697057131	-46.698272585	768.4		
T	-23.697075641	-46.698333662	769.0		
T	-23.697110188	-46.698440456	770.2		
T	-23.697257832	-46.698806896	774.1		
T	-23.697364585	-46.699053920	776.7		
T	-23.697409404	-46.699153852	777.8		
T	-23.697446050	-46.699226257	778.6		
T	-23.697493297	-46.699317485	779.6		
T	-23.697549461	-46.699411305	780.4		
T	-23.697631515	-46.699528223	781.3		
T	-23.697739017	-46.699657563	782.2		
T	-23.697850085	-46.699759628	782.7		
T	-23.698023512	-46.699884499	783.2		
T	-23.698215798	-46.699981974	783.4		
T	-23.698371334	-46.700034487	783.2		
T	-23.699112941	-46.700231672	784.8		
T	-23.700058373	-46.700478025	785.1		
T	-23.700493289	-46.700591306	784.8		
T	-23.700671174	-46.700630502	784.6		
T	-23.700737562	-46.700646535	784.6		
T	-23.700828425	-46.700658399	784.5		
T	-23.700919762	-46.700668976	785.1		
T	-23.701021101	-46.700673389	785.6		
T	-23.701173468	-46.700674633	786.4		
T	-23.701307389	-46.700663785	786.8		
T	-23.701452027	-46.700640347	787.0		
T	-23.701553329	-46.700619286	787.1		
T	-23.702302549	-46.700419605	782.4		
T	-23.702888233	-46.700258216	782.7		
T	-23.704026018	-46.699944957	785.8		
T	-23.704079551	-46.699930641	785.8		
