type	latitude	longitude	altitude (m)	name	desc
T	36.709702459	-6.032448768	41.1	Jerez Inner	
T	36.710289395	-6.032752900	41.1		
T	36.711511402	-6.033388274	38.8		
T	36.712198561	-6.033744682	41.3		
T	36.712299850	-6.033798404	42.4		
T	36.712352110	-6.033823629	43.0		
T	36.712389772	-6.033833302	43.5		
T	36.712424039	-6.033839138	44.0		
T	36.712455956	-6.033837643	44.4		
T	36.712494704	-6.033830332	44.9		
T	36.712524320	-6.033821118	45.2		
T	36.712557062	-6.033801049	45.4		
T	36.712598491	-6.033770604	45.7		
T	36.712635333	-6.033734189	46.0		
T	36.712668498	-6.033685843	46.2		
T	36.712689255	-6.033645418	46.4		
T	36.712704958	-6.033609063	46.5		
T	36.712714805	-6.033562881	46.5		
T	36.712723551	-6.033459270	46.6		
T	36.712729324	-6.032860253	49.2		
T	36.712731149	-6.032025321	51.5		
T	36.712731892	-6.031650819	50.8		
T	36.712730474	-6.031532941	50.4		
T	36.712722744	-6.031466239	50.2		
T	36.712706264	-6.031421001	50.1		
T	36.712679248	-6.031369574	50.0		
T	36.712645549	-6.031328144	49.9		
T	36.712616944	-6.031307053	49.8		
T	36.712580305	-6.031286493	49.7		
T	36.712551435	-6.031278785	49.7		
T	36.712514956	-6.031276413	49.6		
T	36.712476960	-6.031280445	49.6		
T	36.712440426	-6.031292123	49.5		
T	36.712390208	-6.031319561	49.5		
T	36.712352123	-6.031356011	49.4		
T	36.712295284	-6.031444737	49.1		
T	36.712111272	-6.031759764	47.5		
T	36.712055696	-6.031853323	46.9		
T	36.711986084	-6.031941586	46.2		
T	36.711923444	-6.032006424	45.8		
T	36.711843104	-6.032070459	45.6		
T	36.711727433	-6.032138808	45.0		
T	36.711628900	-6.032174526	44.6		
T	36.711529669	-6.032190365	44.7		
T	36.711446689	-6.032193812	44.9		
T	36.711328704	-6.032187260	45.0		
T	36.711232006	-6.032185459	44.7		
T	36.710717440	-6.032145576	42.7		
T	36.710385390	-6.032116982	42.8		
T	36.710310193	-6.032105447	42.8		
T	36.710235344	-6.032088141	42.8		
T	36.710155949	-6.032058373	42.7		
T	36.710084580	-6.032028432	42.4		
T	36.710002182	-6.031984238	42.0		
T	36.709921609	-6.031929515	41.8		
T	36.709834499	-6.031856357	41.7		
T	36.709742621	-6.031762611	41.7		
T	36.709672717	-6.031676505	42.0		
T	36.709584053	-6.031541018	43.1		
T	36.709525088	-6.031421924	44.0		
T	36.709477005	-6.031295158	44.9		
T	36.709440698	-6.031176918	45.5		
T	36.709413722	-6.031044602	46.1		
T	36.709392693	-6.030897539	46.8		
T	36.709368272	-6.030748863	47.0		
T	36.709298520	-6.030069615	46.3		
T	36.709256195	-6.029688819	47.4		
T	36.709186331	-6.029068113	49.1		
T	36.709128027	-6.028567368	51.6		
T	36.709086852	-6.028193736	52.8		
T	36.709072615	-6.028073129	53.2		
T	36.709048928	-6.027933455	53.0		
T	36.709028057	-6.027856466	52.6		
T	36.708992785	-6.027758391	52.1		
T	36.708954967	-6.027679789	51.7		
T	36.708914840	-6.027611886	51.3		
T	36.708875771	-6.027556468	51.0		
T	36.708827664	-6.027502792	50.8		
T	36.708784196	-6.027459152	50.8		
T	36.708736642	-6.027418989	50.9		
T	36.708695831	-6.027390049	51.0		
T	36.708648558	-6.027361240	51.1		
T	36.708606173	-6.027339582	51.2		
T	36.708563045	-6.027320028	51.5		
T	36.708515072	-6.027305044	51.7		
T	36.708472848	-6.027294845	52.0		
T	36.708414802	-6.027285763	52.2		
T	36.708358089	-6.027282366	52.5		
T	36.708267581	-6.027287702	52.7		
T	36.708158776	-6.027300984	52.9		
T	36.708081537	-6.027317143	52.9		
T	36.708012757	-6.027341086	52.9		
T	36.707949561	-6.027371381	53.0		
T	36.707901770	-6.027397946	53.0		
T	36.707845092	-6.027437015	53.0		
T	36.707806930	-6.027469186	53.0		
T	36.707772799	-6.027498769	53.0		
T	36.707728013	-6.027545316	52.9		
T	36.707688057	-6.027590042	52.8		
T	36.707634664	-6.027661917	52.6		
T	36.707551955	-6.027785847	52.6		
T	36.707326718	-6.028135523	53.5		
T	36.706953698	-6.028711556	52.3		
T	36.706238391	-6.029813239	45.7		
T	36.705700960	-6.030639608	42.0		
T	36.705193763	-6.031419148	43.7		
T	36.704585542	-6.032355092	48.0		
T	36.704305545	-6.032787962	46.9		
T	36.704234858	-6.032897606	46.3		
T	36.704206297	-6.032947501	46.0		
T	36.704189253	-6.032989800	45.6		
T	36.704177249	-6.033039062	45.1		
T	36.704174004	-6.033087575	45.0		
T	36.704179107	-6.033147710	45.0		
T	36.704192927	-6.033202235	45.0		
T	36.704211482	-6.033242413	44.9		
T	36.704232282	-6.033277128	45.0		
T	36.704258952	-6.033310464	45.0		
T	36.704296869	-6.033339401	45.0		
T	36.704333694	-6.033356519	45.1		
T	36.704383913	-6.033365078	45.1		
T	36.704442506	-6.033358363	45.1		
T	36.704524026	-6.033323526	45.3		
T	36.705070003	-6.032985274	44.5		
T	36.705577789	-6.032669399	45.3		
T	36.705890580	-6.032472512	44.6		
T	36.706008011	-6.032408189	44.2		
T	36.706108586	-6.032370125	43.9		
T	36.706201364	-6.032347275	43.3		
T	36.706303536	-6.032338584	42.4		
T	36.706414634	-6.032343365	41.5		
T	36.706505563	-6.032359238	41.3		
T	36.706614275	-6.032393843	41.1		
T	36.706712322	-6.032441310	40.8		
T	36.706789797	-6.032488949	40.6		
T	36.706866428	-6.032550259	40.0		
T	36.707082158	-6.032753871	38.6		
T	36.707134140	-6.032799020	38.3		
T	36.707666265	-6.033320632	37.6		
T	36.708192676	-6.033837745	36.7		
T	36.708249888	-6.033914836	36.6		
T	36.708284455	-6.033969226	36.6		
T	36.708337054	-6.034065490	36.4		
T	36.708370368	-6.034154969	36.2		
T	36.708403403	-6.034255391	36.2		
T	36.708422822	-6.034344544	36.1		
T	36.708436499	-6.034429846	36.0		
T	36.708444350	-6.034515565	36.0		
T	36.708444258	-6.034619066	36.0		
T	36.708435407	-6.034736428	36.0		
T	36.708413250	-6.034850863	36.0		
T	36.708388710	-6.034950375	36.0		
T	36.708359626	-6.035028837	35.9		
T	36.708316305	-6.035133840	35.5		
T	36.708271499	-6.035223227	35.2		
T	36.708222801	-6.035306280	35.0		
T	36.708161919	-6.035392277	35.0		
T	36.708075797	-6.035499717	35.0		
T	36.707988264	-6.035584408	35.2		
T	36.707884455	-6.035665312	35.6		
T	36.707782279	-6.035728676	36.0		
T	36.707708819	-6.035765367	36.3		
T	36.707624259	-6.035809871	36.6		
T	36.707258665	-6.035967632	36.9		
T	36.707049845	-6.036050869	37.6		
T	36.706482415	-6.036294393	39.7		
T	36.706304527	-6.036370814	39.2		
T	36.706245269	-6.036401143	38.9		
T	36.706185240	-6.036447550	38.7		
T	36.706142190	-6.036497330	38.5		
T	36.706110224	-6.036551182	38.4		
T	36.706090834	-6.036597585	38.5		
T	36.706072414	-6.036653403	38.6		
T	36.706062202	-6.036702542	38.5		
T	36.706057871	-6.036744386	38.4		
T	36.706057120	-6.036796976	38.1		
T	36.706061554	-6.036842616	37.9		
T	36.706070448	-6.036893723	37.5		
T	36.706086473	-6.036949602	37.2		
T	36.706142057	-6.037068156	36.9		
T	36.706372309	-6.037461493	38.7		
T	36.706528415	-6.037725073	39.3		
T	36.706555348	-6.037766774	39.4		
T	36.706574189	-6.037788945	39.4		
T	36.706598861	-6.037810965	39.4		
T	36.706628310	-6.037829736	39.4		
T	36.706657066	-6.037847933	39.3		
T	36.706689150	-6.037859888	39.3		
T	36.706717080	-6.037867749	39.3		
T	36.706748871	-6.037869567	39.3		
T	36.706789030	-6.037871395	39.3		
T	36.706827338	-6.037865011	39.3		
T	36.706869518	-6.037849725	39.3		
T	36.706971620	-6.037791099	39.1		
T	36.707356965	-6.037553321	38.2		
T	36.707786982	-6.037290499	35.3		
T	36.708511130	-6.036848977	34.2		
