type	latitude	longitude	altitude (m)	name	desc
T	36.709663618	-6.032565584	40.6	Jerez Outer	
T	36.710257974	-6.032875554	40.6		
T	36.711090432	-6.033310517	38.1		
T	36.711532065	-6.033540449	38.6		
T	36.711739290	-6.033651032	39.1		
T	36.712199394	-6.033889328	40.8		
T	36.712321663	-6.033949011	42.3		
T	36.712383308	-6.033963478	43.2		
T	36.712445786	-6.033968989	44.2		
T	36.712509548	-6.033963191	45.1		
T	36.712574259	-6.033941969	45.5		
T	36.712633246	-6.033909191	46.0		
T	36.712693928	-6.033852643	46.4		
T	36.712736752	-6.033794993	46.7		
T	36.712772666	-6.033734861	47.0		
T	36.712793432	-6.033676826	47.0		
T	36.712809641	-6.033607944	47.0		
T	36.712821749	-6.033489823	47.2		
T	36.712825346	-6.033407554	47.4		
T	36.712828334	-6.032652736	51.4		
T	36.712824609	-6.032254088	52.2		
T	36.712829727	-6.031536949	50.6		
T	36.712820908	-6.031449131	50.3		
T	36.712803189	-6.031374080	50.1		
T	36.712779992	-6.031317370	50.0		
T	36.712749593	-6.031271812	50.0		
T	36.712711229	-6.031228155	49.9		
T	36.712674507	-6.031195981	49.7		
T	36.712632445	-6.031170787	49.6		
T	36.712590943	-6.031153972	49.4		
T	36.712533015	-6.031143931	49.2		
T	36.712473123	-6.031146180	49.1		
T	36.712415166	-6.031163733	49.1		
T	36.712360657	-6.031195725	49.2		
T	36.712307462	-6.031243776	49.1		
T	36.712271841	-6.031286065	49.1		
T	36.712134567	-6.031513789	48.7		
T	36.712032114	-6.031687892	47.9		
T	36.711965097	-6.031797614	47.1		
T	36.711917234	-6.031854337	46.7		
T	36.711881053	-6.031892881	46.6		
T	36.711846416	-6.031925530	46.5		
T	36.711812313	-6.031950745	46.4		
T	36.711758324	-6.031986514	46.3		
T	36.711720823	-6.032010814	46.2		
T	36.711674267	-6.032033443	46.0		
T	36.711623290	-6.032053785	45.8		
T	36.711539058	-6.032070304	45.6		
T	36.711436577	-6.032074759	45.5		
T	36.711249728	-6.032060318	45.7		
T	36.710565480	-6.032010027	43.6		
T	36.710397729	-6.031994039	43.6		
T	36.710303680	-6.031981904	43.7		
T	36.710263352	-6.031972924	43.7		
T	36.710171142	-6.031937968	43.3		
T	36.710130770	-6.031920332	43.1		
T	36.710063511	-6.031883130	42.7		
T	36.710004723	-6.031847401	42.4		
T	36.709961769	-6.031819087	42.3		
T	36.709914008	-6.031780968	42.3		
T	36.709862501	-6.031734341	42.3		
T	36.709809218	-6.031677080	42.3		
T	36.709754829	-6.031609177	42.7		
T	36.709707632	-6.031538207	43.4		
T	36.709638614	-6.031419310	44.4		
T	36.709589177	-6.031306846	45.4		
T	36.709534337	-6.031145753	46.6		
T	36.709515359	-6.031071278	47.1		
T	36.709493792	-6.030914806	48.2		
T	36.709405344	-6.030172026	47.5		
T	36.709288269	-6.029117815	51.0		
T	36.709221383	-6.028544210	53.2		
T	36.709182981	-6.028194003	53.7		
T	36.709161540	-6.028011699	54.0		
T	36.709143826	-6.027908146	53.8		
T	36.709120731	-6.027832571	53.5		
T	36.709091432	-6.027742137	53.2		
T	36.709054689	-6.027657901	52.8		
T	36.709016819	-6.027583328	52.4		
T	36.708962458	-6.027503654	51.8		
T	36.708880164	-6.027400767	51.3		
T	36.708802620	-6.027331081	51.5		
T	36.708713607	-6.027269035	51.7		
T	36.708630181	-6.027224448	52.0		
T	36.708523236	-6.027186602	52.7		
T	36.708443766	-6.027170846	53.0		
T	36.708370807	-6.027165888	53.3		
T	36.708293707	-6.027167294	53.5		
T	36.708220521	-6.027175531	53.7		
T	36.708147788	-6.027185464	53.9		
T	36.708081833	-6.027199797	54.1		
T	36.708024618	-6.027217547	54.1		
T	36.707959755	-6.027243807	54.1		
T	36.707908811	-6.027268684	54.1		
T	36.707837506	-6.027308325	54.1		
T	36.707733336	-6.027389235	53.9		
T	36.707652618	-6.027468661	53.6		
T	36.707594838	-6.027536824	53.5		
T	36.707450895	-6.027752376	53.3		
T	36.707279150	-6.028022329	53.6		
T	36.706859639	-6.028673044	52.6		
T	36.706482725	-6.029253537	48.7		
T	36.706055569	-6.029909573	45.6		
T	36.705779244	-6.030334580	43.8		
T	36.705272154	-6.031115782	42.0		
T	36.704715434	-6.031972091	48.0		
T	36.704188323	-6.032781308	47.8		
T	36.704118996	-6.032891906	47.6		
T	36.704086906	-6.032987223	47.3		
T	36.704074625	-6.033055301	47.0		
T	36.704070288	-6.033104206	46.9		
T	36.704074824	-6.033172989	46.6		
T	36.704100447	-6.033261062	45.9		
T	36.704137301	-6.033338855	45.3		
T	36.704194021	-6.033412278	45.3		
T	36.704263574	-6.033469783	45.5		
T	36.704338211	-6.033493166	45.6		
T	36.704402792	-6.033499071	45.6		
T	36.704469150	-6.033483408	45.7		
T	36.704561269	-6.033436627	45.9		
T	36.704741817	-6.033322972	46.0		
T	36.705013949	-6.033150539	45.1		
T	36.705482781	-6.032857042	45.8		
T	36.705906990	-6.032596054	44.2		
T	36.706012003	-6.032533256	43.7		
T	36.706096412	-6.032492154	43.2		
T	36.706176420	-6.032473079	42.7		
T	36.706249479	-6.032459427	42.2		
T	36.706345971	-6.032460964	41.5		
T	36.706446695	-6.032473013	41.1		
T	36.706536974	-6.032495497	41.0		
T	36.706647691	-6.032535556	40.8		
T	36.706747966	-6.032592505	40.1		
T	36.706822516	-6.032655747	39.6		
T	36.706917345	-6.032749596	39.1		
T	36.707516823	-6.033328265	37.1		
T	36.708059077	-6.033857987	36.1		
T	36.708132099	-6.033938027	36.2		
T	36.708202069	-6.034033195	36.3		
T	36.708248426	-6.034118293	36.1		
T	36.708284823	-6.034212174	36.0		
