type	latitude	longitude	altitude (m)	name	desc
T	36.586427534	-121.756593782	230.5	Laguna Seca Inner	
T	36.586358642	-121.756654225	230.9		
T	36.586272296	-121.756728371	231.4		
T	36.586131296	-121.756846766	232.2		
T	36.586106440	-121.756863928	232.4		
T	36.586077993	-121.756883073	232.6		
T	36.585969649	-121.756944664	233.1		
T	36.585626384	-121.757130412	236.9		
T	36.585276414	-121.757324837	239.2		
T	36.585094912	-121.757425566	238.6		
T	36.584867795	-121.757555165	238.0		
T	36.584818253	-121.757580512	238.0		
T	36.584769466	-121.757600991	237.7		
T	36.584701093	-121.757629447	237.0		
T	36.584629401	-121.757655158	236.0		
T	36.584561679	-121.757674902	235.4		
T	36.584500357	-121.757688938	235.5		
T	36.584430488	-121.757701292	235.6		
T	36.584359915	-121.757708593	235.5		
T	36.584271068	-121.757712584	235.3		
T	36.584097405	-121.757714692	234.8		
T	36.583891443	-121.757712136	233.6		
T	36.583720411	-121.757708797	232.5		
T	36.583550556	-121.757705011	232.1		
T	36.583303477	-121.757692546	231.3		
T	36.583085518	-121.757681992	230.7		
T	36.582864115	-121.757671604	230.1		
T	36.582797315	-121.757665699	229.8		
T	36.582754805	-121.757659757	229.5		
T	36.582731198	-121.757653155	229.3		
T	36.582701746	-121.757641466	229.1		
T	36.582680957	-121.757629268	228.9		
T	36.582658107	-121.757613096	228.7		
T	36.582634358	-121.757591444	228.4		
T	36.582605969	-121.757561767	228.3		
T	36.582586645	-121.757533959	228.1		
T	36.582565796	-121.757490329	227.8		
T	36.582550653	-121.757447616	227.5		
T	36.582547744	-121.757419179	227.3		
T	36.582548497	-121.757370714	226.9		
T	36.582564403	-121.757251050	226.2		
T	36.582576597	-121.757176505	225.8		
T	36.582587244	-121.757124420	225.5		
T	36.582603129	-121.757074439	225.2		
T	36.582626073	-121.757033690	225.0		
T	36.582645834	-121.757010741	224.9		
T	36.582669665	-121.756985363	224.8		
T	36.582701628	-121.756963387	224.7		
T	36.582740098	-121.756947300	224.7		
T	36.582773430	-121.756937464	224.6		
T	36.582821649	-121.756930367	224.6		
T	36.582852197	-121.756936527	224.7		
T	36.582926622	-121.756965356	224.9		
T	36.583087490	-121.757038329	225.3		
T	36.583130117	-121.757054697	225.4		
T	36.583147064	-121.757060767	225.5		
T	36.583257786	-121.757095058	225.7		
T	36.583335167	-121.757116648	225.9		
T	36.583428296	-121.757138973	226.2		
T	36.583519297	-121.757154657	226.4		
T	36.583639071	-121.757170193	226.6		
T	36.583726711	-121.757178006	226.7		
T	36.583791326	-121.757181648	226.8		
T	36.583880857	-121.757182036	226.9		
T	36.583976600	-121.757181332	227.0		
T	36.584034895	-121.757176881	227.0		
T	36.584101150	-121.757170238	227.1		
T	36.584161024	-121.757160836	227.1		
T	36.584248154	-121.757144691	227.1		
T	36.584379341	-121.757116550	227.2		
T	36.584469261	-121.757093364	227.2		
T	36.584587936	-121.757064075	227.3		
T	36.584626839	-121.757056391	227.5		
T	36.584662041	-121.757047173	227.6		
T	36.584697094	-121.757036036	227.7		
T	36.584735756	-121.757020627	227.8		
T	36.584782083	-121.756997406	227.8		
T	36.584816172	-121.756974114	227.8		
T	36.584864546	-121.756928241	227.6		
T	36.584894238	-121.756893825	227.5		
T	36.584922662	-121.756854759	227.2		
T	36.584947312	-121.756814445	227.0		
T	36.584969694	-121.756769919	226.8		
T	36.584989112	-121.756723281	226.6		
T	36.585001402	-121.756682161	226.4		
T	36.585015087	-121.756613745	226.1		
T	36.585022361	-121.756550410	225.8		
T	36.585023527	-121.756504793	225.7		
T	36.585021287	-121.756458118	225.6		
T	36.585016657	-121.756420822	225.5		
T	36.585007994	-121.756353522	225.3		
T	36.584999479	-121.756298675	225.2		
T	36.584894512	-121.755750704	223.9		
T	36.584776776	-121.755162539	223.1		
T	36.584709505	-121.754800374	223.0		
T	36.584675494	-121.754616871	223.0		
T	36.584641961	-121.754448502	223.1		
T	36.584627027	-121.754363354	223.1		
T	36.584616407	-121.754309850	223.2		
T	36.584606433	-121.754268109	223.3		
T	36.584585804	-121.754192861	223.4		
T	36.584559629	-121.754117484	223.6		
T	36.584535797	-121.754064137	223.7		
T	36.584520721	-121.754035126	223.8		
T	36.584492773	-121.753989455	224.0		
T	36.584462396	-121.753947073	224.2		
T	36.584434081	-121.753911520	224.4		
T	36.584408953	-121.753882803	224.5		
T	36.584385068	-121.753858977	224.7		
T	36.584367941	-121.753843311	224.8		
T	36.584347477	-121.753826277	224.9		
T	36.584320431	-121.753806576	225.0		
T	36.584275398	-121.753778810	225.2		
T	36.584219331	-121.753752668	225.3		
T	36.584156496	-121.753731333	225.5		
T	36.584109471	-121.753721573	225.6		
T	36.584075312	-121.753717513	225.7		
T	36.584031576	-121.753712981	225.7		
T	36.584005330	-121.753706222	225.8		
T	36.583864509	-121.753688298	225.9		
T	36.583495472	-121.753654066	226.2		
T	36.583257114	-121.753636260	226.6		
T	36.583049461	-121.753615785	227.1		
T	36.582975638	-121.753612280	227.2		
T	36.582912081	-121.753607161	227.4		
T	36.582849822	-121.753606251	227.5		
T	36.582769365	-121.753608094	227.6		
T	36.582662850	-121.753616613	227.8		
T	36.582564573	-121.753627162	228.0		
T	36.582498560	-121.753637799	228.2		
T	36.582342652	-121.753670902	228.5		
T	36.582239192	-121.753698913	228.6		
T	36.581856398	-121.753825356	229.2		
T	36.581653999	-121.753900303	229.4		
T	36.581379475	-121.753998776	229.7		
T	36.580658602	-121.754248678	231.4		
T	36.580524957	-121.754298179	231.8		
T	36.580500079	-121.754307938	231.8		
T	36.580445824	-121.754322097	232.0		
T	36.580391418	-121.754325275	232.2		
T	36.580349561	-121.754323128	232.4		
T	36.580302481	-121.754314985	232.7		
T	36.580260094	-121.754301088	232.9		
T	36.580213276	-121.754278140	233.1		
T	36.580185225	-121.754262123	233.2		
T	36.580144916	-121.754232922	233.3		
T	36.580102123	-121.754188836	233.4		
T	36.580056433	-121.754128664	233.4		
T	36.580017712	-121.754067316	233.4		
T	36.579988955	-121.753998862	233.3		
T	36.579961923	-121.753888421	233.2		
T	36.579944406	-121.753791112	233.1		
T	36.579932589	-121.753699420	233.0		
T	36.579928034	-121.753636627	233.0		
T	36.579926607	-121.753599677	233.0		
T	36.579926864	-121.753552459	232.9		
T	36.579928332	-121.753487634	232.9		
T	36.579933810	-121.753406347	232.9		
T	36.579951442	-121.753235293	233.1		
T	36.579965082	-121.753106398	233.8		
T	36.579986065	-121.752930073	234.9		
T	36.580045573	-121.752544315	237.1		
T	36.580069637	-121.752384571	237.9		
T	36.580088376	-121.752265606	238.7		
T	36.580117872	-121.752071729	240.1		
T	36.580132950	-121.751972921	240.5		
T	36.580145398	-121.751887423	240.8		
T	36.580168315	-121.751706541	241.3		
T	36.580190048	-121.751542132	241.6		
T	36.580207894	-121.751389057	241.5		
T	36.580254915	-121.750962547	243.1		
T	36.580275236	-121.750807817	244.1		
T	36.580312904	-121.750546455	245.9		
T	36.580364454	-121.750166798	248.2		
T	36.580375329	-121.750087469	248.2		
T	36.580381670	-121.750047956	248.1		
T	36.580390619	-121.750014745	247.9		
T	36.580405917	-121.749973492	247.6		
T	36.580430054	-121.749934636	247.5		
T	36.580468891	-121.749888140	247.5		
T	36.580574031	-121.749819054	246.9		
T	36.580719571	-121.749726925	246.2		
T	36.580842098	-121.749647051	246.7		
T	36.580935948	-121.749586890	246.8		
T	36.581042946	-121.749519147	247.5		
T	36.581095732	-121.749489290	248.2		
T	36.581158613	-121.749458714	249.1		
T	36.581274444	-121.749412138	250.7		
T	36.581344599	-121.749388262	251.0		
T	36.581476175	-121.749353554	251.5		
T	36.581586064	-121.749330014	252.5		
T	36.581685855	-121.749311471	254.1		
T	36.581811683	-121.749295033	256.1		
T	36.581918648	-121.749286469	256.7		
T	36.582083493	-121.749280858	257.9		
T	36.582211994	-121.749281582	259.8		
T	36.582404827	-121.749280965	262.5		
T	36.582511834	-121.749282475	263.8		
T	36.582582682	-121.749283707	264.6		
T	36.582639777	-121.749281196	265.2		
T	36.582724161	-121.749276572	266.4		
T	36.582787825	-121.749272891	267.2		
T	36.582834638	-121.749267567	267.8		
T	36.582908498	-121.749259602	268.7		
T	36.583146208	-121.749245418	270.5		
T	36.583345266	-121.749242012	272.9		
T	36.583463245	-121.749244749	274.6		
T	36.583612972	-121.749252141	275.7		
T	36.583746711	-121.749262276	276.5		
T	36.583831679	-121.749269826	276.8		
T	36.583901198	-121.749274657	277.0		
T	36.583970169	-121.749275968	277.3		
T	36.584027782	-121.749274397	277.6		
T	36.584129382	-121.749259235	277.6		
T	36.584222440	-121.749240278	277.6		
T	36.584371689	-121.749196542	277.5		
T	36.584476717	-121.749161683	277.3		
T	36.584560990	-121.749130447	277.1		
T	36.584647528	-121.749093694	277.4		
T	36.584678420	-121.749080366	277.7		
T	36.584712877	-121.749068650	277.9		
T	36.584746637	-121.749061321	278.1		
T	36.584776585	-121.749059869	278.3		
T	36.584799805	-121.749065721	278.5		
T	36.584826106	-121.749076441	278.6		
T	36.584849836	-121.749092674	278.8		
T	36.584862871	-121.749111287	278.8		
T	36.584874508	-121.749141110	278.7		
T	36.584885471	-121.749173273	278.6		
T	36.584892247	-121.749267055	278.2		
T	36.584893809	-121.749322451	277.8		
T	36.584896754	-121.749358095	277.4		
T	36.584901991	-121.749386851	277.0		
T	36.584909539	-121.749417455	276.6		
T	36.584916795	-121.749442845	276.2		
T	36.584929147	-121.749472861	275.7		
T	36.584950008	-121.749513375	275.1		
T	36.584973687	-121.749549280	274.4		
T	36.584989989	-121.749567539	274.0		
T	36.585006191	-121.749583731	273.6		
T	36.585027598	-121.749599511	273.4		
T	36.585050175	-121.749613629	273.2		
T	36.585076518	-121.749626338	272.9		
T	36.585123715	-121.749642616	272.4		
T	36.585180004	-121.749654413	271.7		
T	36.585255218	-121.749669249	270.8		
T	36.585289348	-121.749678987	270.3		
T	36.585401651	-121.749696263	268.8		
T	36.585480036	-121.749708207	267.9		
T	36.585533199	-121.749711694	267.4		
T	36.585628985	-121.749710942	266.5		
T	36.585708560	-121.749708834	265.6		
T	36.585754002	-121.749705073	265.0		
T	36.585840328	-121.749689544	263.8		
T	36.585910638	-121.749675615	262.8		
T	36.585963506	-121.749670540	262.1		
T	36.586026412	-121.749667276	261.1		
T	36.586079298	-121.749667950	260.2		
T	36.586144256	-121.749674799	259.1		
T	36.586198164	-121.749682842	258.1		
T	36.586321967	-121.749707795	256.3		
T	36.586374738	-121.749722656	255.7		
T	36.586461107	-121.749751632	254.7		
T	36.586504289	-121.749770594	254.2		
T	36.586559214	-121.749801182	253.4		
T	36.586605359	-121.749832380	252.6		
T	36.586666642	-121.749886874	251.5		
T	36.586724226	-121.749949039	250.4		
T	36.586768220	-121.750003732	249.3		
T	36.586798595	-121.750044539	248.5		
T	36.586827755	-121.750087219	248.0		
T	36.586841609	-121.750111896	247.8		
T	36.586854964	-121.750139960	247.5		
T	36.586867084	-121.750166188	247.1		
T	36.586877297	-121.750193164	246.7		
T	36.586881992	-121.750212834	246.4		
