type	latitude	longitude	altitude (m)	name	desc
T	36.586495440	-121.756682879	231.1	Laguna Seca Outer	
T	36.586328899	-121.756830066	232.2		
T	36.586261598	-121.756888336	232.6		
T	36.586199911	-121.756934609	233.0		
T	36.586113504	-121.756988340	233.4		
T	36.585920145	-121.757101997	234.9		
T	36.585645515	-121.757257282	239.0		
T	36.585440790	-121.757367718	242.4		
T	36.585368080	-121.757407930	242.4		
T	36.585213225	-121.757495783	242.3		
T	36.585004135	-121.757617060	242.8		
T	36.584924614	-121.757660634	242.2		
T	36.584866915	-121.757688914	241.3		
T	36.584787966	-121.757724419	240.2		
T	36.584700545	-121.757760275	239.3		
T	36.584623148	-121.757785426	238.7		
T	36.584540547	-121.757808326	238.5		
T	36.584459509	-121.757823141	238.8		
T	36.584331782	-121.757836337	238.9		
T	36.584270936	-121.757840143	238.9		
T	36.584205139	-121.757838928	238.7		
T	36.584111963	-121.757844392	238.6		
T	36.583778046	-121.757847091	235.2		
T	36.583685134	-121.757841237	234.5		
T	36.583530547	-121.757838403	234.0		
T	36.583299397	-121.757825735	233.1		
T	36.583079566	-121.757815818	232.4		
T	36.582805456	-121.757801245	231.2		
T	36.582760692	-121.757796914	230.8		
T	36.582727515	-121.757792481	230.6		
T	36.582688020	-121.757782321	230.2		
T	36.582656522	-121.757770071	229.9		
T	36.582626342	-121.757752654	229.7		
T	36.582587004	-121.757723942	229.6		
T	36.582545494	-121.757687803	229.3		
T	36.582492660	-121.757624592	229.0		
T	36.582465005	-121.757575668	228.6		
T	36.582441391	-121.757520593	228.3		
T	36.582427061	-121.757480814	228.0		
T	36.582414315	-121.757437806	227.7		
T	36.582405368	-121.757391042	227.3		
T	36.582400237	-121.757328141	227.0		
T	36.582400026	-121.757289988	226.7		
T	36.582402526	-121.757245861	226.5		
T	36.582410076	-121.757195954	226.2		
T	36.582422689	-121.757140791	225.9		
T	36.582436757	-121.757092394	225.6		
T	36.582463407	-121.757026253	225.2		
T	36.582493012	-121.756979089	225.0		
T	36.582526851	-121.756936416	224.7		
T	36.582556613	-121.756903951	224.5		
T	36.582601747	-121.756870298	224.3		
T	36.582637427	-121.756847504	224.2		
T	36.582676862	-121.756828387	224.1		
T	36.582722498	-121.756811232	224.1		
T	36.582760169	-121.756799511	224.0		
T	36.582804954	-121.756795335	224.0		
T	36.582836463	-121.756798933	224.1		
T	36.582876789	-121.756810261	224.1		
T	36.582922881	-121.756825613	224.2		
T	36.583189059	-121.756932220	224.9		
T	36.583242646	-121.756948340	225.1		
T	36.583446259	-121.757003305	225.5		
T	36.583553462	-121.757026213	225.7		
T	36.583619502	-121.757033499	225.8		
T	36.583715917	-121.757041228	225.9		
T	36.583801443	-121.757045839	226.0		
T	36.583897463	-121.757047859	226.0		
T	36.583948755	-121.757045936	226.1		
T	36.584024561	-121.757040447	226.1		
T	36.584112571	-121.757029936	226.2		
T	36.584135619	-121.757025543	226.2		
T	36.584258870	-121.757001273	226.3		
T	36.584450550	-121.756959977	226.5		
T	36.584619712	-121.756920834	226.7		
T	36.584682746	-121.756902764	226.8		
T	36.584724991	-121.756881345	226.8		
T	36.584751361	-121.756864183	226.8		
T	36.584774804	-121.756839652	226.7		
T	36.584807016	-121.756804095	226.5		
T	36.584829436	-121.756774023	226.4		
T	36.584848149	-121.756741259	226.3		
T	36.584864651	-121.756708504	226.1		
T	36.584879192	-121.756670267	226.0		
T	36.584897861	-121.756613473	225.8		
T	36.584908471	-121.756566709	225.6		
T	36.584915388	-121.756518704	225.4		
T	36.584913450	-121.756471829	225.2		
T	36.584909238	-121.756428629	225.1		
T	36.584829554	-121.756012162	224.2		
T	36.584744926	-121.755564068	223.4		
T	36.584644126	-121.755043979	223.0		
T	36.584521338	-121.754405184	223.1		
T	36.584507897	-121.754340432	223.2		
T	36.584493067	-121.754274550	223.3		
T	36.584480296	-121.754226048	223.4		
T	36.584463634	-121.754179182	223.5		
T	36.584444880	-121.754138325	223.6		
T	36.584426514	-121.754108588	223.7		
T	36.584406615	-121.754080560	223.8		
T	36.584385035	-121.754049475	223.9		
T	36.584362602	-121.754016915	224.0		
T	36.584336648	-121.753991105	224.1		
T	36.584310827	-121.753965487	224.3		
T	36.584285592	-121.753944616	224.4		
T	36.584252212	-121.753920046	224.5		
T	36.584212238	-121.753894767	224.7		
T	36.584154565	-121.753868614	224.9		
T	36.584114895	-121.753858453	224.9		
T	36.584025238	-121.753845696	225.1		
T	36.583624648	-121.753805888	225.4		
T	36.583231741	-121.753768287	226.0		
T	36.582964005	-121.753743816	226.5		
T	36.582902416	-121.753739605	226.7		
T	36.582847323	-121.753740801	226.8		
T	36.582719620	-121.753751007	226.9		
T	36.582655431	-121.753755419	227.0		
T	36.582580836	-121.753765446	227.1		
T	36.582498982	-121.753777921	227.2		
T	36.582417399	-121.753793950	227.4		
T	36.582344537	-121.753812469	227.5		
T	36.582232761	-121.753843456	227.7		
T	36.582039870	-121.753899720	228.0		
T	36.581634371	-121.754045941	228.7		
T	36.581179575	-121.754206107	229.7		
T	36.580637422	-121.754393089	231.4		
T	36.580542032	-121.754431253	231.7		
T	36.580494759	-121.754445884	231.9		
T	36.580450479	-121.754457390	232.0		
T	36.580408713	-121.754461739	232.2		
T	36.580371209	-121.754464712	232.4		
T	36.580335143	-121.754463195	232.6		
T	36.580300677	-121.754456494	232.7		
T	36.580269757	-121.754449221	232.9		
T	36.580232201	-121.754435570	233.1		
T	36.580176318	-121.754410599	233.3		
T	36.580125350	-121.754383856	233.6		
T	36.580084781	-121.754355573	233.8		
T	36.580051007	-121.754326880	234.0		
T	36.580013516	-121.754287262	234.2		
T	36.579974158	-121.754227395	234.1		
T	36.579941262	-121.754161376	234.0		
T	36.579911866	-121.754092673	233.8		
T	36.579882158	-121.754010065	233.6		
T	36.579857457	-121.753922577	233.6		
T	36.579844896	-121.753843476	233.8		
T	36.579836389	-121.753756846	233.9		
T	36.579833186	-121.753687548	234.0		
T	36.579834188	-121.753614378	233.8		
T	36.579838279	-121.753543898	233.6		
T	36.579847777	-121.753435776	233.2		
T	36.579854579	-121.753351929	233.0		
T	36.579862151	-121.753258477	232.8		
T	36.579878847	-121.753100711	233.7		
T	36.579903690	-121.752905629	235.3		
T	36.579974431	-121.752444938	237.6		
T	36.580033372	-121.752063713	240.6		
T	36.580066471	-121.751842432	241.9		
T	36.580086250	-121.751691237	242.2		
T	36.580125817	-121.751362889	241.4		
T	36.580169955	-121.750956765	242.9		
T	36.580198224	-121.750744198	245.1		
T	36.580256613	-121.750339842	249.2		
T	36.580277008	-121.750199351	250.0		
T	36.580285171	-121.750120161	250.3		
T	36.580293624	-121.750060342	250.0		
T	36.580302646	-121.750007647	249.7		
T	36.580312865	-121.749968924	249.5		
T	36.580324456	-121.749935509	249.2		
T	36.580336244	-121.749908241	249.0		
T	36.580350019	-121.749881086	248.7		
T	36.580364320	-121.749859659	248.5		
T	36.580380519	-121.749840003	248.0		
T	36.580402794	-121.749819906	247.4		
T	36.580421051	-121.749804976	247.0		
T	36.580464363	-121.749775669	246.7		
T	36.580578340	-121.749691803	245.7		
T	36.580713052	-121.749598999	244.8		
T	36.580855475	-121.749508478	244.7		
T	36.580992303	-121.749431866	245.0		
T	36.581059602	-121.749393712	245.9		
T	36.581136294	-121.749354939	247.1		
T	36.581163072	-121.749343275	247.5		
T	36.581216275	-121.749321188	248.5		
T	36.581282626	-121.749297251	249.2		
T	36.581334266	-121.749280502	249.4		
T	36.581398352	-121.749261950	249.7		
T	36.581472255	-121.749243022	250.1		
T	36.581560442	-121.749224275	250.9		
T	36.581619974	-121.749212699	251.6		
T	36.581718226	-121.749197770	252.7		
T	36.581775663	-121.749191204	253.3		
T	36.581873169	-121.749183352	254.1		
T	36.581988145	-121.749177445	254.8		
T	36.582085544	-121.749174147	255.5		
T	36.582241180	-121.749175514	257.7		
T	36.582944747	-121.749147922	267.0		
T	36.583195903	-121.749136021	269.6		
T	36.583321892	-121.749133133	271.9		
T	36.583504579	-121.749138955	275.1		
T	36.583675965	-121.749149144	277.0		
T	36.583773769	-121.749155572	277.8		
T	36.583887658	-121.749165872	277.9		
T	36.583961550	-121.749169618	278.0		
T	36.584010923	-121.749168860	278.1		
T	36.584033498	-121.749167868	278.1		
T	36.584056635	-121.749165474	278.1		
T	36.584091369	-121.749159940	278.1		
T	36.584180977	-121.749136806	277.9		
T	36.584314367	-121.749091990	277.6		
T	36.584435590	-121.749046004	277.3		
T	36.584518920	-121.749010977	277.0		
T	36.584631143	-121.748961634	277.0		
T	36.584676344	-121.748942491	277.2		
T	36.584709170	-121.748932933	277.4		
T	36.584740433	-121.748928127	277.6		
T	36.584771383	-121.748926796	277.8		
T	36.584805375	-121.748930531	278.1		
T	36.584826935	-121.748934266	278.3		
T	36.584856480	-121.748944260	278.6		
T	36.584879458	-121.748954716	278.8		
T	36.584900402	-121.748968862	279.0		
T	36.584914309	-121.748980661	279.2		
T	36.584935275	-121.749003915	279.5		
T	36.584948143	-121.749023190	279.6		
T	36.584963118	-121.749050888	279.6		
T	36.584974018	-121.749079330	279.4		
T	36.584979879	-121.749102950	279.2		
T	36.584985665	-121.749137036	278.9		
T	36.584993831	-121.749239050	277.8		
T	36.584997759	-121.749287189	277.3		
T	36.585002181	-121.749326545	276.8		
T	36.585008506	-121.749362835	276.3		
T	36.585016672	-121.749392811	275.8		
T	36.585026619	-121.749414141	275.5		
T	36.585045202	-121.749446103	274.9		
T	36.585063869	-121.749466722	274.5		
T	36.585082034	-121.749482134	274.1		
T	36.585124131	-121.749504635	273.4		
T	36.585248826	-121.749538460	271.5		
T	36.585347662	-121.749556090	270.2		
T	36.585450021	-121.749569579	269.0		
T	36.585524938	-121.749575911	268.2		
T	36.585578770	-121.749577822	267.7		
T	36.585625663	-121.749578162	267.2		
T	36.585668449	-121.749576607	266.8		
T	36.585710816	-121.749572426	266.4		
T	36.585903284	-121.749537853	264.0		
T	36.585954893	-121.749533095	263.4		
T	36.585997032	-121.749529540	262.8		
T	36.586036709	-121.749528740	262.2		
T	36.586067117	-121.749528729	261.8		
T	36.586103057	-121.749531666	261.2		
T	36.586142658	-121.749536863	260.5		
T	36.586204657	-121.749544156	259.5		
T	36.586252756	-121.749553821	258.7		
T	36.586313883	-121.749566024	257.9		
T	36.586379565	-121.749582280	257.0		
T	36.586437029	-121.749598069	256.2		
T	36.586482166	-121.749612879	255.6		
T	36.586518905	-121.749626823	255.2		
T	36.586561118	-121.749646838	254.5		
T	36.586605298	-121.749669871	253.7		
T	36.586633469	-121.749686965	253.2		
T	36.586654942	-121.749702151	252.8		
T	36.586681451	-121.749721074	252.3		
T	36.586720137	-121.749755187	251.6		
T	36.586745015	-121.749780576	251.1		
T	36.586768789	-121.749805565	250.7		
T	36.586789550	-121.749828492	250.3		
T	36.586809347	-121.749852183	250.0		
T	36.586864561	-121.749924922	249.2		
T	36.586892465	-121.749967311	248.8		
T	36.586916715	-121.750006528	248.5		
T	36.586934351	-121.750039577	248.2		
T	36.586958365	-121.750089383	247.8		
T	36.586977111	-121.750138915	247.5		
T	36.586997632	-121.750207017	246.8		
T	36.587013172	-121.750278653	246.2		
T	36.587020534	-121.750330509	245.9		
T	36.587024469	-121.750382127	245.5		
T	36.587023651	-121.750441464	245.0		
T	36.587018881	-121.750489874	244.5		
T	36.587002120	-121.750596448	243.3		
T	36.586971036	-121.750741769	241.7		
T	36.586970097	-121.750763399	241.7		
T	36.586884596	-121.751129577	240.7		
T	36.586858028	-121.751227391	240.7		
T	36.586795157	-121.751480158	240.2		
T	36.586673673	-121.751974266	237.9		
T	36.586545986	-121.752491650	234.2		
T	36.586534925	-121.752534807	234.0		
T	36.586527754	-121.752566670	233.8		
T	36.586521340	-121.752601197	233.6		
T	36.586518219	-121.752638965	233.4		
T	36.586518535	-121.752670369	233.2		
T	36.586519504	-121.752715304	232.9		
T	36.586524358	-121.752759787	232.6		
T	36.586527677	-121.752785069	232.4		
T	36.586531134	-121.752807577	232.2		
T	36.586536555	-121.752831266	232.1		
T	36.586544853	-121.752858807	231.9		
T	36.586552941	-121.752879613	231.8		
T	36.586560379	-121.752897294	231.6		
T	36.586569934	-121.752918625	231.5		
T	36.586580452	-121.752938345	231.4		
T	36.586593759	-121.752960371	231.4		
T	36.586603045	-121.752974889	231.3		
T	36.586613246	-121.752989598	231.3		
T	36.586626527	-121.753004753	231.3		
T	36.586652280	-121.753032593	231.2		
T	36.586726624	-121.753094188	231.2		
T	36.587484364	-121.753588148	234.3		
T	36.587747927	-121.753760589	235.7		
T	36.587846431	-121.753823040	236.0		
T	36.588497332	-121.754247647	232.5		
T	36.588623431	-121.754333415	231.0		
T	36.588646328	-121.754351514	230.8		
T	36.588664928	-121.754368243	230.6		
T	36.588678904	-121.754384352	230.4		
T	36.588697687	-121.754412098	230.2		
T	36.588711209	-121.754440360	229.9		
T	36.588722975	-121.754474946	229.7		
T	36.588731934	-121.754515091	229.4		
T	36.588734156	-121.754557073	229.1		
T	36.588730990	-121.754591359	229.0		
T	36.588724089	-121.754624370	228.9		
T	36.588716702	-121.754646375	228.9		
T	36.588699426	-121.754681948	229.0		
T	36.588675841	-121.754720039	229.0		
T	36.588647129	-121.754751393	229.1		
T	36.588619803	-121.754780204	229.3		
T	36.588105550	-121.755238411	231.3		
T	36.587985815	-121.755343505	231.1		
T	36.587699548	-121.755599831	230.5		
T	36.587300139	-121.755959143	229.7		
T	36.587037327	-121.756193686	229.3		
T	36.586771263	-121.756433962	229.6		
T	36.586532857	-121.756649116	230.8		
T	36.586495440	-121.756682879	231.1		
