type	latitude	longitude	altitude (m)	name	desc
T	43.961889796	12.683935194	24.7	Misano Inner	
T	43.960954823	12.683342397	24.5		
T	43.960238714	12.682888603	24.8		
T	43.959903244	12.682672265	23.0		
T	43.959875585	12.682651715	23.0		
T	43.959849355	12.682629802	23.0		
T	43.959825145	12.682604630	23.0		
T	43.959804837	12.682580898	23.0		
T	43.959786698	12.682557135	23.0		
T	43.959771795	12.682531453	23.0		
T	43.959757100	12.682503252	23.0		
T	43.959746503	12.682476037	23.1		
T	43.959734513	12.682437695	23.2		
T	43.959722921	12.682396996	23.4		
T	43.959712278	12.682356170	23.6		
T	43.959705562	12.682313741	23.7		
T	43.959701774	12.682281696	23.9		
T	43.959698371	12.682238553	24.0		
T	43.959696932	12.682181564	24.2		
T	43.959698489	12.682059608	24.6		
T	43.959706049	12.681808623	25.5		
T	43.959711447	12.681658642	26.0		
T	43.959714381	12.681562082	26.0		
T	43.959717930	12.681461900	26.0		
T	43.959718979	12.681399625	26.0		
T	43.959718165	12.681353431	26.1		
T	43.959714007	12.681318023	26.2		
T	43.959707816	12.681284053	26.4		
T	43.959700087	12.681251245	26.5		
T	43.959687980	12.681211256	26.6		
T	43.959676521	12.681177852	26.6		
T	43.959663302	12.681147184	26.7		
T	43.959646211	12.681116094	26.7		
T	43.959627567	12.681089016	26.7		
T	43.959605989	12.681061753	26.7		
T	43.959577960	12.681035539	26.6		
T	43.959538914	12.681003461	26.6		
T	43.959496331	12.680973301	26.6		
T	43.959464357	12.680959676	26.6		
T	43.959426613	12.680946952	26.6		
T	43.959230297	12.680924358	26.2		
T	43.958932254	12.680891331	26.0		
T	43.958824912	12.680878102	26.2		
T	43.958781993	12.680871326	26.3		
T	43.958751894	12.680867585	26.4		
T	43.958718328	12.680855431	26.6		
T	43.958688712	12.680842559	26.7		
T	43.958658429	12.680824324	26.8		
T	43.958631479	12.680807387	26.9		
T	43.958604589	12.680781601	27.0		
T	43.958572514	12.680749524	27.0		
T	43.958541596	12.680709128	27.1		
T	43.958510552	12.680662493	27.2		
T	43.958476753	12.680604854	27.4		
T	43.958416835	12.680490945	27.7		
T	43.958369811	12.680394946	27.9		
T	43.958309694	12.680261760	27.9		
T	43.958267623	12.680149809	27.5		
T	43.958228863	12.680026781	27.1		
T	43.958194246	12.679892689	26.4		
T	43.958169549	12.679761987	25.6		
T	43.958154304	12.679658772	25.1		
T	43.958144070	12.679561682	24.7		
T	43.958143314	12.679478809	24.4		
T	43.958154257	12.679255530	24.8		
T	43.958199014	12.678549111	28.0		
T	43.958235857	12.677958818	27.9		
T	43.958261580	12.677519871	28.2		
T	43.958279769	12.677257447	28.2		
T	43.958284977	12.677210460	28.2		
T	43.958296295	12.677176332	28.1		
T	43.958311063	12.677147085	28.1		
T	43.958327280	12.677126606	28.0		
T	43.958345222	12.677107883	27.9		
T	43.958366349	12.677095570	27.8		
T	43.958389853	12.677087020	27.7		
T	43.958408231	12.677085790	27.6		
T	43.958428302	12.677087462	27.5		
T	43.958449520	12.677095498	27.4		
T	43.958469402	12.677107512	27.2		
T	43.958489402	12.677126186	27.1		
T	43.958613217	12.677270039	26.0		
T	43.958748183	12.677430217	26.0		
T	43.958805544	12.677498053	26.0		
T	43.958832508	12.677532090	26.1		
T	43.958852710	12.677561960	26.2		
T	43.958866634	12.677591100	26.3		
T	43.958875263	12.677619422	26.4		
T	43.958880881	12.677645294	26.5		
T	43.958882004	12.677668487	26.6		
T	43.958881339	12.677697713	26.7		
T	43.958878436	12.677720378	26.8		
T	43.958872212	12.677747471	26.8		
T	43.958865967	12.677769801	26.9		
T	43.958849700	12.677832754	27.3		
T	43.958782164	12.678084956	28.7		
T	43.958713631	12.678339420	29.0		
T	43.958676771	12.678468361	28.6		
T	43.958657933	12.678545843	28.4		
T	43.958640438	12.678611262	28.1		
T	43.958629318	12.678660993	28.1		
T	43.958621027	12.678709894	28.0		
T	43.958615297	12.678766526	28.0		
T	43.958611457	12.678813338	28.0		
T	43.958613281	12.678883641	28.0		
T	43.958620031	12.678935569	27.7		
T	43.958632291	12.678986924	27.3		
T	43.958653367	12.679042973	27.0		
T	43.958679696	12.679097071	26.7		
T	43.958701915	12.679137669	26.5		
T	43.958821484	12.679297295	26.3		
T	43.959344182	12.679995037	26.6		
T	43.959839336	12.680653674	26.6		
T	43.960056719	12.680941475	25.7		
T	43.960277236	12.681231919	25.0		
T	43.960442810	12.681437241	24.9		
T	43.960590257	12.681613841	24.1		
T	43.960692710	12.681731835	24.4		
T	43.960798735	12.681849634	25.2		
T	43.960949550	12.682009640	26.0		
T	43.961171950	12.682236851	25.8		
T	43.961330373	12.682391745	25.2		
T	43.961438825	12.682493127	24.8		
T	43.961529939	12.682575271	24.4		
T	43.961677004	12.682706283	24.0		
T	43.961796461	12.682812960	23.5		
T	43.961934609	12.682936005	23.0		
T	43.962103536	12.683085562	22.5		
T	43.962439911	12.683383373	22.4		
T	43.962772198	12.683676845	22.0		
T	43.962939921	12.683827239	21.4		
T	43.963003046	12.683876335	21.2		
T	43.963055715	12.683912186	21.1		
T	43.963117516	12.683946603	20.9		
T	43.963150552	12.683961834	20.8		
T	43.963194072	12.683976570	20.7		
T	43.963245557	12.683985634	20.4		
T	43.963296466	12.683987049	20.2		
T	43.963332755	12.683982458	20.0		
T	43.963382000	12.683967359	20.0		
T	43.963419362	12.683948105	20.0		
T	43.963447553	12.683928695	20.0		
T	43.963478148	12.683902250	20.0		
T	43.963504057	12.683873553	20.1		
T	43.963527824	12.683838293	20.2		
T	43.963550196	12.683797374	20.3		
T	43.963571667	12.683745441	20.5		
T	43.963593025	12.683680948	20.7		
T	43.963610568	12.683615769	21.0		
T	43.963624241	12.683541736	21.0		
T	43.963629359	12.683469595	21.1		
T	43.963629212	12.683383285	21.1		
T	43.963625454	12.683298198	21.2		
T	43.963596064	12.683091359	21.9		
T	43.963580639	12.682998246	22.0		
T	43.963543275	12.682831976	21.8		
T	43.963492413	12.682653651	21.5		
T	43.963433591	12.682463279	21.7		
T	43.963381910	12.682317847	21.9		
T	43.963277696	12.682059226	22.8		
T	43.963120575	12.681677636	24.0		
T	43.962919835	12.681185933	24.6		
