type	latitude	longitude	altitude (m)	name	desc
T	43.961845382	12.684070026	24.2	Misano Outer	
T	43.960995450	12.683529938	23.7		
T	43.959873594	12.682817301	23.1		
T	43.959824576	12.682782152	23.0		
T	43.959785200	12.682749976	23.0		
T	43.959742632	12.682707158	23.0		
T	43.959719455	12.682676662	23.0		
T	43.959692627	12.682636317	23.1		
T	43.959669918	12.682594533	23.2		
T	43.959648636	12.682545741	23.3		
T	43.959630854	12.682492898	23.4		
T	43.959613968	12.682433823	23.6		
T	43.959599913	12.682378003	23.9		
T	43.959590327	12.682324850	24.1		
T	43.959587006	12.682267192	24.3		
T	43.959583522	12.682197976	24.5		
T	43.959585447	12.682116189	24.7		
T	43.959587401	12.682029730	24.8		
T	43.959593764	12.681921176	25.0		
T	43.959596755	12.681797906	25.3		
T	43.959605903	12.681590229	25.7		
T	43.959609101	12.681481582	25.9		
T	43.959610586	12.681417462	26.0		
T	43.959610050	12.681382833	26.0		
T	43.959607366	12.681344356	26.1		
T	43.959600242	12.681307220	26.2		
T	43.959590471	12.681275607	26.2		
T	43.959576587	12.681242925	26.2		
T	43.959554901	12.681205220	26.3		
T	43.959538489	12.681182227	26.3		
T	43.959514089	12.681158313	26.2		
T	43.959481961	12.681129736	26.1		
T	43.959456269	12.681111821	26.0		
T	43.959431070	12.681100531	26.0		
T	43.959392593	12.681091907	26.1		
T	43.959336179	12.681085506	26.1		
T	43.959168844	12.681064505	26.0		
T	43.958887378	12.681033645	26.0		
T	43.958728959	12.681014195	26.2		
T	43.958681870	12.681007292	26.3		
T	43.958645086	12.680996062	26.4		
T	43.958594929	12.680969356	26.5		
T	43.958549212	12.680940122	26.6		
T	43.958515624	12.680912539	26.7		
T	43.958468918	12.680859000	26.9		
T	43.958427546	12.680803674	27.1		
T	43.958360801	12.680708429	27.4		
T	43.958271047	12.680563178	28.0		
T	43.958233948	12.680484061	28.0		
T	43.958202544	12.680411973	28.0		
T	43.958167649	12.680313081	28.0		
T	43.958137363	12.680217152	27.8		
T	43.958119306	12.680151855	27.5		
T	43.958104199	12.680082408	27.3		
T	43.958085456	12.679982914	26.9		
T	43.958070053	12.679890512	26.2		
T	43.958054658	12.679768456	25.3		
T	43.958042186	12.679637066	24.7		
T	43.958035246	12.679504405	24.3		
T	43.958044740	12.679339269	24.4		
T	43.958064055	12.679019301	26.1		
T	43.958079096	12.678767312	27.4		
T	43.958102191	12.678388364	28.0		
T	43.958129840	12.677933487	28.2		
T	43.958162283	12.677429956	28.6		
T	43.958173658	12.677249572	28.6		
T	43.958182793	12.677182861	28.5		
T	43.958195161	12.677128706	28.3		
T	43.958207690	12.677097964	28.2		
T	43.958222135	12.677070440	28.2		
T	43.958240832	12.677041038	28.1		
T	43.958260763	12.677013948	28.1		
T	43.958280209	12.676994672	28.0		
T	43.958303314	12.676974070	28.0		
T	43.958336696	12.676954325	28.0		
T	43.958371376	12.676944601	27.9		
T	43.958404625	12.676941424	27.7		
T	43.958441894	12.676943380	27.6		
T	43.958482089	12.676957845	27.4		
T	43.958515190	12.676975343	27.3		
T	43.958543299	12.677000083	27.1		
T	43.958806727	12.677307829	26.0		
T	43.958902485	12.677419082	26.0		
T	43.958925557	12.677449686	26.1		
T	43.958947300	12.677487437	26.2		
T	43.958963663	12.677535776	26.4		
T	43.958975606	12.677578087	26.6		
T	43.958982987	12.677616567	26.8		
T	43.958986598	12.677654886	26.9		
T	43.958987179	12.677693837	27.1		
T	43.958985255	12.677732568	27.2		
T	43.958979206	12.677770016	27.3		
T	43.958961677	12.677835651	27.6		
T	43.958849958	12.678251335	29.0		
T	43.958765176	12.678570536	28.6		
T	43.958737439	12.678667433	28.4		
T	43.958729628	12.678708116	28.3		
T	43.958722567	12.678756944	28.2		
T	43.958718134	12.678799500	28.1		
T	43.958716661	12.678839402	28.1		
T	43.958719446	12.678873194	28.0		
T	43.958724737	12.678907252	27.9		
T	43.958731198	12.678933991	27.7		
T	43.958742652	12.678967217	27.6		
T	43.958757152	12.678997952	27.4		
T	43.958779661	12.679032592	27.3		
T	43.958921455	12.679226567	26.7		
T	43.959518437	12.680025210	26.9		
T	43.960275784	12.681033781	24.7		
T	43.960447658	12.681253288	24.7		
T	43.960549461	12.681376362	25.0		
T	43.960695446	12.681546921	24.0		
T	43.960799698	12.681667108	24.0		
T	43.960947151	12.681827988	25.3		
T	43.961033202	12.681918952	25.9		
T	43.961308158	12.682194357	25.3		
T	43.961448527	12.682327244	24.8		
T	43.961707632	12.682561433	23.9		
T	43.961985434	12.682810200	22.9		
T	43.962467004	12.683236763	22.1		
T	43.962701286	12.683443889	22.1		
T	43.962921651	12.683637270	21.5		
T	43.962985553	12.683693338	21.3		
T	43.963024707	12.683723921	21.1		
T	43.963056025	12.683748239	21.0		
T	43.963091055	12.683771102	20.9		
T	43.963125476	12.683792017	20.8		
T	43.963158535	12.683807253	20.7		
T	43.963194542	12.683821102	20.6		
T	43.963229565	12.683833389	20.5		
T	43.963261573	12.683839086	20.4		
T	43.963295621	12.683838926	20.3		
T	43.963326144	12.683833141	20.2		
T	43.963346701	12.683827151	20.2		
T	43.963367097	12.683818896	20.3		
T	43.963386885	12.683806746	20.3		
T	43.963407008	12.683791399	20.4		
T	43.963431539	12.683763083	20.5		
T	43.963451499	12.683733912	20.6		
T	43.963469234	12.683697930	20.7		
T	43.963481721	12.683664626	20.8		
T	43.963494590	12.683627584	20.9		
T	43.963510530	12.683565752	21.0		
T	43.963519304	12.683512228	21.0		
T	43.963522477	12.683452781	21.0		
T	43.963520996	12.683356851	21.0		
T	43.963506648	12.683227158	21.4		
T	43.963482778	12.683068925	22.0		
T	43.963455574	12.682937751	21.8		
T	43.963419961	12.682801057	21.4		
T	43.963366640	12.682625290	21.5		
T	43.963290599	12.682393962	22.1		
T	43.963220768	12.682213172	22.4		
T	43.963003936	12.681680729	24.0		
T	43.962870045	12.681348568	25.0		
T	43.962635486	12.680774009	23.9		
T	43.962531349	12.680525105	23.1		
T	43.962404843	12.680213306	22.8		
T	43.962305042	12.679965607	21.9		
T	43.962167313	12.679622485	21.1		
T	43.962149577	12.679577197	21.1		
T	43.962143536	12.679553284	21.1		
T	43.962138716	12.679475423	21.0		
T	43.962140355	12.679375549	21.0		
T	43.962141378	12.679120471	21.1		
T	43.962145273	12.678879801	21.7		
T	43.962148278	12.678762522	21.2		
T	43.962154944	12.678685437	20.8		
T	43.962164571	12.678626789	20.5		
T	43.962175780	12.678584044	20.4		
T	43.962188287	12.678544681	20.5		
T	43.962202262	12.678514376	20.5		
T	43.962218342	12.678482214	20.5		
T	43.962237748	12.678450225	20.6		
T	43.962260095	12.678421193	20.8		
T	43.962281319	12.678394642	20.9		
T	43.962302132	12.678373933	21.0		
T	43.962331776	12.678353111	21.0		
T	43.962364914	12.678330114	21.0		
T	43.962397215	12.678311983	21.0		
T	43.962425054	12.678304097	21.0		
T	43.962450624	12.678299114	21.0		
T	43.962477400	12.678293679	21.0		
T	43.962514069	12.678295143	21.2		
T	43.962549248	12.678301092	21.5		
T	43.962590012	12.678311779	22.0		
T	43.962623962	12.678325713	22.3		
T	43.962660737	12.678343195	22.8		
T	43.962697919	12.678366675	23.2		
T	43.962728939	12.678390039	23.5		
T	43.962764733	12.678423923	23.9		
T	43.962796656	12.678458898	24.0		
T	43.962825850	12.678497821	24.1		
T	43.962850304	12.678534932	24.2		
T	43.962883701	12.678597402	24.4		
T	43.962954843	12.678747130	25.0		
T	43.963017130	12.678892857	25.1		
T	43.963054744	12.678995323	25.0		
T	43.963109002	12.679160415	24.8		
T	43.963156088	12.679317439	24.3		
T	43.963219704	12.679529561	24.0		
T	43.963275586	12.679715320	24.0		
T	43.963363225	12.680005903	25.0		
T	43.963467931	12.680351920	25.2		
T	43.963610356	12.680831063	23.0		
T	43.963815348	12.681509036	21.9		
T	43.964153627	12.682629638	21.0		
T	43.964437196	12.683563909	21.2		
T	43.964643995	12.684250383	20.6		
T	43.964837369	12.684892012	20.2		
T	43.964866000	12.684984455	20.1		
T	43.964890049	12.685073796	20.2		
T	43.964900596	12.685128047	20.3		
T	43.964909715	12.685190195	20.4		
T	43.964916247	12.685279642	20.4		
T	43.964919588	12.685351914	20.3		
T	43.964918540	12.685428285	20.2		
T	43.964914227	12.685497517	20.1		
T	43.964907885	12.685570975	20.0		
T	43.964876486	12.685823962	20.0		
T	43.964822078	12.686245698	19.2		
T	43.964762645	12.686712538	19.0		
T	43.964685411	12.687316138	20.0		
T	43.964629360	12.687751461	19.7		
T	43.964556085	12.688315058	18.4		
T	43.964538870	12.688428745	18.2		
T	43.964527753	12.688493059	18.1		
T	43.964517018	12.688546661	17.9		
T	43.964503866	12.688610303	17.6		
T	43.964490534	12.688662497	17.7		
T	43.964473572	12.688721712	17.7		
T	43.964458437	12.688769454	17.7		
T	43.964439676	12.688817932	17.7		
T	43.964414926	12.688876722	18.0		
T	43.964372345	12.688966898	18.6		
T	43.964327747	12.689052051	19.4		
T	43.964283489	12.689126191	20.2		
T	43.964159819	12.689324777	21.0		
T	43.963952076	12.689640332	21.2		
T	43.963646055	12.690106324	20.5		
T	43.963616995	12.690147447	20.6		
T	43.963575949	12.690193513	20.7		
T	43.963539672	12.690225139	20.9		
T	43.963484297	12.690264744	21.0		
T	43.963425283	12.690292705	21.0		
T	43.963374405	12.690303109	21.1		
T	43.963320329	12.690309073	21.2		
T	43.963276385	12.690308985	21.3		
T	43.963223058	12.690298596	21.4		
T	43.962711877	12.690112788	21.9		
T	43.962190781	12.689924319	20.8		
T	43.962142469	12.689900315	20.7		
T	43.962099308	12.689870239	20.7		
T	43.962066093	12.689833197	20.7		
T	43.962025789	12.689776993	20.8		
T	43.961999147	12.689725271	20.8		
T	43.961982083	12.689681617	20.9		
T	43.961970603	12.689645768	20.9		
T	43.961961486	12.689604385	21.0		
T	43.961955925	12.689564170	21.0		
T	43.961954190	12.689525466	21.0		
T	43.961955982	12.689484149	21.0		
T	43.961961033	12.689450935	21.0		
T	43.961967147	12.689420304	21.2		
T	43.961976431	12.689387284	21.4		
T	43.961988865	12.689353164	21.6		
T	43.962006579	12.689314099	21.8		
T	43.962024267	12.689284180	22.0		
T	43.962045785	12.689256581	22.1		
T	43.962071429	12.689227327	22.2		
T	43.962105539	12.689199575	22.3		
T	43.962142732	12.689175996	22.2		
T	43.962175790	12.689161606	22.2		
T	43.962779609	12.689023948	21.5		
T	43.963203849	12.688928617	19.5		
T	43.963350124	12.688896712	19.0		
T	43.963443986	12.688875151	19.0		
T	43.963474862	12.688867789	19.0		
T	43.963500180	12.688860376	19.1		
T	43.963520156	12.688853172	19.1		
T	43.963540791	12.688842582	19.1		
T	43.963564604	12.688828491	19.2		
T	43.963589501	12.688810676	19.3		
T	43.963614253	12.688790684	19.4		
T	43.963633110	12.688770019	19.4		
T	43.963652664	12.688747064	19.5		
T	43.963670793	12.688720791	19.6		
T	43.963686761	12.688695152	19.6		
T	43.963703263	12.688662332	19.6		
T	43.963716762	12.688627272	19.6		
T	43.963727067	12.688594487	19.6		
T	43.963734976	12.688562608	19.5		
T	43.963742940	12.688526945	19.4		
T	43.963753110	12.688481415	19.2		
T	43.963767008	12.688413990	19.0		
T	43.963788090	12.688314182	18.7		
T	43.963927213	12.687679851	18.4		
T	43.964090292	12.686927187	20.0		
T	43.964208667	12.686386177	19.0		
T	43.964263333	12.686126030	19.3		
T	43.964280350	12.686049823	19.5		
T	43.964294898	12.685977874	19.7		
T	43.964302079	12.685937994	19.8		
T	43.964307917	12.685901201	19.9		
T	43.964309077	12.685861149	20.0		
T	43.964308369	12.685827387	20.0		
T	43.964305760	12.685792321	20.0		
T	43.964295519	12.685750512	20.0		
T	43.964281552	12.685704814	20.0		
T	43.964269225	12.685668985	20.0		
T	43.964254047	12.685635734	20.0		
T	43.964234556	12.685605324	20.0		
T	43.964208351	12.685575246	20.0		
T	43.964178228	12.685549330	20.0		
T	43.964049055	12.685464966	20.2		
T	43.963494338	12.685114473	21.7		
T	43.962575712	12.684534873	23.0		
T	43.962121187	12.684244998	24.0		
T	43.961845382	12.684070026	24.2		
