type	latitude	longitude	altitude (m)	name	desc
T	45.500095274	-73.522792093	10.7	Montreal Inner	
T	45.499969625	-73.522753615	11.1		
T	45.499787900	-73.522709909	12.3		
T	45.499669687	-73.522686599	12.7		
T	45.499520454	-73.522671297	12.6		
T	45.499410266	-73.522661241	12.4		
T	45.499278361	-73.522657434	11.6		
T	45.499157813	-73.522659921	10.9		
T	45.499041155	-73.522668838	10.1		
T	45.498837886	-73.522695603	9.0		
T	45.498609433	-73.522735234	9.0		
T	45.498369536	-73.522778455	10.7		
T	45.498147435	-73.522820788	11.1		
T	45.497950825	-73.522857655	11.4		
T	45.497903026	-73.522861363	11.5		
T	45.497852588	-73.522855775	11.5		
T	45.497814495	-73.522841767	11.4		
T	45.497773976	-73.522813446	11.2		
T	45.497732353	-73.522773295	10.8		
T	45.497709041	-73.522742245	10.4		
T	45.497685403	-73.522695423	9.9		
T	45.497650552	-73.522605402	9.0		
T	45.497539089	-73.522234832	7.0		
T	45.497511549	-73.522156585	7.2		
T	45.497495945	-73.522125440	7.3		
T	45.497479098	-73.522100544	7.4		
T	45.497458546	-73.522079425	7.4		
T	45.497433867	-73.522064875	7.4		
T	45.497403163	-73.522054584	7.4		
T	45.497377661	-73.522052538	7.3		
T	45.497343745	-73.522052767	7.3		
T	45.497312388	-73.522062573	7.2		
T	45.497277283	-73.522076781	7.1		
T	45.497242050	-73.522105189	7.0		
T	45.497208060	-73.522150019	7.0		
T	45.497167996	-73.522219608	7.2		
T	45.497138162	-73.522302686	7.6		
T	45.497125405	-73.522365979	7.9		
T	45.497119078	-73.522444705	8.2		
T	45.497117373	-73.522536054	8.6		
T	45.497125124	-73.522650165	9.4		
T	45.497143437	-73.522780888	10.3		
T	45.497239901	-73.523265392	12.1		
T	45.497343697	-73.523737015	11.9		
T	45.497384789	-73.523877924	12.2		
T	45.497438534	-73.524030746	12.2		
T	45.497515690	-73.524225076	12.0		
T	45.497581755	-73.524364616	11.8		
T	45.497739314	-73.524656145	11.0		
T	45.497926204	-73.524977913	10.4		
T	45.498165146	-73.525366659	11.0		
T	45.498471188	-73.525831474	11.0		
T	45.498535141	-73.525922371	10.4		
T	45.498561802	-73.525945869	10.5		
T	45.498603187	-73.525974932	10.9		
T	45.498647807	-73.525991631	11.0		
T	45.498689880	-73.525995788	11.0		
T	45.498738820	-73.525988473	11.0		
T	45.498796195	-73.525955650	11.0		
T	45.498874629	-73.525916453	11.0		
T	45.498938691	-73.525888363	11.0		
T	45.498978834	-73.525876067	11.0		
T	45.499021246	-73.525869222	11.0		
T	45.499061777	-73.525866195	11.0		
T	45.499105224	-73.525871319	11.0		
T	45.499147164	-73.525884844	11.0		
T	45.499175761	-73.525900089	11.0		
T	45.499211171	-73.525923003	11.1		
T	45.499239575	-73.525947596	11.1		
T	45.499270852	-73.525981671	11.2		
T	45.499331794	-73.526054535	11.5		
T	45.499503160	-73.526252864	11.8		
T	45.499728190	-73.526521126	11.4		
T	45.500066674	-73.526915469	9.8		
T	45.500117629	-73.526977437	9.6		
T	45.500162418	-73.527041396	9.4		
T	45.500198751	-73.527101028	9.3		
T	45.500235153	-73.527180189	9.2		
T	45.500312814	-73.527353667	9.5		
T	45.500354228	-73.527445540	9.9		
T	45.500398627	-73.527522527	10.1		
T	45.500455137	-73.527609280	10.4		
T	45.500513136	-73.527682706	10.7		
T	45.500559277	-73.527735744	10.9		
T	45.500606911	-73.527783566	11.2		
T	45.500699432	-73.527857565	11.4		
T	45.500790354	-73.527913347	11.4		
T	45.500903367	-73.527964476	11.4		
