type	latitude	longitude	altitude (m)	name	desc
T	45.500117833	-73.522644685	9.9	Montreal Outer	
T	45.499972193	-73.522601051	10.6		
T	45.499840281	-73.522569909	11.4		
T	45.499667111	-73.522536834	12.1		
T	45.499500339	-73.522515804	12.1		
T	45.499300300	-73.522501700	11.5		
T	45.499139266	-73.522503841	10.8		
T	45.498988478	-73.522515621	9.7		
T	45.498573008	-73.522568381	9.3		
T	45.498130232	-73.522647260	10.7		
T	45.497959415	-73.522677118	10.4		
T	45.497905381	-73.522681577	10.3		
T	45.497867463	-73.522670692	10.1		
T	45.497840293	-73.522654127	9.9		
T	45.497816887	-73.522632592	9.6		
T	45.497804193	-73.522612821	9.3		
T	45.497789955	-73.522584624	9.0		
T	45.497765644	-73.522531474	8.3		
T	45.497731982	-73.522431336	7.8		
T	45.497607829	-73.522036702	7.7		
T	45.497584702	-73.521981872	7.9		
T	45.497546720	-73.521937867	8.0		
T	45.497504602	-73.521904607	8.3		
T	45.497432539	-73.521873988	8.3		
T	45.497371943	-73.521865737	8.1		
T	45.497318807	-73.521872936	7.9		
T	45.497246977	-73.521902035	7.4		
T	45.497192880	-73.521935276	7.1		
T	45.497134825	-73.521994805	7.1		
T	45.497090292	-73.522067018	7.2		
T	45.497056801	-73.522141580	7.4		
T	45.497032252	-73.522223367	7.7		
T	45.497020764	-73.522319154	8.1		
T	45.497018867	-73.522448058	8.5		
T	45.497020626	-73.522537719	9.0		
T	45.497030771	-73.522654110	9.8		
T	45.497048413	-73.522767051	10.5		
T	45.497060415	-73.522851889	10.7		
T	45.497172201	-73.523403003	11.4		
T	45.497199739	-73.523508636	11.2		
T	45.497237123	-73.523670395	11.1		
T	45.497269983	-73.523801453	11.3		
T	45.497314179	-73.523954613	11.6		
T	45.497362108	-73.524091958	11.6		
T	45.497410902	-73.524210548	11.3		
T	45.497477920	-73.524359588	11.5		
T	45.497569200	-73.524544486	11.5		
T	45.497653262	-73.524699684	11.0		
T	45.497805796	-73.524964656	10.9		
T	45.497931469	-73.525177186	10.8		
T	45.498145756	-73.525519641	11.0		
T	45.498456981	-73.525991437	8.8		
T	45.498510066	-73.526063928	8.9		
T	45.498551207	-73.526102263	9.5		
T	45.498580415	-73.526122672	10.2		
T	45.498619113	-73.526137220	11.0		
T	45.498656551	-73.526141328	11.0		
T	45.498696717	-73.526131206	11.0		
T	45.498880920	-73.526042158	11.0		
T	45.498924831	-73.526021192	11.0		
T	45.498976070	-73.526003639	11.0		
T	45.499010207	-73.525997636	11.0		
T	45.499051486	-73.525993654	11.0		
T	45.499078692	-73.525995790	11.0		
T	45.499112468	-73.526003472	11.0		
T	45.499136886	-73.526013981	11.0		
T	45.499165093	-73.526036096	11.0		
T	45.499223222	-73.526097089	11.2		
T	45.499379522	-73.526276467	11.9		
T	45.499595080	-73.526524037	11.9		
T	45.499959127	-73.526942833	10.3		
T	45.500016814	-73.527014697	9.9		
T	45.500050867	-73.527063562	9.8		
T	45.500093343	-73.527123917	9.7		
T	45.500129066	-73.527181732	9.5		
T	45.500158313	-73.527230061	9.4		
T	45.500252091	-73.527441689	9.8		
T	45.500291053	-73.527521180	10.1		
T	45.500325631	-73.527586644	10.3		
T	45.500368462	-73.527657531	10.6		
T	45.500406309	-73.527712510	10.8		
T	45.500437083	-73.527753750	10.9		
T	45.500461488	-73.527783073	11.0		
T	45.500501831	-73.527824579	11.0		
T	45.500542594	-73.527861849	11.0		
T	45.500605202	-73.527915157	11.1		
T	45.500629949	-73.527936411	11.1		
T	45.500657173	-73.527956140	11.1		
T	45.500697529	-73.527984913	11.1		
T	45.500729850	-73.528006763	11.1		
T	45.500762820	-73.528025606	11.1		
T	45.500804715	-73.528047723	11.0		
T	45.500856690	-73.528072871	11.0		
T	45.500918666	-73.528098970	11.2		
T	45.500972897	-73.528117061	11.3		
T	45.501020123	-73.528132952	11.4		
T	45.501091849	-73.528145776	11.6		
T	45.501181842	-73.528155799	11.5		
T	45.501255725	-73.528161215	11.3		
T	45.501342674	-73.528160914	11.1		
T	45.501810413	-73.528153721	11.0		
T	45.502440489	-73.528141732	10.9		
T	45.502513608	-73.528142460	11.1		
T	45.502551161	-73.528145443	11.2		
T	45.502582992	-73.528151216	11.4		
T	45.502622702	-73.528169511	11.6		
T	45.502660253	-73.528196403	11.9		
T	45.502688217	-73.528235259	12.1		
T	45.502710375	-73.528275000	12.4		
T	45.502728826	-73.528322100	12.6		
T	45.502740698	-73.528370044	12.7		
T	45.502753626	-73.528448866	12.8		
T	45.502755119	-73.528528996	12.8		
T	45.502745229	-73.528614828	12.8		
T	45.502730982	-73.528675808	12.9		
T	45.502715725	-73.528757021	13.1		
T	45.502707748	-73.528814414	13.2		
T	45.502702130	-73.528872660	13.4		
T	45.502702887	-73.528916826	13.5		
T	45.502706303	-73.528962762	13.5		
T	45.502712570	-73.529009857	13.5		
T	45.502727986	-73.529088974	13.6		
T	45.502748979	-73.529163288	13.8		
T	45.502768427	-73.529215905	13.8		
T	45.502796776	-73.529278620	13.7		
T	45.502851098	-73.529377981	13.5		
T	45.502913429	-73.529470241	13.3		
T	45.502961847	-73.529524335	13.3		
T	45.503036582	-73.529593264	13.4		
T	45.503134649	-73.529662188	13.3		
T	45.503193635	-73.529695759	13.2		
T	45.503251910	-73.529725421	12.9		
T	45.503294649	-73.529745298	12.6		
T	45.503417770	-73.529790282	12.2		
T	45.503494618	-73.529811595	12.2		
T	45.503673992	-73.529852249	12.1		
T	45.503778492	-73.529872481	11.9		
T	45.503846346	-73.529884592	11.8		
T	45.503924113	-73.529895098	11.6		
T	45.504039976	-73.529908497	10.9		
T	45.504125073	-73.529916021	10.4		
T	45.504273814	-73.529929385	10.5		
T	45.504688080	-73.529969414	10.3		
T	45.504996543	-73.529998240	10.0		
T	45.505146347	-73.530006249	10.4		
T	45.505308691	-73.530012815	10.7		
T	45.505536176	-73.530009062	10.8		
T	45.505907396	-73.529990717	9.5		
T	45.506081319	-73.529972262	8.5		
T	45.506326915	-73.529945461	9.4		
T	45.506759335	-73.529876245	7.4		
T	45.507067205	-73.529797085	8.7		
T	45.507285428	-73.529734226	9.3		
T	45.507426439	-73.529680855	10.7		
T	45.507631164	-73.529587795	11.7		
T	45.508120430	-73.529400933	9.6		
T	45.508444901	-73.529283252	6.8		
T	45.508589173	-73.529224951	5.9		
T	45.508651650	-73.529197088	5.8		
T	45.508692053	-73.529173397	5.7		
T	45.508717187	-73.529147123	5.8		
T	45.508743054	-73.529103838	6.2		
T	45.508761247	-73.529039231	6.9		
T	45.508766796	-73.528991139	7.4		
T	45.508767179	-73.528927237	8.1		
T	45.508763546	-73.528829776	8.9		
T	45.508762093	-73.528767978	9.2		
T	45.508766626	-73.528707197	9.5		
T	45.508775727	-73.528671452	9.7		
T	45.508788242	-73.528625193	9.9		
T	45.508812116	-73.528562448	10.3		
T	45.508837047	-73.528506087	10.7		
T	45.508860060	-73.528465523	11.0		
T	45.508887339	-73.528422801	11.4		
T	45.508925571	-73.528373879	11.7		
T	45.508973298	-73.528322153	12.0		
T	45.509040703	-73.528258230	11.9		
T	45.509107619	-73.528213157	11.9		
T	45.509197790	-73.528165276	12.0		
T	45.509301074	-73.528119773	11.9		
T	45.509784907	-73.527915139	11.7		
T	45.509990523	-73.527836755	10.3		
T	45.510179488	-73.527772979	9.3		
T	45.510669553	-73.527626857	10.4		
T	45.511077038	-73.527517997	11.9		
T	45.511330266	-73.527458289	12.0		
T	45.511515297	-73.527413083	12.5		
T	45.511668176	-73.527390022	13.0		
T	45.512079993	-73.527354341	12.0		
T	45.512253980	-73.527343113	11.3		
T	45.512419117	-73.527339090	10.7		
T	45.512608377	-73.527350429	10.5		
T	45.512775322	-73.527372898	10.5		
T	45.512936233	-73.527407769	10.9		
T	45.513221800	-73.527492311	11.6		
T	45.513569571	-73.527598070	13.0		
T	45.513785252	-73.527664896	12.9		
T	45.514022156	-73.527734931	11.6		
T	45.514105139	-73.527759695	10.7		
T	45.514140992	-73.527766311	10.3		
T	45.514181344	-73.527757929	10.1		
T	45.514222118	-73.527741792	10.3		
T	45.514250576	-73.527719336	10.5		
T	45.514287884	-73.527677144	10.8		
T	45.514316665	-73.527632543	11.1		
T	45.514337242	-73.527575983	11.3		
T	45.514349081	-73.527511743	11.6		
T	45.514350202	-73.527451339	11.8		
T	45.514346187	-73.527395997	12.0		
T	45.514338692	-73.527356017	12.1		
T	45.514315526	-73.527298346	12.3		
T	45.514278512	-73.527230851	12.4		
T	45.514255443	-73.527202128	12.3		
T	45.514216409	-73.527174412	12.2		
T	45.514165850	-73.527156032	12.0		
T	45.513824732	-73.527044992	12.6		
T	45.513767160	-73.527037267	12.8		
T	45.513689637	-73.527042767	13.1		
T	45.513640006	-73.527051097	13.3		
T	45.513548225	-73.527051942	13.3		
T	45.513482205	-73.527042412	13.2		
T	45.513431473	-73.527034037	13.1		
T	45.513362402	-73.527019792	13.0		
T	45.513308615	-73.527001708	12.9		
T	45.513225879	-73.526963726	12.6		
T	45.513119282	-73.526906394	12.2		
T	45.512983629	-73.526818082	11.7		
T	45.512770914	-73.526670605	11.0		
T	45.512543584	-73.526513982	10.9		
T	45.512369028	-73.526400714	11.0		
T	45.512106439	-73.526251443	10.1		
T	45.511031969	-73.525655991	9.5		
T	45.510331612	-73.525275189	6.4		
T	45.510232398	-73.525230283	6.6		
T	45.510126642	-73.525193839	6.5		
T	45.509052613	-73.524879998	5.4		
T	45.507769429	-73.524499306	9.2		
T	45.506606757	-73.524154109	4.0		
T	45.504690793	-73.523590604	5.9		
T	45.504067162	-73.523405805	5.6		
T	45.504003168	-73.523402249	5.6		
T	45.503952741	-73.523414328	5.8		
T	45.503913440	-73.523440842	6.1		
T	45.503876236	-73.523501087	6.9		
T	45.503853597	-73.523558855	7.8		
T	45.503838672	-73.523626700	8.8		
T	45.503813524	-73.523670417	9.5		
T	45.503787401	-73.523693059	10.1		
T	45.503768395	-73.523705856	10.4		
T	45.503737457	-73.523721161	11.0		
T	45.503707409	-73.523723871	11.4		
T	45.503662898	-73.523714482	12.0		
T	45.503167298	-73.523565846	12.0		
T	45.502223102	-73.523282852	8.4		
T	45.501012467	-73.522916483	8.7		
T	45.500246071	-73.522685299	9.5		
T	45.500117833	-73.522644685	9.9		
