type	latitude	longitude	altitude (m)	name	desc
T	45.616191346	9.280851937	180.7	Monza Inner	
T	45.617404344	9.281027117	181.8		
T	45.618846522	9.281238485	183.0		
T	45.620664578	9.281497199	184.0		
T	45.621500005	9.281595875	185.0		
T	45.622051119	9.281651376	185.0		
T	45.622396647	9.281692977	185.0		
T	45.623142341	9.281789587	185.6		
T	45.624059303	9.281907242	186.0		
T	45.624430514	9.281954849	186.9		
T	45.624464337	9.281960158	187.0		
T	45.624488540	9.281973139	187.0		
T	45.624498616	9.281987597	187.0		
T	45.624510984	9.282008252	187.0		
T	45.624518861	9.282032173	187.0		
T	45.624522406	9.282056832	187.0		
T	45.624524712	9.282085109	187.0		
T	45.624516447	9.282188528	187.0		
T	45.624512598	9.282262547	187.0		
T	45.624512960	9.282315875	187.0		
T	45.624517806	9.282358465	187.0		
T	45.624527990	9.282398746	187.0		
T	45.624542396	9.282430953	187.0		
T	45.624561960	9.282463794	187.0		
T	45.624589896	9.282498136	187.0		
T	45.624629720	9.282526255	187.0		
T	45.624669033	9.282541155	187.0		
T	45.624706297	9.282540661	187.0		
T	45.624743219	9.282527358	187.0		
T	45.624766357	9.282525448	187.0		
T	45.625033664	9.282426087	187.0		
T	45.625289832	9.282319883	187.0		
T	45.625442622	9.282263808	187.0		
T	45.625527114	9.282236169	187.0		
T	45.625631991	9.282203484	187.3		
T	45.625720437	9.282182777	187.6		
T	45.625805880	9.282168712	187.9		
T	45.625897399	9.282155679	188.0		
T	45.625979215	9.282146836	188.0		
T	45.626061371	9.282142986	188.0		
T	45.626154166	9.282142885	188.0		
T	45.626251186	9.282148888	188.0		
T	45.626424430	9.282166063	188.0		
T	45.626923720	9.282223207	188.0		
T	45.627246247	9.282261945	188.0		
T	45.627392161	9.282283296	188.0		
T	45.627518496	9.282306647	188.0		
T	45.627665857	9.282341344	188.3		
T	45.627802946	9.282387585	188.5		
T	45.627905930	9.282435470	188.6		
T	45.628020428	9.282493684	188.9		
T	45.628079663	9.282524799	189.0		
T	45.628145465	9.282564177	189.0		
T	45.628208665	9.282605106	189.0		
T	45.628297369	9.282666659	188.7		
T	45.628385306	9.282734895	188.4		
T	45.628476073	9.282811523	188.6		
T	45.628559947	9.282889378	188.9		
T	45.628621986	9.282948953	189.0		
T	45.628674248	9.283004327	189.0		
T	45.628729906	9.283066515	189.0		
T	45.628807967	9.283160311	189.0		
T	45.628878623	9.283251827	189.0		
T	45.628930496	9.283323973	189.0		
T	45.628993394	9.283416327	189.0		
T	45.629049403	9.283506429	189.0		
T	45.629111698	9.283609255	189.0		
T	45.629186750	9.283745266	189.5		
T	45.629273285	9.283914132	190.0		
T	45.629352348	9.284087315	190.0		
T	45.629445841	9.284308795	190.0		
T	45.629503832	9.284466207	190.0		
T	45.629556042	9.284617746	190.0		
T	45.629599641	9.284755447	190.1		
T	45.629639862	9.284894564	190.2		
T	45.629689818	9.285085958	190.1		
T	45.629745547	9.285325555	190.0		
T	45.629787366	9.285547610	190.0		
T	45.629829846	9.285831204	190.6		
T	45.629855811	9.286067871	190.5		
T	45.629878807	9.286343842	190.4		
T	45.629898899	9.286674817	190.4		
T	45.629914490	9.286942387	191.0		
T	45.629933927	9.287278022	191.0		
T	45.629974551	9.287963499	190.9		
T	45.630017413	9.288699562	191.1		
T	45.630049883	9.289359096	191.1		
T	45.630070945	9.289915891	191.1		
T	45.630093233	9.290463943	191.0		
T	45.630106373	9.290794900	191.0		
