type	latitude	longitude	altitude (m)	name	desc
T	45.616202974	9.280701571	180.5	Monza Outer	
T	45.617871193	9.280947039	182.0		
T	45.619463407	9.281178660	184.0		
T	45.621592438	9.281465089	185.0		
T	45.624072839	9.281785390	186.0		
T	45.624457155	9.281834670	186.6		
T	45.624504938	9.281844203	186.6		
T	45.624533118	9.281859092	186.7		
T	45.624556716	9.281880368	186.8		
T	45.624578632	9.281910226	186.9		
T	45.624592678	9.281941523	187.0		
T	45.624604581	9.281985133	187.0		
T	45.624609278	9.282033548	187.0		
T	45.624612684	9.282085320	187.0		
T	45.624608097	9.282151056	187.0		
T	45.624601167	9.282232803	187.0		
T	45.624598446	9.282271151	187.0		
T	45.624600531	9.282304816	187.0		
T	45.624607080	9.282335796	187.0		
T	45.624617258	9.282356289	187.0		
T	45.624632828	9.282378518	187.0		
T	45.624647424	9.282392899	187.0		
T	45.624665307	9.282404716	187.0		
T	45.624679994	9.282409929	187.0		
T	45.624699983	9.282412800	187.0		
T	45.624734779	9.282402766	187.0		
T	45.624902149	9.282339695	187.0		
T	45.625272109	9.282199110	187.0		
T	45.625520723	9.282110618	187.0		
T	45.625641307	9.282076123	187.3		
T	45.625813770	9.282042536	187.9		
T	45.626032207	9.282020464	188.0		
T	45.626196377	9.282018839	188.0		
T	45.626349688	9.282034073	188.0		
T	45.626881693	9.282095679	188.0		
T	45.627390503	9.282156417	188.0		
T	45.627538244	9.282182921	188.1		
T	45.627715986	9.282229735	188.8		
T	45.627828445	9.282270337	188.9		
T	45.627952958	9.282326379	188.9		
T	45.628124470	9.282415298	189.2		
T	45.628289480	9.282522528	189.7		
T	45.628434333	9.282630437	189.0		
T	45.628611699	9.282788406	189.0		
T	45.628715128	9.282891836	189.0		
T	45.628844065	9.283040291	189.0		
T	45.628957686	9.283186117	189.0		
T	45.629083901	9.283374462	189.0		
T	45.629182257	9.283537039	189.1		
T	45.629283366	9.283721660	189.7		
T	45.629383175	9.283926318	190.0		
T	45.629479355	9.284149351	190.0		
T	45.629554520	9.284340587	190.0		
T	45.629628678	9.284548847	190.0		
T	45.629695155	9.284762639	190.0		
T	45.629751724	9.284969649	190.0		
T	45.629810366	9.285216573	190.0		
T	45.629851224	9.285416892	190.0		
T	45.629887849	9.285635855	190.1		
T	45.629921428	9.285872839	190.3		
