type	latitude	longitude	altitude (m)	name	desc
T	36.533036643	140.226803458	154.5	Motegi Inner	
T	36.533773793	140.226294558	157.0		
T	36.534321886	140.225922807	156.8		
T	36.534854306	140.225556555	152.5		
T	36.534915674	140.225519535	152.8		
T	36.534954347	140.225500600	153.0		
T	36.535005682	140.225488652	153.2		
T	36.535051770	140.225489590	152.6		
T	36.535099882	140.225494992	152.1		
T	36.535135939	140.225504069	151.6		
T	36.535183281	140.225523812	151.1		
T	36.535224702	140.225551861	150.6		
T	36.535257712	140.225583126	150.2		
T	36.535308633	140.225638737	150.0		
T	36.535349712	140.225710328	150.0		
T	36.535458067	140.225954771	150.4		
T	36.535480483	140.226026462	150.7		
T	36.535489205	140.226079580	150.9		
T	36.535490130	140.226137010	151.2		
T	36.535486754	140.226182856	151.5		
T	36.535481162	140.226222123	151.7		
T	36.535469322	140.226272453	152.0		
T	36.535452133	140.226327514	152.3		
T	36.535426388	140.226384055	152.5		
T	36.535390540	140.226436788	152.4		
T	36.535331477	140.226495128	152.2		
T	36.534940440	140.226834728	151.5		
T	36.533882319	140.227756700	153.1		
T	36.531654968	140.229693477	154.1		
T	36.531380377	140.229934928	156.0		
T	36.531355594	140.229967709	155.9		
T	36.531322959	140.230018794	155.7		
T	36.531297433	140.230077670	155.5		
T	36.531280486	140.230141213	155.3		
T	36.531271234	140.230210854	155.1		
T	36.531272467	140.230267053	155.0		
T	36.531278788	140.230318926	154.9		
T	36.531292318	140.230381715	154.8		
T	36.531310251	140.230428371	154.6		
T	36.531328627	140.230466485	154.5		
T	36.531350314	140.230507095	154.3		
T	36.531494763	140.230685393	155.1		
T	36.531653641	140.230868434	156.0		
T	36.531755119	140.230981987	156.1		
T	36.531820859	140.231034509	156.2		
T	36.531885117	140.231075033	156.1		
T	36.531956907	140.231108708	156.1		
T	36.532034439	140.231133715	156.4		
T	36.532123170	140.231148027	156.7		
T	36.532195929	140.231148224	156.9		
T	36.532259030	140.231142160	156.9		
T	36.532320429	140.231127510	156.7		
T	36.532380676	140.231106394	156.4		
T	36.532453808	140.231071771	156.1		
T	36.532532424	140.231017511	156.2		
T	36.532589457	140.230970028	156.3		
T	36.532673952	140.230875195	156.2		
T	36.532804053	140.230735073	154.8		
T	36.533040173	140.230467794	152.9		
T	36.533314514	140.230146141	152.9		
T	36.533740677	140.229662578	149.9		
T	36.534529262	140.228765138	150.8		
T	36.535391517	140.227786221	148.1		
T	36.535920506	140.227183612	150.1		
T	36.535947868	140.227155853	150.6		
T	36.535978974	140.227135175	151.0		
T	36.536007703	140.227123179	151.2		
T	36.536042012	140.227114131	151.5		
T	36.536093085	140.227116836	151.7		
T	36.536131890	140.227127284	151.7		
T	36.536165465	140.227146629	151.6		
T	36.536202566	140.227178208	151.5		
T	36.536236036	140.227220975	151.5		
T	36.536263044	140.227271294	151.7		
T	36.536281882	140.227344185	152.2		
T	36.536290427	140.227451896	152.7		
T	36.536311361	140.227764868	153.7		
T	36.536407476	140.229134020	151.3		
T	36.536427442	140.229444311	149.1		
T	36.536431603	140.229547416	148.8		
T	36.536430546	140.229615201	148.6		
T	36.536426379	140.229686055	148.4		
T	36.536418256	140.229767297	148.2		
T	36.536406257	140.229848308	148.1		
