type	latitude	longitude	altitude (m)	name	desc
T	36.532971032	140.226655507	153.3	Motegi Outer	
T	36.533654046	140.226189524	156.7		
T	36.534197214	140.225818196	156.9		
T	36.534813117	140.225397327	152.9		
T	36.534869667	140.225364344	153.2		
T	36.534926732	140.225339168	153.5		
T	36.534967396	140.225326993	153.7		
T	36.535007588	140.225320812	153.7		
T	36.535077140	140.225318768	152.8		
T	36.535132129	140.225327578	152.0		
T	36.535168166	140.225336108	151.5		
T	36.535204775	140.225350849	151.0		
T	36.535252609	140.225376482	150.3		
T	36.535301435	140.225407413	150.0		
T	36.535350514	140.225453105	150.0		
T	36.535388690	140.225497687	150.0		
T	36.535427978	140.225553486	150.0		
T	36.535454326	140.225606092	150.0		
T	36.535577390	140.225879441	150.3		
T	36.535601498	140.225952653	150.8		
T	36.535615443	140.226021623	151.3		
T	36.535624327	140.226081707	151.6		
T	36.535625731	140.226140209	151.9		
T	36.535619388	140.226226769	152.3		
T	36.535606164	140.226306372	152.7		
T	36.535569644	140.226414195	153.1		
T	36.535530762	140.226486373	152.9		
T	36.535478648	140.226561440	152.7		
T	36.535268129	140.226752980	152.0		
T	36.535198910	140.226815299	151.8		
T	36.534843733	140.227113055	150.5		
T	36.534224457	140.227648991	153.7		
T	36.533575531	140.228207044	153.0		
T	36.532960613	140.228733643	150.9		
T	36.531891011	140.229655575	151.8		
T	36.531508660	140.229984083	155.5		
T	36.531459278	140.230026425	155.7		
T	36.531437287	140.230051833	155.7		
T	36.531415650	140.230088658	155.6		
T	36.531401335	140.230119011	155.5		
T	36.531389571	140.230154900	155.4		
T	36.531381706	140.230212906	155.2		
T	36.531382413	140.230254748	155.1		
T	36.531385414	140.230290954	155.0		
T	36.531391540	140.230320808	154.8		
T	36.531407710	140.230372490	154.7		
T	36.531432192	140.230418418	154.7		
T	36.531573355	140.230585856	155.4		
T	36.531786485	140.230838512	156.4		
T	36.531835487	140.230887677	156.5		
T	36.531909340	140.230941855	156.5		
T	36.531977435	140.230976103	156.5		
T	36.532049554	140.231004216	156.5		
T	36.532113939	140.231012219	156.5		
T	36.532187658	140.231012647	156.6		
T	36.532263964	140.231001567	156.5		
T	36.532333705	140.230984530	156.3		
T	36.532410388	140.230949205	156.1		
T	36.532472071	140.230910127	156.0		
T	36.532530311	140.230860264	156.0		
T	36.532844709	140.230502772	151.9		
T	36.533770908	140.229451579	149.4		
T	36.534769818	140.228314327	152.2		
T	36.535226416	140.227796393	148.7		
T	36.535700616	140.227256474	149.2		
T	36.535851143	140.227087008	151.0		
T	36.535871230	140.227065071	151.4		
T	36.535908858	140.227035793	151.9		
T	36.535955249	140.227007353	152.3		
T	36.535989328	140.226995337	152.5		
T	36.536019144	140.226986834	152.6		
T	36.536056303	140.226982944	152.7		
T	36.536099594	140.226984385	152.7		
T	36.536138517	140.226992437	152.6		
T	36.536176630	140.227006224	152.4		
T	36.536207585	140.227022859	152.3		
T	36.536244714	140.227048013	152.1		
T	36.536284393	140.227084831	152.0		
T	36.536318353	140.227127741	151.9		
T	36.536341423	140.227169696	151.9		
T	36.536368451	140.227232189	152.0		
T	36.536381615	140.227284195	152.4		
T	36.536389882	140.227369071	153.1		
T	36.536414243	140.227692967	154.2		
T	36.536497890	140.228916428	152.2		
T	36.536522443	140.229229471	150.3		
T	36.536536209	140.229431369	149.6		
T	36.536540566	140.229519837	149.4		
T	36.536540504	140.229597472	149.3		
T	36.536536589	140.229678728	149.1		
T	36.536529673	140.229752256	148.9		
T	36.536516883	140.229851670	148.5		
T	36.536497049	140.229957419	148.1		
T	36.536467221	140.230076457	148.2		
T	36.536427148	140.230192114	148.6		
T	36.536374411	140.230319601	149.1		
T	36.536303432	140.230457352	149.3		
T	36.536218015	140.230584543	149.6		
T	36.536115492	140.230710147	149.5		
T	36.536019640	140.230800715	148.7		
T	36.535902279	140.230893428	148.7		
T	36.535684039	140.231053207	149.6		
T	36.535257525	140.231363514	151.8		
T	36.534773109	140.231719965	155.1		
T	36.534589480	140.231854479	154.9		
T	36.534150807	140.232175472	154.1		
T	36.534104949	140.232214957	155.1		
T	36.534064314	140.232256906	155.8		
T	36.534028258	140.232306007	156.7		
T	36.533990053	140.232372218	157.9		
T	36.533967057	140.232424801	159.0		
T	36.533947446	140.232481723	160.1		
T	36.533928828	140.232550863	160.3		
T	36.533916176	140.232626035	160.0		
T	36.533914404	140.232674877	159.7		
T	36.533914201	140.232728951	159.4		
T	36.533923631	140.232829419	159.3		
T	36.533942332	140.232911888	159.6		
T	36.534052513	140.233204192	160.5		
T	36.534088572	140.233306722	160.9		
T	36.534111452	140.233402767	161.6		
T	36.534122418	140.233498068	162.3		
T	36.534125908	140.233592398	163.0		
T	36.534122680	140.233684671	164.0		
T	36.534110907	140.233771355	164.9		
T	36.534088612	140.233870370	166.1		
T	36.534062944	140.233946721	167.0		
T	36.534028330	140.234028295	167.8		
T	36.533982019	140.234113146	168.3		
T	36.533931837	140.234182723	168.3		
T	36.533842698	140.234276412	167.5		
T	36.533769345	140.234332509	166.7		
T	36.533683917	140.234381278	165.8		
T	36.533606388	140.234411324	165.0		
T	36.533529464	140.234428972	165.3		
T	36.533467779	140.234436400	165.5		
T	36.533371886	140.234436978	165.9		
T	36.533191577	140.234429906	167.0		
T	36.532885057	140.234411487	168.6		
T	36.532319096	140.234385663	169.8		
T	36.531770234	140.234359478	169.3		
T	36.531643371	140.234352372	169.1		
T	36.531606177	140.234353675	169.1		
T	36.531574258	140.234362313	169.2		
T	36.531548592	140.234375861	169.3		
T	36.531518389	140.234396753	169.4		
T	36.531487262	140.234423823	169.6		
T	36.531464664	140.234456166	169.7		
T	36.531440743	140.234503872	169.9		
T	36.531426371	140.234545330	169.9		
T	36.531420256	140.234599193	169.9		
T	36.531418079	140.234651789	170.0		
T	36.531430457	140.234717918	170.0		
T	36.531457124	140.234777741	169.8		
T	36.531505672	140.234849655	169.7		
T	36.531836281	140.235334828	171.3		
T	36.532529622	140.236352742	173.6		
T	36.532826202	140.236791717	176.7		
T	36.533212999	140.237357134	178.2		
T	36.533503266	140.237781582	179.8		
T	36.533635865	140.237984685	179.0		
T	36.533653246	140.238030657	178.7		
