type	latitude	longitude	altitude (m)	name	desc
T	43.997618405	11.371391596	256.2	Mugello Outer	
T	43.998344025	11.371846715	255.5		
T	43.998771457	11.372132886	259.5		
T	43.999153073	11.372412291	261.5		
T	43.999567223	11.372741127	262.7		
T	44.000071156	11.373171170	267.4		
T	44.000445925	11.373474496	269.3		
T	44.000823804	11.373753270	265.0		
T	44.001086156	11.373926953	263.6		
T	44.001378998	11.374109663	265.3		
T	44.001597132	11.374237571	267.9		
T	44.002333364	11.374626105	270.4		
T	44.002808155	11.374877302	267.9		
T	44.002929110	11.374947242	267.4		
T	44.003061655	11.375041298	266.6		
T	44.003139974	11.375122342	266.2		
T	44.003231839	11.375260122	266.0		
T	44.003271709	11.375346856	266.6		
T	44.003300262	11.375438023	267.3		
T	44.003324252	11.375576340	268.1		
T	44.003329764	11.375658918	268.7		
T	44.003328063	11.375736604	269.3		
T	44.003316422	11.375831303	269.9		
T	44.003302431	11.375906279	270.6		
T	44.003283555	11.375973185	271.2		
T	44.003254735	11.376045814	271.9		
T	44.003221166	11.376112919	272.6		
T	44.003166917	11.376189780	272.8		
T	44.003103128	11.376260293	273.4		
T	44.003001571	11.376334605	274.7		
T	44.002914648	11.376375291	275.8		
T	44.002804493	11.376401200	277.1		
T	44.002732148	11.376409559	278.0		
T	44.002621562	11.376408046	279.2		
T	44.002456208	11.376378778	280.4		
T	44.002393321	11.376367248	281.1		
T	44.002122708	11.376284268	283.0		
T	44.001648971	11.376149841	282.8		
T	44.001604685	11.376138394	282.5		
T	44.001544296	11.376129564	282.3		
T	44.001492589	11.376130211	282.3		
T	44.001451575	11.376141672	282.4		
T	44.001406159	11.376160653	282.6		
T	44.001350386	11.376193871	282.9		
T	44.001296612	11.376248474	283.3		
T	44.001255869	11.376301054	283.7		
T	44.001207629	11.376384812	284.3		
T	44.001143397	11.376534724	284.8		
T	44.001017995	11.376823026	284.7		
T	44.000947456	11.376984166	284.3		
T	44.000904653	11.377062144	284.1		
T	44.000864929	11.377119380	283.9		
T	44.000811894	11.377183218	283.9		
T	44.000741615	11.377247702	284.1		
T	44.000637330	11.377316416	284.6		
T	44.000534043	11.377353689	285.1		
T	44.000459244	11.377364862	285.9		
T	44.000375017	11.377360891	286.6		
T	44.000295168	11.377344408	287.2		
T	44.000234779	11.377320741	287.6		
T	44.000190101	11.377298056	287.9		
T	44.000126254	11.377257433	288.1		
T	44.000020343	11.377171116	288.3		
T	43.999757312	11.376926912	287.7		
T	43.999347660	11.376535347	287.6		
T	43.999105840	11.376310091	286.1		
T	43.998728738	11.375960118	284.9		
T	43.997757051	11.375061321	282.5		
T	43.997638881	11.374956339	282.1		
T	43.997591362	11.374921413	282.0		
T	43.997532477	11.374890685	282.1		
T	43.997472349	11.374872792	282.1		
T	43.997411262	11.374869985	282.1		
T	43.997334770	11.374878577	282.1		
T	43.997170994	11.374960099	282.4		
T	43.996948358	11.375115301	281.9		
T	43.996793698	11.375216812	283.1		
T	43.996701880	11.375252943	283.7		
T	43.996637909	11.375263973	284.0		
T	43.996568797	11.375267152	284.3		
T	43.996461419	11.375246458	284.4		
T	43.996411929	11.375226979	284.4		
T	43.996378337	11.375209905	284.5		
T	43.996331515	11.375177674	284.9		
T	43.996291191	11.375145127	285.0		
T	43.996213962	11.375072226	284.7		
T	43.996152516	11.375007693	283.9		
T	43.995725128	11.374516550	278.7		
T	43.995068750	11.373759098	272.4		
T	43.994299096	11.372882116	266.3		
T	43.994221886	11.372792471	265.2		
T	43.994177499	11.372722049	264.6		
T	43.994148300	11.372672935	264.4		
T	43.994116241	11.372600816	264.1		
T	43.994090624	11.372539883	263.8		
T	43.994070588	11.372477400	263.5		
T	43.994047804	11.372361622	262.6		
T	43.994036862	11.372245253	261.7		
T	43.994036737	11.372127415	260.4		
T	43.994045511	11.371831836	257.7		
T	43.994049261	11.371592924	256.4		
T	43.994050750	11.371459830	255.9		
T	43.994051978	11.371387267	255.6		
T	43.994047734	11.371298919	255.3		
T	43.994046083	11.371200854	254.9		
T	43.994036977	11.371066907	254.5		
T	43.994024330	11.370959731	254.5		
T	43.994006936	11.370871799	254.6		
T	43.993989795	11.370795563	254.5		
T	43.993962397	11.370713766	254.1		
T	43.993931485	11.370635801	253.6		
T	43.993890282	11.370550941	253.0		
T	43.993864837	11.370507244	252.6		
T	43.993831720	11.370456844	252.0		
T	43.993763784	11.370371052	250.9		
T	43.993648717	11.370251164	249.2		
T	43.993583498	11.370194387	248.6		
T	43.993493525	11.370139630	247.9		
T	43.993325083	11.370047006	246.3		
T	43.992804680	11.369800789	245.3		
T	43.992563923	11.369692074	245.1		
T	43.992429564	11.369630221	245.7		
T	43.992300881	11.369570933	246.2		
T	43.992071525	11.369427901	245.4		
T	43.991996827	11.369371915	244.7		
T	43.991918174	11.369298295	243.9		
T	43.991805523	11.369175132	243.0		
T	43.991735240	11.369069802	243.3		
T	43.991676214	11.368967237	243.7		
T	43.991635311	11.368874258	243.9		
T	43.991580230	11.368728372	243.9		
T	43.991542773	11.368584697	244.1		
T	43.991519274	11.368451658	244.6		
T	43.991508181	11.368329505	245.0		
T	43.991500721	11.368218752	245.2		
T	43.991504178	11.368082829	245.4		
T	43.991513937	11.367948361	245.8		
T	43.991531978	11.367822792	246.4		
T	43.991560856	11.367654527	246.9		
T	43.991596668	11.367505764	247.5		
T	43.991628623	11.367379637	248.6		
T	43.991716920	11.367115093	250.7		
T	43.991841583	11.366770761	252.7		
T	43.991971351	11.366452137	254.8		
T	43.992039005	11.366302459	256.3		
T	43.992118322	11.366155349	257.9		
T	43.992166589	11.366078151	258.8		
T	43.992244766	11.365974479	259.5		
T	43.992324579	11.365895615	259.9		
T	43.992421055	11.365826957	260.0		
T	43.992518878	11.365777130	260.4		
T	43.992607180	11.365748671	261.3		
T	43.992677659	11.365734043	262.0		
T	43.992760686	11.365724284	262.8		
T	43.992925809	11.365727967	265.1		
