type	latitude	longitude	altitude (m)	name	desc
T	37.229821427	-8.629890076	104.6	Portimao Inner	
T	37.231243295	-8.630403245	101.9		
T	37.232937667	-8.631014330	102.1		
T	37.234247727	-8.631493629	100.3		
T	37.235320104	-8.631878894	96.7		
T	37.235514013	-8.631948337	97.9		
T	37.235551610	-8.631957072	98.0		
T	37.235578000	-8.631954537	98.2		
T	37.235601261	-8.631945588	98.3		
T	37.235624582	-8.631926399	98.4		
T	37.235645224	-8.631900804	98.3		
T	37.235676414	-8.631853002	98.2		
T	37.235966621	-8.631373906	98.9		
T	37.236320863	-8.630789478	100.6		
T	37.236372848	-8.630706344	100.5		
T	37.236400293	-8.630640662	100.3		
T	37.236413220	-8.630593101	100.2		
T	37.236418498	-8.630549935	100.1		
T	37.236423210	-8.630494632	100.1		
T	37.236421041	-8.630439888	100.1		
T	37.236393802	-8.630274968	100.0		
T	37.236316766	-8.629880998	99.9		
T	37.236197136	-8.629267687	102.9		
T	37.236152615	-8.629044052	104.2		
T	37.236137112	-8.629001739	104.4		
T	37.236117403	-8.628973369	104.4		
T	37.236095512	-8.628958385	104.4		
T	37.236072691	-8.628950351	104.4		
T	37.236045878	-8.628945083	104.4		
T	37.236023233	-8.628947862	104.3		
T	37.235997867	-8.628954372	104.1		
T	37.235980512	-8.628966035	104.0		
T	37.235954163	-8.628988539	103.7		
T	37.235937550	-8.629010085	103.5		
T	37.235815913	-8.629261323	101.7		
T	37.235681434	-8.629545554	102.1		
T	37.235586598	-8.629737325	102.8		
T	37.235524205	-8.629859084	103.5		
T	37.235499292	-8.629901040	103.9		
T	37.235466937	-8.629949023	104.3		
T	37.235436277	-8.629983195	104.7		
T	37.235371984	-8.630045446	105.1		
T	37.235296327	-8.630096929	105.7		
T	37.235216817	-8.630134903	106.2		
T	37.235124277	-8.630159680	106.9		
T	37.235011029	-8.630168796	108.1		
T	37.234905924	-8.630150063	108.6		
T	37.234829853	-8.630133424	108.9		
T	37.234448329	-8.629999841	110.0		
T	37.233560458	-8.629667000	111.0		
T	37.232863771	-8.629412373	109.3		
T	37.232191359	-8.629167032	115.0		
T	37.231602584	-8.628954866	113.5		
T	37.230902960	-8.628701834	108.3		
T	37.230431075	-8.628533387	107.2		
T	37.230380235	-8.628511692	106.8		
T	37.230342827	-8.628493147	106.5		
T	37.230306850	-8.628460175	105.9		
T	37.230280795	-8.628425506	105.3		
T	37.230261530	-8.628390858	104.7		
T	37.230246296	-8.628350992	103.9		
T	37.230234272	-8.628302461	103.2		
T	37.230230590	-8.628257774	102.7		
T	37.230232124	-8.628211268	102.2		
T	37.230239095	-8.628176242	101.9		
T	37.230249850	-8.628138952	101.6		
T	37.230266688	-8.628098054	101.3		
T	37.230287654	-8.628063129	101.2		
T	37.230315694	-8.628031245	101.2		
T	37.230346917	-8.628003100	101.3		
T	37.230389186	-8.627981982	101.4		
T	37.230445660	-8.627967393	101.7		
T	37.230545011	-8.627948726	102.2		
T	37.231016992	-8.627885311	103.0		
T	37.231671898	-8.627810220	109.3		
T	37.232083243	-8.627756282	111.4		
T	37.232172082	-8.627755710	111.7		
T	37.232244062	-8.627761238	112.0		
T	37.232314891	-8.627770221	112.3		
T	37.232384409	-8.627784063	112.6		
T	37.232452294	-8.627801842	113.1		
T	37.232513706	-8.627821497	113.6		
T	37.232564279	-8.627840477	114.0		
T	37.232629537	-8.627868209	114.6		
T	37.232713774	-8.627912835	115.2		
T	37.232781331	-8.627953212	115.6		
T	37.233054825	-8.628132573	116.0		
T	37.233679695	-8.628541193	117.0		
T	37.233819716	-8.628636176	117.3		
T	37.233973829	-8.628736807	116.6		
T	37.234036322	-8.628766996	116.1		
T	37.234085222	-8.628785025	115.8		
T	37.234123378	-8.628792776	115.6		
T	37.234174211	-8.628796702	115.3		
T	37.234229980	-8.628794142	115.1		
T	37.234281971	-8.628782637	115.0		
T	37.234335334	-8.628761839	114.8		
T	37.234413675	-8.628719245	114.7		
T	37.234527095	-8.628608879	114.7		
T	37.234938752	-8.628168167	114.1		
T	37.235055032	-8.628039211	113.5		
T	37.235087573	-8.627993892	113.3		
T	37.235108804	-8.627949601	113.2		
T	37.235120788	-8.627913503	113.2		
T	37.235125426	-8.627867447	113.3		
T	37.235125942	-8.627824698	113.5		
T	37.235117598	-8.627783803	113.7		
T	37.235110196	-8.627747576	114.0		
T	37.235099961	-8.627715374	114.4		
T	37.235081846	-8.627687759	114.8		
T	37.235064561	-8.627666469	115.1		
T	37.235034208	-8.627632900	115.7		
T	37.234999072	-8.627610180	116.2		
T	37.234954986	-8.627590662	117.0		
T	37.234867539	-8.627576121	118.4		
T	37.234396001	-8.627491103	125.0		
T	37.233915450	-8.627402258	123.2		
T	37.233444248	-8.627314865	117.1		
T	37.233322440	-8.627295611	116.3		
T	37.233085785	-8.627255594	116.0		
T	37.232933611	-8.627227530	116.0		
T	37.232636632	-8.627174788	115.3		
T	37.232434721	-8.627137547	113.8		
T	37.232347697	-8.627121334	112.9		
T	37.232247335	-8.627090395	111.8		
T	37.232172383	-8.627058797	110.9		
T	37.232104052	-8.627021683	110.1		
T	37.232021434	-8.626965278	109.1		
T	37.231966923	-8.626921557	108.4		
T	37.231898465	-8.626857251	108.4		
T	37.231837475	-8.626788163	108.8		
T	37.231765176	-8.626686966	109.5		
T	37.231711436	-8.626591893	110.6		
T	37.231647660	-8.626464529	112.3		
T	37.231523634	-8.626165684	116.4		
T	37.231385797	-8.625813612	123.3		
T	37.231275326	-8.625544421	126.3		
T	37.231143853	-8.625225888	128.1		
T	37.231062244	-8.625028137	127.6		
T	37.231014351	-8.624926989	127.0		
T	37.230990312	-8.624882199	126.7		
T	37.230951673	-8.624822590	126.2		
T	37.230915156	-8.624774167	125.8		
T	37.230868230	-8.624719749	125.3		
T	37.230817703	-8.624672103	125.1		
T	37.230767751	-8.624631414	124.8		
T	37.230705570	-8.624590577	124.3		
T	37.230646806	-8.624559556	123.8		
T	37.230440499	-8.624477262	121.8		
T	37.230398274	-8.624461869	121.3		
T	37.230368911	-8.624456175	121.0		
T	37.230340084	-8.624456064	120.7		
T	37.230313721	-8.624459812	120.4		
T	37.230281306	-8.624474424	120.1		
T	37.230252637	-8.624492594	120.0		
T	37.230228482	-8.624509953	119.9		
T	37.230208618	-8.624529841	119.9		
T	37.230186245	-8.624556578	119.9		
T	37.230168949	-8.624588436	119.9		
T	37.230150278	-8.624634278	120.1		
T	37.230094540	-8.624864795	119.5		
T	37.229971842	-8.625361982	115.3		
T	37.229877459	-8.625759072	110.8		
