type	latitude	longitude	altitude (m)	name	desc
T	47.220362157	14.766708790	677.8	Red Bull Ring Inner	
T	47.220210674	14.765887272	677.8		
T	47.219913421	14.764282738	678.1		
T	47.219544060	14.762285847	682.3		
T	47.219332160	14.761137819	692.1		
T	47.219322545	14.761085126	692.4		
T	47.219320038	14.761057180	692.6		
T	47.219320230	14.761027938	692.7		
T	47.219321590	14.761004469	692.8		
T	47.219329634	14.760979825	692.8		
T	47.219341403	14.760953545	692.8		
T	47.219357552	14.760929835	692.8		
T	47.219376292	14.760907575	692.8		
T	47.219428637	14.760869764	692.8		
T	47.219492908	14.760821255	693.3		
T	47.219649550	14.760696101	694.4		
T	47.219721925	14.760631912	694.7		
T	47.220146411	14.760177287	696.2		
T	47.220184909	14.760130570	696.2		
T	47.220242537	14.760068613	696.1		
T	47.220284726	14.760023682	696.0		
T	47.220339647	14.759964334	696.0		
T	47.220401704	14.759898740	696.1		
T	47.220482078	14.759813296	696.1		
T	47.220595348	14.759692739	696.1		
T	47.220756346	14.759523075	696.2		
T	47.220926886	14.759342561	696.0		
T	47.221104948	14.759157462	696.1		
T	47.221294119	14.758963064	696.1		
T	47.221456642	14.758809989	696.0		
T	47.221593573	14.758681836	696.0		
T	47.221722066	14.758566765	696.3		
T	47.221913556	14.758407905	696.8		
T	47.222202505	14.758176836	697.6		
T	47.222466473	14.757980472	699.0		
T	47.222651538	14.757852057	699.4		
T	47.222902827	14.757684741	700.6		
T	47.223231678	14.757470730	701.7		
T	47.223483069	14.757306883	702.7		
T	47.223709996	14.757150682	703.4		
T	47.223955357	14.756964641	704.5		
T	47.224105534	14.756840629	705.6		
T	47.224249598	14.756704911	706.6		
T	47.224343078	14.756614019	707.5		
T	47.224444215	14.756506010	708.6		
T	47.224530365	14.756410710	709.5		
T	47.224695555	14.756207868	711.4		
T	47.224832965	14.756030340	713.8		
T	47.225120435	14.755611318	718.5		
T	47.225320916	14.755316028	722.3		
T	47.225536778	14.754998744	725.7		
T	47.225676092	14.754796404	728.5		
T	47.225828370	14.754572640	731.5		
T	47.225935680	14.754412685	733.9		
T	47.226034570	14.754267510	735.8		
