type	latitude	longitude	altitude (m)	name	desc
T	47.220255390	14.766750323	678.7	Red Bull Ring Outer	
T	47.220068021	14.765728662	679.0		
T	47.219792572	14.764244080	679.4		
T	47.219673791	14.763597844	679.7		
T	47.219623646	14.763346869	680.4		
T	47.219552450	14.762957269	681.8		
T	47.219413828	14.762211397	682.7		
T	47.219307503	14.761633581	689.2		
T	47.219199416	14.761036486	693.7		
T	47.219192861	14.760988510	693.8		
T	47.219192847	14.760951995	693.8		
T	47.219195729	14.760919819	693.8		
T	47.219202741	14.760893973	693.8		
T	47.219215550	14.760869653	693.8		
T	47.219248309	14.760822847	693.8		
T	47.219279114	14.760791829	693.9		
T	47.219318277	14.760761221	694.0		
T	47.219381932	14.760711811	694.1		
T	47.219437945	14.760667785	694.2		
T	47.219549796	14.760581468	694.8		
T	47.219640222	14.760501897	695.4		
T	47.219725804	14.760417524	696.0		
T	47.219805507	14.760333137	696.4		
T	47.219879054	14.760263806	696.5		
T	47.219994862	14.760142730	696.5		
T	47.220084532	14.760044833	696.6		
T	47.220200985	14.759923248	697.0		
T	47.220355039	14.759759236	697.2		
T	47.220523065	14.759582388	697.3		
T	47.220678997	14.759414028	697.3		
T	47.220942483	14.759136957	696.9		
T	47.221051457	14.759023043	697.1		
T	47.221150616	14.758921140	696.7		
T	47.221247395	14.758823905	697.2		
T	47.221324079	14.758750829	697.2		
T	47.221351977	14.758724230	697.0		
T	47.221462286	14.758621132	696.7		
T	47.221611589	14.758487234	697.4		
T	47.221753466	14.758363669	697.5		
T	47.221871742	14.758264887	698.1		
T	47.221957342	14.758194614	698.5		
T	47.222070546	14.758104476	698.7		
T	47.222168686	14.758029376	698.7		
T	47.222238138	14.757977219	698.9		
T	47.222315792	14.757919143	699.3		
T	47.222397498	14.757859385	699.4		
T	47.222494162	14.757791001	699.0		
T	47.222583610	14.757730518	699.7		
T	47.222728527	14.757633402	700.5		
T	47.222910010	14.757513332	701.0		
T	47.223089794	14.757395214	701.5		
T	47.223309204	14.757252631	702.0		
T	47.223461279	14.757152721	702.6		
T	47.223616194	14.757048566	703.0		
T	47.223839451	14.756885359	703.9		
T	47.224012386	14.756741608	704.9		
T	47.224151820	14.756616134	706.1		
T	47.224303676	14.756462159	707.7		
T	47.224477312	14.756271741	709.3		
T	47.224559044	14.756179188	710.1		
T	47.224655424	14.756055495	711.5		
T	47.224726427	14.755967377	712.6		
T	47.224804169	14.755858494	713.8		
T	47.224873354	14.755759613	714.9		
T	47.224915335	14.755687635	715.6		
T	47.225051356	14.755487837	717.8		
T	47.225214090	14.755249946	720.8		
T	47.225343941	14.755060218	722.9		
T	47.225468995	14.754871989	725.1		
T	47.225600311	14.754681456	727.7		
T	47.225794146	14.754396697	731.4		
T	47.225948540	14.754168864	734.7		
T	47.226037833	14.754043418	736.2		
T	47.226063641	14.754009607	736.7		
T	47.226085956	14.753989260	737.2		
T	47.226119805	14.753972658	737.8		
T	47.226159084	14.753965562	738.3		
T	47.226191836	14.753972370	738.7		
T	47.226228393	14.753991073	739.1		
T	47.226262120	14.754022546	739.4		
T	47.226293751	14.754069874	739.7		
T	47.226309944	14.754116391	739.9		
T	47.226320762	14.754163529	740.0		
T	47.226329240	14.754205251	740.1		
T	47.226339409	14.754293984	740.3		
T	47.226365023	14.754532784	740.7		
T	47.226389052	14.754806069	741.0		
T	47.226408343	14.755088214	741.2		
T	47.226419690	14.755312038	741.1		
T	47.226434181	14.755910803	740.1		
T	47.226430565	14.756369907	738.7		
T	47.226416898	14.756758741	738.0		
T	47.226383316	14.757233296	735.8		
T	47.226352713	14.757551801	734.3		
T	47.226304895	14.757962135	733.2		
T	47.226246849	14.758415315	732.3		
T	47.226195295	14.758802323	731.2		
T	47.226066659	14.759785171	728.4		
T	47.225999236	14.760309665	727.3		
T	47.225931576	14.760869268	728.0		
T	47.225899744	14.761181009	727.3		
T	47.225866569	14.761612073	725.9		
T	47.225857917	14.761789445	725.1		
T	47.225842525	14.762149956	723.5		
T	47.225831561	14.762496877	722.0		
