type	latitude	longitude	altitude (m)	name	desc
T	50.790702962	12.685462495	325.8	Sachsenring Inner	
T	50.791130839	12.686441766	328.3		
T	50.791817166	12.688013538	330.8		
T	50.792364083	12.689263816	332.5		
T	50.792638704	12.689892807	334.1		
T	50.792836161	12.690347470	334.1		
T	50.793004127	12.690744461	334.3		
T	50.793123984	12.691036636	333.5		
T	50.793255257	12.691384553	333.7		
T	50.793324492	12.691578641	333.3		
T	50.793367250	12.691711923	333.4		
T	50.793380458	12.691784671	333.5		
T	50.793390698	12.691874753	333.6		
T	50.793389083	12.691995294	333.6		
T	50.793367058	12.692153761	333.3		
T	50.793340920	12.692263107	333.1		
T	50.793314101	12.692333568	332.9		
T	50.793279694	12.692394666	332.8		
T	50.793238227	12.692453188	332.7		
T	50.793187072	12.692507658	332.5		
T	50.793123395	12.692551726	332.2		
T	50.793042150	12.692584362	332.0		
T	50.792961048	12.692586749	331.7		
T	50.792885572	12.692559214	331.4		
T	50.792823117	12.692523013	331.2		
T	50.792773432	12.692471748	331.0		
T	50.792715498	12.692386255	331.0		
T	50.792592315	12.692200971	330.9		
T	50.792537463	12.692125943	330.7		
T	50.792491774	12.692073332	330.5		
T	50.792442679	12.692024693	330.3		
T	50.792383708	12.691973764	330.1		
T	50.792315373	12.691925093	330.0		
T	50.792262849	12.691896750	330.0		
T	50.792204184	12.691870109	329.9		
T	50.792141155	12.691851419	329.4		
T	50.792095772	12.691843662	329.1		
T	50.792037768	12.691836998	328.7		
T	50.791972565	12.691837361	328.2		
T	50.791896464	12.691848519	327.7		
T	50.791835208	12.691863814	327.2		
T	50.791768278	12.691890879	326.7		
T	50.791712580	12.691919327	326.3		
T	50.791654880	12.691955027	325.8		
T	50.791601682	12.691998374	325.1		
T	50.791553508	12.692054847	324.4		
T	50.791509076	12.692118870	323.7		
T	50.791472661	12.692184368	323.0		
T	50.791442615	12.692248414	322.6		
T	50.791409399	12.692341256	322.2		
T	50.791379786	12.692475317	322.0		
T	50.791357263	12.692589321	322.0		
T	50.791328672	12.692722976	321.8		
T	50.791295993	12.692837737	321.6		
T	50.791265073	12.692919184	321.3		
T	50.791224125	12.693009359	320.9		
T	50.791166157	12.693109019	320.2		
T	50.791098098	12.693210228	319.4		
T	50.791035959	12.693281784	319.0		
T	50.790974665	12.693335909	318.5		
T	50.790905864	12.693378187	318.1		
T	50.790849218	12.693404069	317.8		
T	50.790788625	12.693413089	317.4		
T	50.790727546	12.693415494	316.9		
T	50.790662018	12.693401858	316.5		
T	50.790599307	12.693377147	316.2		
T	50.790541502	12.693338448	315.9		
T	50.790491446	12.693289194	316.2		
T	50.790448757	12.693229105	316.5		
T	50.790407728	12.693160029	316.7		
T	50.790378462	12.693098562	316.8		
T	50.790349784	12.693015877	317.0		
T	50.790326512	12.692931866	317.1		
T	50.790308985	12.692835653	317.2		
T	50.790302203	12.692780462	317.3		
T	50.790298383	12.692712552	317.3		
T	50.790298604	12.692652860	317.3		
T	50.790300044	12.692581885	317.3		
T	50.790310898	12.692485602	317.5		
T	50.790325878	12.692400148	317.7		
T	50.790343837	12.692341010	318.0		
T	50.790371192	12.692267524	318.3		
T	50.790398399	12.692215578	318.8		
T	50.790429160	12.692172428	319.4		
T	50.790451174	12.692144566	319.9		
T	50.790475552	12.692118790	320.3		
T	50.790512645	12.692087290	320.9		
T	50.790546676	12.692062236	321.5		
T	50.790584857	12.692038646	322.0		
T	50.790619754	12.692019958	322.4		
T	50.790695879	12.691991101	323.3		
T	50.790799889	12.691961360	324.6		
T	50.790839283	12.691951445	324.9		
T	50.790886527	12.691938640	324.6		
T	50.790938478	12.691925523	324.3		
T	50.790987946	12.691900500	324.0		
T	50.791046640	12.691863201	323.7		
T	50.791093245	12.691820478	323.5		
T	50.791132565	12.691779477	323.5		
T	50.791170982	12.691733598	323.6		
T	50.791212227	12.691679200	323.6		
T	50.791251474	12.691620072	323.8		
T	50.791292026	12.691548208	324.2		
T	50.791343771	12.691452323	324.7		
T	50.791383027	12.691366431	325.2		
T	50.791413746	12.691295981	325.8		
T	50.791451911	12.691201897	326.6		
T	50.791483964	12.691110985	327.3		
T	50.791517165	12.691012682	328.0		
T	50.791544937	12.690917355	328.6		
T	50.791561375	12.690835487	329.0		
T	50.791577043	12.690743533	329.3		
T	50.791585381	12.690664802	329.6		
T	50.791585560	12.690612748	329.8		
T	50.791575459	12.690537978	330.1		
T	50.791568396	12.690499351	330.2		
T	50.791559227	12.690457040	330.4		
T	50.791548138	12.690416159	330.5		
T	50.791532173	12.690363990	330.7		
T	50.791500006	12.690279178	331.0		
T	50.791417478	12.690086416	331.7		
T	50.791304604	12.689834126	332.9		
T	50.791281651	12.689788087	333.1		
T	50.791259937	12.689753132	333.4		
T	50.791229883	12.689715317	333.6		
T	50.791189014	12.689673636	333.7		
T	50.791143653	12.689632880	333.9		
T	50.791110227	12.689612595	334.0		
T	50.791081931	12.689598532	333.9		
T	50.791053139	12.689590727	333.8		
T	50.791020986	12.689583436	333.7		
