type	latitude	longitude	altitude (m)	name	desc
T	50.790599811	12.685573177	327.5	Sachsenring Outer	
T	50.791435705	12.687484029	331.6		
T	50.792114448	12.689040348	332.7		
T	50.792678120	12.690328355	333.9		
T	50.792791237	12.690592140	334.0		
T	50.792892980	12.690831655	334.0		
T	50.793011292	12.691122929	333.0		
T	50.793119720	12.691409221	333.2		
T	50.793207507	12.691650822	332.6		
T	50.793251056	12.691781281	332.7		
T	50.793271396	12.691850794	332.8		
T	50.793284927	12.691915397	332.8		
T	50.793289421	12.691960269	332.8		
T	50.793287248	12.692000491	332.8		
T	50.793263470	12.692112746	332.7		
T	50.793230261	12.692238277	332.6		
T	50.793210662	12.692290147	332.6		
T	50.793196237	12.692315513	332.5		
T	50.793176149	12.692341669	332.4		
T	50.793142840	12.692375008	332.3		
T	50.793106569	12.692403228	332.2		
T	50.793063244	12.692421110	332.0		
T	50.793012819	12.692433678	331.8		
T	50.792939458	12.692423465	331.6		
T	50.792899872	12.692405204	331.4		
T	50.792853501	12.692370753	331.3		
T	50.792813616	12.692326901	331.1		
T	50.792701799	12.692161299	330.9		
T	50.792614157	12.692038646	330.6		
T	50.792568015	12.691976811	330.3		
T	50.792502596	12.691906138	330.0		
T	50.792411302	12.691826883	330.0		
T	50.792310505	12.691764566	330.0		
T	50.792220508	12.691721151	330.0		
T	50.792127111	12.691695980	329.3		
T	50.792041870	12.691686011	328.7		
T	50.791953458	12.691688001	328.1		
T	50.791868006	12.691702515	327.4		
T	50.791803693	12.691720808	327.0		
T	50.791744527	12.691742064	326.6		
T	50.791692861	12.691766777	326.2		
T	50.791643120	12.691796350	325.7		
T	50.791600256	12.691826939	325.3		
T	50.791555291	12.691867135	324.8		
T	50.791513654	12.691909527	324.3		
T	50.791479376	12.691955632	323.9		
T	50.791445016	12.692005506	323.4		
T	50.791416225	12.692052762	322.9		
T	50.791389350	12.692105847	322.4		
T	50.791362396	12.692170104	322.2		
T	50.791337550	12.692239080	322.0		
T	50.791309003	12.692341018	322.0		
T	50.791293979	12.692411974	322.0		
T	50.791281013	12.692484131	322.0		
T	50.791271953	12.692548357	321.9		
T	50.791259482	12.692608451	321.8		
T	50.791244165	12.692669709	321.7		
T	50.791228112	12.692723650	321.5		
T	50.791210208	12.692774534	321.4		
T	50.791192904	12.692818889	321.2		
T	50.791173398	12.692867982	321.0		
T	50.791147633	12.692919194	320.7		
T	50.791115516	12.692978179	320.3		
T	50.791084645	12.693029805	320.2		
T	50.791050417	12.693079357	320.1		
T	50.791015809	12.693122315	319.9		
T	50.790981512	12.693161966	319.7		
T	50.790949212	12.693190691	319.5		
T	50.790917451	12.693218180	319.3		
T	50.790880932	12.693236622	319.1		
T	50.790841410	12.693251339	318.9		
T	50.790816724	12.693257797	318.7		
T	50.790782465	12.693257917	318.4		
T	50.790742274	12.693255180	318.2		
T	50.790713034	12.693246787	318.1		
T	50.790685567	12.693233438	318.0		
T	50.790649573	12.693207800	318.0		
T	50.790626011	12.693189001	318.1		
T	50.790587693	12.693148179	318.2		
T	50.790556524	12.693109279	318.4		
T	50.790530428	12.693070493	318.6		
T	50.790511540	12.693037645	318.6		
T	50.790493738	12.693000979	318.7		
