type	latitude	longitude	altitude (m)	name	desc
T	2.760826793	101.738383326	44.9	Sepang Inner	
T	2.760735403	101.737288214	41.6		
T	2.760608287	101.735595256	40.4		
T	2.760493397	101.734157087	38.2		
T	2.760433253	101.733394695	40.7		
T	2.760420099	101.733221050	41.3		
T	2.760406082	101.732967580	42.1		
T	2.760406742	101.732897669	42.3		
T	2.760414749	101.732852721	42.4		
T	2.760437528	101.732806392	42.5		
T	2.760459662	101.732770243	42.6		
T	2.760486314	101.732741122	42.7		
T	2.760517830	101.732717012	42.7		
T	2.760548025	101.732698998	42.8		
T	2.760584096	101.732686380	42.8		
T	2.760620302	101.732679132	42.8		
T	2.760656470	101.732678066	42.8		
T	2.760692986	101.732682400	42.8		
T	2.760727414	101.732691074	42.7		
T	2.760761654	101.732703488	42.6		
T	2.760792947	101.732722614	42.4		
T	2.760817656	101.732741176	42.3		
T	2.760835336	101.732760670	42.1		
T	2.760852093	101.732782697	41.9		
T	2.760866590	101.732805169	41.7		
T	2.760877598	101.732831522	41.5		
T	2.760888745	101.732865321	41.2		
T	2.760897097	101.732893893	41.0		
T	2.760898509	101.732920414	40.8		
T	2.760898105	101.732944030	40.6		
T	2.760892194	101.732971243	40.4		
T	2.760858668	101.733059205	39.9		
T	2.760779163	101.733242624	39.0		
T	2.760752621	101.733312318	38.7		
T	2.760741612	101.733359132	38.6		
T	2.760744410	101.733402894	38.5		
T	2.760750050	101.733438237	38.4		
T	2.760764350	101.733474844	38.3		
T	2.760791578	101.733514383	38.1		
T	2.760834368	101.733561902	37.7		
T	2.760884339	101.733599233	37.5		
T	2.760941278	101.733629637	37.3		
T	2.760990122	101.733643028	37.1		
T	2.761038890	101.733648742	37.0		
T	2.761088415	101.733648547	36.8		
T	2.761120559	101.733643265	36.7		
T	2.761174136	101.733628389	36.6		
T	2.761233340	101.733601951	36.4		
T	2.761306257	101.733555690	36.2		
T	2.761425515	101.733462303	35.8		
T	2.761542749	101.733365789	35.4		
T	2.761618417	101.733313463	35.3		
T	2.761686558	101.733274635	35.4		
T	2.761746439	101.733245195	35.2		
T	2.761805117	101.733217854	35.1		
T	2.761868742	101.733193809	34.9		
T	2.761921554	101.733179508	34.6		
T	2.761978749	101.733165528	34.4		
T	2.762036069	101.733155320	34.1		
T	2.762090637	101.733147287	33.8		
T	2.762138662	101.733142851	33.5		
T	2.762196842	101.733141389	33.1		
T	2.762265325	101.733141225	32.7		
T	2.762358154	101.733147222	32.0		
T	2.762549054	101.733166598	30.8		
T	2.762652320	101.733175043	30.3		
T	2.762721384	101.733184038	29.9		
T	2.762780629	101.733194968	29.5		
T	2.762857128	101.733214263	29.1		
T	2.762923565	101.733231194	28.6		
T	2.763001281	101.733259697	28.1		
T	2.763091109	101.733297311	27.4		
T	2.763168378	101.733336810	26.8		
T	2.763243771	101.733377671	26.4		
T	2.763317808	101.733428298	26.1		
T	2.763404760	101.733496029	26.0		
T	2.763455747	101.733539522	25.9		
T	2.763509074	101.733594128	25.9		
T	2.763577580	101.733672683	25.8		
T	2.763632653	101.733740824	25.6		
T	2.763673221	101.733803062	25.5		
T	2.763732178	101.733902992	25.3		
T	2.763789341	101.734025100	25.1		
T	2.763821995	101.734117178	24.9		
T	2.763956357	101.734538710	26.3		
