type	latitude	longitude	altitude (m)	name	desc
T	2.760684504	101.738394450	45.7	Sepang Outer	
T	2.760450561	101.735413327	41.2		
T	2.760272875	101.733297014	42.1		
T	2.760244650	101.732962132	42.7		
T	2.760251094	101.732868957	42.8		
T	2.760265832	101.732800927	42.9		
T	2.760293033	101.732739159	42.9		
T	2.760330779	101.732686638	43.0		
T	2.760378631	101.732635867	43.1		
T	2.760437153	101.732594889	43.2		
T	2.760503925	101.732564165	43.4		
T	2.760569383	101.732546883	43.5		
T	2.760635358	101.732537794	43.6		
T	2.760711145	101.732541998	43.6		
T	2.760770358	101.732557087	43.5		
T	2.760843407	101.732585171	43.4		
T	2.760910936	101.732636611	42.8		
T	2.760956738	101.732685021	42.3		
T	2.760999101	101.732748733	41.8		
T	2.761024508	101.732823651	41.1		
T	2.761037630	101.732909720	40.4		
T	2.761037088	101.732993971	39.8		
T	2.761024180	101.733057308	39.4		
T	2.760939135	101.733274271	38.1		
T	2.760911962	101.733340815	37.7		
T	2.760899803	101.733372413	37.7		
T	2.760897222	101.733398186	37.7		
T	2.760905057	101.733422349	37.6		
T	2.760922472	101.733444676	37.6		
T	2.760943823	101.733461661	37.5		
T	2.760974030	101.733474488	37.4		
T	2.761012626	101.733485860	37.2		
T	2.761054131	101.733489876	37.1		
T	2.761094301	101.733481632	36.9		
T	2.761150380	101.733464334	36.8		
T	2.761192924	101.733443309	36.6		
T	2.761325031	101.733359779	36.2		
T	2.761488466	101.733236357	36.4		
T	2.761587687	101.733168144	36.7		
T	2.761672510	101.733119897	36.8		
T	2.761760673	101.733082372	36.5		
T	2.761872201	101.733047829	36.0		
T	2.761969740	101.733023985	35.5		
T	2.762051847	101.733008967	35.1		
T	2.762141186	101.733004090	34.5		
T	2.762221300	101.733001561	33.9		
T	2.762349367	101.733009866	33.0		
T	2.762551126	101.733026908	31.6		
T	2.762703630	101.733041392	30.9		
T	2.762822149	101.733059086	30.2		
T	2.762922136	101.733085315	29.6		
T	2.763048339	101.733127330	28.8		
T	2.763182183	101.733185157	27.8		
T	2.763290670	101.733242425	26.9		
T	2.763398298	101.733314223	26.1		
T	2.763539672	101.733426827	25.9		
T	2.763652246	101.733543393	25.8		
T	2.763763663	101.733685097	25.6		
T	2.763855720	101.733838994	25.2		
T	2.763910648	101.733950116	25.0		
T	2.763954142	101.734069020	24.7		
T	2.764104464	101.734539471	25.6		
T	2.764303322	101.735128471	27.3		
T	2.764460402	101.735557082	28.1		
T	2.764668498	101.736105340	29.4		
T	2.764813111	101.736463004	30.5		
T	2.765015778	101.736926696	34.1		
T	2.765216076	101.737350409	38.8		
T	2.765231094	101.737389659	39.2		
T	2.765235831	101.737428777	39.6		
T	2.765238204	101.737462759	40.0		
T	2.765235212	101.737502109	40.4		
T	2.765226462	101.737545277	40.7		
T	2.765212206	101.737575215	40.9		
T	2.765189898	101.737611949	41.2		
T	2.765155263	101.737645726	41.5		
T	2.765120988	101.737672859	41.7		
T	2.765076072	101.737695227	42.0		
T	2.765021156	101.737708434	42.2		
T	2.764916865	101.737722944	42.1		
T	2.764590998	101.737770102	41.8		
T	2.764288235	101.737820433	41.7		
