type	latitude	longitude	altitude (m)	name	desc
T	52.068226287	-1.023377124	146.5	Silverstone GP Inner	
T	52.070063555	-1.021093564	150.5		
T	52.070972949	-1.019969337	150.6		
T	52.071043094	-1.019878525	150.6		
T	52.071082928	-1.019821108	150.7		
T	52.071114981	-1.019769255	150.8		
T	52.071149955	-1.019701722	151.1		
T	52.071178910	-1.019633845	151.3		
T	52.071202343	-1.019563346	151.6		
T	52.071226695	-1.019463950	151.9		
T	52.071242486	-1.019363258	152.0		
T	52.071256737	-1.019217629	152.0		
T	52.071267537	-1.019043022	151.6		
T	52.071267561	-1.018792615	151.2		
T	52.071259526	-1.018676402	151.4		
T	52.071244334	-1.018474426	152.0		
T	52.071143063	-1.017356309	154.5		
T	52.071127357	-1.017188351	154.9		
T	52.071121943	-1.016980198	155.0		
T	52.071124972	-1.016845391	155.3		
T	52.071133779	-1.016709414	155.8		
T	52.071152881	-1.016532182	155.8		
T	52.071177979	-1.016368243	155.7		
T	52.071225738	-1.016152064	155.1		
T	52.071275690	-1.015969743	155.0		
T	52.071336531	-1.015798241	155.0		
T	52.071416328	-1.015614062	155.0		
T	52.071517285	-1.015400619	155.0		
T	52.071827787	-1.014769793	154.0		
T	52.072060154	-1.014291947	155.0		
T	52.072400247	-1.013587238	155.0		
T	52.072428951	-1.013516997	155.1		
T	52.072448623	-1.013450121	155.1		
T	52.072455750	-1.013401532	155.1		
T	52.072459596	-1.013343649	155.1		
T	52.072456196	-1.013292322	155.2		
T	52.072448285	-1.013239497	155.2		
T	52.072430585	-1.013196134	155.2		
T	52.072407957	-1.013156082	155.3		
T	52.072385079	-1.013132097	155.4		
T	52.072270891	-1.013065946	155.8		
T	52.071847802	-1.012857830	157.7		
T	52.071683843	-1.012774324	158.0		
T	52.071530913	-1.012694620	157.0		
T	52.071479823	-1.012654597	156.7		
T	52.071430475	-1.012589567	156.3		
T	52.071383622	-1.012504527	156.0		
T	52.071346425	-1.012400529	156.2		
T	52.071330489	-1.012338204	156.2		
T	52.071325206	-1.012246728	156.5		
T	52.071328772	-1.012169490	156.6		
T	52.071338943	-1.012102149	156.7		
T	52.071358927	-1.012034856	156.9		
T	52.071393784	-1.011963352	157.0		
T	52.071451901	-1.011881690	157.3		
T	52.071533203	-1.011806827	157.5		
T	52.071678750	-1.011690521	157.1		
T	52.071828707	-1.011591655	157.0		
T	52.072019284	-1.011490704	156.7		
T	52.072194370	-1.011409928	156.1		
T	52.072341819	-1.011366780	155.6		
T	52.072589891	-1.011312294	155.0		
T	52.072756796	-1.011297499	155.0		
T	52.072875953	-1.011294569	155.7		
T	52.072939531	-1.011302292	156.2		
T	52.073024889	-1.011327769	156.8		
T	52.073081907	-1.011361938	156.9		
T	52.073130702	-1.011400376	156.7		
T	52.073167659	-1.011442020	156.6		
T	52.073231765	-1.011545362	156.4		
T	52.073313879	-1.011692980	156.1		
T	52.073377627	-1.011800955	156.0		
T	52.073561886	-1.012128868	156.0		
T	52.073886828	-1.012710379	158.0		
T	52.074187047	-1.013257119	156.0		
T	52.075077815	-1.014852153	157.7		
T	52.076273855	-1.016987899	156.6		
T	52.076424285	-1.017248428	157.0		
T	52.076677472	-1.017696520	158.0		
T	52.077000860	-1.018275421	156.2		
T	52.077073133	-1.018417495	155.7		
T	52.077133712	-1.018572000	155.1		
T	52.077169385	-1.018702342	155.0		
T	52.077203102	-1.018855739	155.0		
T	52.077220563	-1.019000543	155.0		
T	52.077226799	-1.019080985	155.0		
T	52.077227441	-1.019203629	155.0		
T	52.077224323	-1.019285016	155.0		
T	52.077214733	-1.019388159	155.0		
T	52.077197572	-1.019502961	154.9		
T	52.077176326	-1.019605386	154.8		
T	52.077147274	-1.019725441	154.7		
T	52.077123043	-1.019806689	154.6		
T	52.077085203	-1.019892864	154.5		
T	52.077046553	-1.019958539	154.4		
T	52.076998397	-1.020017668	154.1		
T	52.076947866	-1.020064317	153.8		
T	52.076899268	-1.020094675	153.5		
T	52.076828722	-1.020116948	153.2		
T	52.076380509	-1.020193787	152.3		
T	52.076250917	-1.020212536	152.4		
T	52.076175771	-1.020236197	152.3		
T	52.076099250	-1.020281741	152.0		
T	52.076048604	-1.020329396	152.0		
