type	latitude	longitude	altitude (m)	name	desc
T	52.068307145	-1.023540200	146.2	Silverstone GP Outer	
T	52.068997612	-1.022673047	146.4		
T	52.070833857	-1.020408123	152.0		
T	52.071023334	-1.020164618	150.9		
T	52.071188065	-1.019960148	150.4		
T	52.071225711	-1.019912540	150.6		
T	52.071253980	-1.019860264	150.8		
T	52.071278232	-1.019808861	150.9		
T	52.071308825	-1.019725211	151.0		
T	52.071340093	-1.019620593	151.4		
T	52.071370189	-1.019461950	151.9		
T	52.071387397	-1.019317616	152.0		
T	52.071397235	-1.019167205	152.0		
T	52.071403537	-1.018992092	151.4		
T	52.071402833	-1.018840932	151.2		
T	52.071391267	-1.018612410	152.0		
T	52.071374883	-1.018410700	152.7		
T	52.071365098	-1.018290201	152.9		
T	52.071348121	-1.018095066	153.0		
T	52.071322012	-1.017829648	153.8		
T	52.071303583	-1.017619456	154.0		
T	52.071278408	-1.017347233	154.2		
T	52.071267162	-1.017201801	154.4		
T	52.071261138	-1.017070262	154.5		
T	52.071258907	-1.016911228	154.6		
T	52.071266911	-1.016761785	155.1		
T	52.071277349	-1.016639151	155.4		
T	52.071288787	-1.016558226	155.4		
T	52.071312618	-1.016407672	155.3		
T	52.071346770	-1.016248718	155.1		
T	52.071393186	-1.016072552	155.0		
T	52.071449891	-1.015901655	155.0		
T	52.071527259	-1.015734570	155.0		
T	52.071953561	-1.014878940	154.1		
T	52.072078494	-1.014628394	155.0		
T	52.072262898	-1.014254966	155.2		
T	52.072414552	-1.013954737	155.2		
T	52.072535965	-1.013707494	155.0		
T	52.072575645	-1.013593888	155.0		
T	52.072589445	-1.013546386	154.9		
T	52.072598432	-1.013503048	154.9		
T	52.072605866	-1.013399628	154.7		
T	52.072606465	-1.013297568	154.7		
T	52.072594206	-1.013182944	154.8		
T	52.072576190	-1.013113734	154.9		
T	52.072549982	-1.013048791	155.0		
T	52.072511508	-1.012985539	155.3		
T	52.072475456	-1.012943695	155.5		
T	52.072435331	-1.012908294	155.8		
T	52.072391476	-1.012870834	156.1		
T	52.072335717	-1.012836269	156.4		
T	52.072237741	-1.012783941	156.9		
T	52.072156127	-1.012746678	157.2		
T	52.071856866	-1.012605764	158.0		
T	52.071631387	-1.012487735	157.8		
T	52.071566097	-1.012453474	157.4		
T	52.071539652	-1.012435474	157.3		
T	52.071504832	-1.012389245	157.2		
T	52.071480647	-1.012331900	157.3		
T	52.071469605	-1.012261978	157.4		
T	52.071471317	-1.012194739	157.6		
T	52.071483925	-1.012146790	157.6		
T	52.071505723	-1.012100908	157.7		
T	52.071560217	-1.012034871	157.8		
T	52.071748417	-1.011888315	157.8		
T	52.071943091	-1.011769716	157.4		
T	52.072014960	-1.011732256	157.0		
T	52.072119937	-1.011681994	156.4		
T	52.072231837	-1.011635865	156.0		
T	52.072415519	-1.011572816	155.3		
T	52.072558945	-1.011543007	155.0		
T	52.072823386	-1.011509916	155.3		
T	52.072906559	-1.011514073	155.9		
T	52.072961194	-1.011532250	156.3		
T	52.073000102	-1.011546737	156.6		
T	52.073043842	-1.011572291	156.9		
T	52.073125717	-1.011673421	156.7		
T	52.073497530	-1.012285266	156.1		
T	52.075065128	-1.015080024	157.8		
T	52.075728552	-1.016265847	157.4		
T	52.076177886	-1.017077609	156.2		
T	52.076952555	-1.018526554	155.3		
T	52.077001474	-1.018632673	155.0		
T	52.077039930	-1.018756981	155.0		
T	52.077070595	-1.018918501	154.9		
T	52.077079866	-1.018982931	154.8		
T	52.077086519	-1.019075169	154.7		
T	52.077087093	-1.019226738	154.5		
T	52.077079560	-1.019337699	154.5		
T	52.077069935	-1.019415096	154.5		
T	52.077054519	-1.019503505	154.4		
T	52.077032374	-1.019602454	154.3		
T	52.077003389	-1.019700879	154.2		
T	52.076974846	-1.019760736	154.1		
T	52.076938109	-1.019815525	154.0		
T	52.076900839	-1.019859704	153.8		
T	52.076850480	-1.019892040	153.7		
T	52.076795304	-1.019909775	153.5		
T	52.076220592	-1.020000757	153.6		
T	52.076169509	-1.020016113	153.7		
T	52.076111982	-1.020040464	153.7		
T	52.076060215	-1.020068133	153.7		
T	52.075983296	-1.020133845	153.5		
T	52.075901709	-1.020234730	153.1		
T	52.075839890	-1.020347144	152.7		
T	52.075793492	-1.020455295	152.6		
