type	latitude	longitude	altitude (m)	name	desc
T	52.078637353	-1.017151278	151.9	Silverstone National Inner	
T	52.078716800	-1.015919737	152.6		
T	52.078759824	-1.015102717	152.5		
T	52.078824729	-1.013842781	154.0		
T	52.078873914	-1.012865278	154.0		
T	52.078883224	-1.012576716	154.0		
T	52.078887279	-1.012448658	154.0		
T	52.078882939	-1.012291192	154.0		
T	52.078870558	-1.012179497	154.0		
T	52.078858598	-1.012088920	154.0		
T	52.078834175	-1.011975904	154.0		
T	52.078814838	-1.011898822	154.0		
T	52.078764652	-1.011748088	154.0		
T	52.078720361	-1.011636645	154.0		
T	52.078663853	-1.011525285	154.0		
T	52.078603321	-1.011426805	154.0		
T	52.078532599	-1.011338659	154.2		
T	52.078459357	-1.011267424	154.3		
T	52.078268714	-1.011139820	154.3		
T	52.078006647	-1.011000880	155.0		
T	52.077754782	-1.010870219	155.0		
T	52.077532288	-1.010775842	155.0		
T	52.077243272	-1.010663626	155.0		
T	52.076962681	-1.010573737	155.9		
T	52.076636383	-1.010491867	156.1		
T	52.076371419	-1.010441660	156.6		
T	52.076154946	-1.010415960	156.5		
T	52.076012865	-1.010396874	156.4		
T	52.075845766	-1.010385541	156.4		
T	52.075672923	-1.010369078	156.7		
T	52.075441104	-1.010352616	157.0		
T	52.075266732	-1.010338412	157.0		
T	52.075124897	-1.010332783	156.6		
T	52.075046766	-1.010332509	156.3		
T	52.074977265	-1.010328360	156.2		
T	52.074916519	-1.010322144	156.2		
T	52.074863009	-1.010309789	156.1		
T	52.074747218	-1.010300628	156.1		
T	52.074586610	-1.010288864	156.0		
T	52.074485238	-1.010277711	156.0		
T	52.074388848	-1.010253881	155.8		
T	52.074299768	-1.010223168	155.5		
T	52.074203730	-1.010174680	155.1		
T	52.074098194	-1.010115495	155.0		
T	52.074009453	-1.010053083	155.0		
T	52.073940138	-1.010002773	155.0		
T	52.073876967	-1.009943360	155.0		
T	52.073827898	-1.009898977	155.0		
T	52.073760443	-1.009834025	155.0		
T	52.073697811	-1.009763358	155.0		
T	52.073624387	-1.009691815	154.9		
T	52.073561022	-1.009640099	154.8		
T	52.073495659	-1.009610590	154.8		
T	52.073428861	-1.009595754	154.8		
T	52.073362321	-1.009597274	155.0		
T	52.073310771	-1.009604223	155.0		
T	52.073259398	-1.009624203	155.0		
T	52.073191585	-1.009660007	155.0		
T	52.073136140	-1.009703425	155.0		
T	52.073075856	-1.009786583	155.0		
T	52.073025515	-1.009897048	155.0		
T	52.072994570	-1.010015972	155.0		
T	52.072979278	-1.010118543	155.0		
T	52.072974593	-1.010169927	155.0		
T	52.072976442	-1.010296153	155.0		
T	52.073041086	-1.010792761	155.0		
T	52.073081323	-1.011109982	155.0		
T	52.073108887	-1.011243801	155.0		
T	52.073152007	-1.011371108	155.0		
T	52.073208557	-1.011510567	155.0		
T	52.073272602	-1.011624345	155.0		
T	52.073934309	-1.012804714	155.0		
T	52.074338090	-1.013527126	155.2		
T	52.074742339	-1.014252991	155.0		
T	52.075071139	-1.014844466	155.0		
T	52.075247211	-1.015157894	155.0		
T	52.075611136	-1.015804755	155.0		
T	52.076268730	-1.016981495	154.4		
T	52.076576611	-1.017521545	153.3		
T	52.076755750	-1.017838640	153.0		
T	52.076873458	-1.018042251	153.0		
T	52.076956054	-1.018193943	153.0		
T	52.077041248	-1.018347445	153.0		
T	52.077112861	-1.018517479	152.6		
T	52.077142183	-1.018595905	152.3		
T	52.077170209	-1.018698281	152.1		
T	52.077205015	-1.018865636	152.0		
T	52.077224990	-1.019031907	152.0		
T	52.077228856	-1.019219402	152.0		
T	52.077223394	-1.019337124	152.0		
T	52.077205166	-1.019456801	152.0		
T	52.077184974	-1.019566563	152.0		
T	52.077162737	-1.019665014	152.0		
T	52.077139088	-1.019756533	152.0		
T	52.077119699	-1.019817729	152.0		
T	52.077090846	-1.019879723	152.0		
T	52.077067689	-1.019922142	152.0		
T	52.077037361	-1.019968616	152.0		
T	52.077008016	-1.020006663	152.0		
T	52.076976725	-1.020040968	152.0		
T	52.076939533	-1.020070745	152.0		
T	52.076910550	-1.020088002	152.0		
T	52.076858999	-1.020109191	152.0		
T	52.076770429	-1.020133231	152.0		
T	52.076642909	-1.020159545	152.0		
T	52.076568383	-1.020168720	152.0		
T	52.076479202	-1.020185695	152.0		
T	52.076351280	-1.020205524	152.1		
T	52.076234484	-1.020222683	152.6		
T	52.076147478	-1.020254562	152.9		
T	52.076090315	-1.020291317	153.0		
T	52.076037522	-1.020344497	153.0		
T	52.075971593	-1.020439648	153.0		
T	52.075930373	-1.020524189	153.0		
T	52.075894678	-1.020638841	152.9		
T	52.075877761	-1.020717909	152.9		
T	52.075867764	-1.020815587	152.9		
T	52.075863823	-1.020927258	152.9		
T	52.075879236	-1.021055965	152.8		
T	52.075913893	-1.021196706	152.7		
T	52.075958264	-1.021308423	152.6		
T	52.076011339	-1.021395820	152.4		
T	52.076069375	-1.021464673	152.2		
T	52.076140921	-1.021518935	152.0		
T	52.076235773	-1.021550003	152.0		
T	52.076316889	-1.021551742	152.0		
T	52.076393178	-1.021523320	152.0		
T	52.076471839	-1.021479177	152.0		
T	52.076545120	-1.021423351	152.0		
T	52.076762245	-1.021246546	152.0		
T	52.076950854	-1.021095812	152.0		
T	52.077247062	-1.020863677	151.9		
T	52.077446811	-1.020711810	151.1		
T	52.077524751	-1.020646936	151.0		
T	52.077594709	-1.020576687	151.0		
T	52.077669649	-1.020491390	151.0		
T	52.077821326	-1.020297871	151.0		
T	52.077926924	-1.020147883	151.0		
T	52.078011703	-1.020005692	151.0		
T	52.078071752	-1.019897880	151.0		
T	52.078134218	-1.019779135	151.0		
T	52.078236527	-1.019549592	151.0		
T	52.078286389	-1.019440952	151.0		
T	52.078339148	-1.019309658	151.0		
T	52.078366825	-1.019228337	151.0		
T	52.078396939	-1.019135539	151.0		
T	52.078427078	-1.019034113	151.0		
T	52.078462895	-1.018892719	151.0		
T	52.078479701	-1.018800734	151.0		
T	52.078497076	-1.018716720	151.0		
