type	latitude	longitude	altitude (m)	name	desc
T	52.078268578	-1.010904750	154.2	Silverstone National Outer	
T	52.078213767	-1.010870910	154.4		
T	52.078163419	-1.010842215	154.6		
T	52.078132604	-1.010827028	154.7		
T	52.078088519	-1.010802915	154.8		
T	52.077832157	-1.010678235	154.9		
T	52.077373516	-1.010491245	155.0		
T	52.076993095	-1.010365965	155.3		
T	52.076788440	-1.010312859	155.6		
T	52.076446565	-1.010237644	156.0		
T	52.076228255	-1.010206327	156.0		
T	52.076033561	-1.010181052	156.0		
T	52.075688808	-1.010160806	156.3		
T	52.075222496	-1.010131828	156.8		
T	52.074648361	-1.010083160	156.0		
T	52.074529456	-1.010061359	156.0		
T	52.074467684	-1.010048301	156.0		
T	52.074407765	-1.010035643	155.9		
T	52.074358016	-1.010017585	155.7		
T	52.074303917	-1.009996999	155.5		
T	52.074250152	-1.009969078	155.3		
T	52.074188848	-1.009932420	155.1		
T	52.074140226	-1.009904878	155.0		
T	52.074091229	-1.009877149	155.0		
T	52.074048625	-1.009843818	155.0		
T	52.073997094	-1.009802414	155.0		
T	52.073945851	-1.009761620	155.0		
T	52.073880886	-1.009710765	155.0		
T	52.073694573	-1.009506628	154.2		
T	52.073634467	-1.009457831	154.0		
T	52.073585012	-1.009427921	154.1		
T	52.073541924	-1.009404252	154.2		
T	52.073471957	-1.009386190	154.5		
T	52.073369491	-1.009366467	154.9		
T	52.073271161	-1.009389278	155.0		
T	52.073042397	-1.009514804	155.0		
T	52.072966858	-1.009641712	155.0		
T	52.072933517	-1.009731219	155.0		
T	52.072897958	-1.009841208	155.0		
T	52.072870385	-1.009959749	155.0		
T	52.072851585	-1.010084735	155.0		
T	52.072842544	-1.010221553	155.0		
T	52.072850891	-1.010371349	155.0		
T	52.072958386	-1.011237492	155.0		
T	52.072992403	-1.011345328	155.0		
T	52.073122158	-1.011681182	155.0		
T	52.073297425	-1.011969267	155.0		
T	52.073423800	-1.012174097	155.0		
T	52.073521233	-1.012334231	155.0		
T	52.074264399	-1.013644010	155.0		
T	52.075024766	-1.015008436	155.0		
T	52.076281414	-1.017256947	154.4		
T	52.076956471	-1.018538586	153.0		
T	52.077001124	-1.018650955	152.7		
T	52.077051976	-1.018800459	152.2		
T	52.077069403	-1.018913969	152.0		
T	52.077086155	-1.019054554	152.0		
T	52.077089365	-1.019147277	152.0		
T	52.077087712	-1.019251142	152.0		
T	52.077077615	-1.019363991	152.0		
