type	latitude	longitude	altitude (m)	name	desc
T	34.844967571	136.538548572	32.4	Suzuka Inner	
T	34.843107909	136.540418490	30.2		
T	34.842528113	136.541002603	27.2		
T	34.842128790	136.541408452	24.7		
T	34.841431211	136.542115107	22.9		
T	34.841112966	136.542442302	20.6		
T	34.840726217	136.542832135	18.5		
T	34.840433722	136.543126576	18.0		
T	34.840380465	136.543180144	18.0		
T	34.840328384	136.543226078	18.0		
T	34.840285516	136.543254228	18.0		
T	34.840231485	136.543286525	18.1		
T	34.840207257	136.543299787	18.1		
T	34.840185879	136.543311445	18.1		
T	34.840142525	136.543329537	18.0		
T	34.840096471	136.543346650	18.0		
T	34.840055766	136.543358028	17.9		
T	34.840012992	136.543365115	17.9		
T	34.839961984	136.543373810	18.1		
T	34.839907445	136.543376456	18.5		
T	34.839851023	136.543376019	18.8		
T	34.839774028	136.543361290	19.4		
T	34.839708988	136.543342268	19.9		
T	34.839386738	136.543217940	19.9		
T	34.839307086	136.543186945	19.7		
T	34.839266169	136.543168047	19.6		
T	34.839218533	136.543137195	19.4		
T	34.839177886	136.543103560	19.2		
T	34.839143833	136.543066955	19.2		
T	34.839121665	136.543036254	19.3		
T	34.839098609	136.542994277	19.3		
T	34.839076933	136.542955510	19.4		
T	34.839063472	136.542925933	19.4		
T	34.839049252	136.542894962	19.5		
T	34.839038209	136.542868009	19.6		
T	34.839029208	136.542836707	19.6		
T	34.839017877	136.542789917	19.6		
T	34.839010342	136.542743059	19.4		
T	34.839004145	136.542689835	18.9		
T	34.839002347	136.542626809	18.4		
T	34.839004972	136.542577117	17.9		
T	34.839010572	136.542533153	17.4		
T	34.839018238	136.542493420	17.1		
T	34.839025628	136.542460655	16.9		
T	34.839037150	136.542415821	16.8		
T	34.839055641	136.542367750	16.6		
T	34.839088961	136.542297930	16.4		
T	34.839125023	136.542241164	16.2		
T	34.839172693	136.542186079	15.9		
T	34.839246412	136.542121228	15.8		
T	34.839542124	136.541890418	17.3		
T	34.839847112	136.541652743	18.6		
T	34.840409041	136.541212023	19.4		
T	34.840444039	136.541181523	19.1		
T	34.840476555	136.541150626	18.9		
T	34.840531131	136.541089164	18.5		
T	34.840605882	136.540989008	18.1		
T	34.840652680	136.540902594	18.3		
T	34.840684101	136.540827346	18.7		
T	34.840707190	136.540762055	19.0		
T	34.840728227	136.540669556	19.8		
T	34.840739821	136.540582262	20.7		
T	34.840746389	136.540476777	21.6		
T	34.840744550	136.540342784	22.5		
T	34.840746204	136.540212130	23.9		
T	34.840749815	136.540126911	25.0		
T	34.840755368	136.540072353	25.6		
T	34.840766711	136.540014459	26.3		
T	34.840777826	136.539969460	26.8		
T	34.840787539	136.539935053	27.3		
T	34.840798050	136.539902879	27.7		
T	34.840811933	136.539868188	28.1		
T	34.840829379	136.539829331	28.5		
T	34.840848158	136.539790027	28.9		
T	34.840877568	136.539742347	29.4		
T	34.840901380	136.539706801	29.7		
T	34.840931771	136.539670020	30.0		
T	34.840982355	136.539618621	30.0		
T	34.841015762	136.539587278	29.8		
