type	latitude	longitude	altitude (m)	name	desc
T	34.845055597	136.538679315	34.0	Suzuka Outer	
T	34.843554215	136.540188645	32.3		
T	34.842689603	136.541061623	28.4		
T	34.841511134	136.542225833	23.9		
T	34.840658138	136.543070544	18.0		
T	34.840525095	136.543197829	18.0		
T	34.840487397	136.543234133	18.0		
T	34.840440794	136.543271368	18.0		
T	34.840352639	136.543336715	18.0		
T	34.840299596	136.543373157	17.8		
T	34.840228230	136.543413590	17.7		
T	34.840175693	136.543439882	17.6		
T	34.840093293	136.543468006	17.5		
T	34.840009049	136.543481683	17.5		
T	34.839932944	136.543490675	17.8		
T	34.839826165	136.543484678	18.4		
T	34.839757044	136.543470153	18.8		
T	34.839633082	136.543436007	19.3		
T	34.839245218	136.543286180	19.9		
T	34.839153203	136.543215799	19.6		
T	34.839102444	136.543170745	19.8		
T	34.839059755	136.543124871	19.9		
T	34.839026906	136.543081045	20.1		
T	34.839000538	136.543035063	20.2		
T	34.838981477	136.542998070	20.3		
T	34.838962356	136.542955485	20.4		
T	34.838940690	136.542899060	20.5		
T	34.838925541	136.542843155	20.6		
T	34.838913727	136.542779215	20.7		
T	34.838904268	136.542715965	20.2		
T	34.838902308	136.542614804	19.1		
T	34.838910608	136.542523074	18.1		
T	34.838930347	136.542426249	17.5		
T	34.838954641	136.542353200	17.1		
T	34.838985636	136.542276029	16.8		
T	34.839024002	136.542207952	16.5		
T	34.839099210	136.542106842	15.8		
T	34.839133506	136.542072698	15.6		
T	34.839498170	136.541787696	17.7		
T	34.839622980	136.541699704	18.4		
T	34.839821362	136.541542384	19.2		
T	34.840299642	136.541167337	21.3		
T	34.840353503	136.541123265	20.8		
T	34.840390972	136.541090212	20.4		
T	34.840430866	136.541050925	20.0		
T	34.840464476	136.541013464	19.8		
T	34.840484490	136.540988091	19.7		
T	34.840512529	136.540949882	19.6		
T	34.840535782	136.540911575	19.6		
T	34.840570584	136.540847022	19.7		
T	34.840589006	136.540804493	19.8		
T	34.840607744	136.540754841	19.9		
T	34.840623271	136.540704467	20.1		
T	34.840634036	136.540649495	20.4		
T	34.840652635	136.540522766	21.2		
T	34.840656045	136.540437330	21.9		
T	34.840654954	136.540268529	23.1		
T	34.840657564	136.540135558	25.2		
T	34.840663328	136.540058192	26.3		
T	34.840671932	136.540010078	27.0		
T	34.840679314	136.539974831	27.5		
T	34.840690359	136.539928761	28.1		
T	34.840702950	136.539886497	28.6		
T	34.840716030	136.539848604	29.0		
T	34.840732182	136.539808629	29.5		
T	34.840751845	136.539766366	30.0		
T	34.840780885	136.539711753	30.5		
T	34.840816430	136.539657448	31.2		
T	34.840833267	136.539632435	31.6		
T	34.840876798	136.539578269	32.0		
T	34.840924668	136.539531894	31.9		
T	34.840982000	136.539484671	31.4		
T	34.841026795	136.539454657	30.7		
T	34.841085861	136.539422199	29.8		
T	34.841143947	136.539395745	29.0		
T	34.841196217	136.539376577	28.4		
T	34.841233072	136.539363675	27.9		
T	34.841316908	136.539331392	26.7		
T	34.841440387	136.539293968	25.9		
T	34.841479450	136.539285630	26.2		
T	34.841625491	136.539238410	27.4		
T	34.841690879	136.539216080	28.0		
T	34.841735802	136.539200265	28.3		
T	34.841791639	136.539175642	28.9		
T	34.841840622	136.539151186	29.6		
T	34.841878219	136.539128078	30.3		
T	34.841912472	136.539102836	30.9		
T	34.841948311	136.539073486	31.6		
T	34.841987737	136.539037821	31.9		
T	34.842021254	136.539002932	32.2		
T	34.842056203	136.538960174	32.6		
T	34.842099720	136.538901150	33.1		
T	34.842132385	136.538844001	33.5		
T	34.842159779	136.538790085	33.8		
T	34.842179993	136.538743510	34.1		
T	34.842199727	136.538687423	34.5		
T	34.842214302	136.538630780	34.9		
T	34.842229811	136.538558572	35.0		
T	34.842240219	136.538482812	35.0		
T	34.842244920	136.538415304	35.1		
T	34.842251925	136.538120701	36.5		
T	34.842257440	136.537920852	37.8		
T	34.842261440	136.537881803	38.0		
T	34.842269687	136.537810420	38.4		
T	34.842279599	136.537749910	39.1		
T	34.842292218	136.537694126	40.1		
T	34.842311650	136.537622398	41.2		
T	34.842337715	136.537552088	42.0		
T	34.842368183	136.537482539	42.6		
T	34.842408224	136.537401385	43.1		
T	34.842451389	136.537333521	43.3		
T	34.842493963	136.537275831	43.3		
T	34.842552089	136.537208846	42.6		
T	34.842620152	136.537143706	41.1		
T	34.842682458	136.537097108	39.6		
T	34.842764508	136.537046106	37.6		
T	34.842854408	136.537002105	37.4		
T	34.842918052	136.536982714	37.3		
T	34.842986943	136.536971616	37.1		
T	34.843042660	136.536968587	37.0		
T	34.843089216	136.536969514	37.4		
T	34.843155129	136.536978803	38.2		
T	34.843198256	136.536991508	38.7		
T	34.843245769	136.537007954	39.2		
T	34.843270045	136.537013920	39.5		
T	34.843505437	136.537113048	41.3		
T	34.843564992	136.537145449	41.6		
T	34.843768695	136.537238671	40.2		
T	34.843836578	136.537269327	39.6		
T	34.843877696	136.537286061	39.3		
T	34.843924046	136.537301270	39.0		
T	34.843962841	136.537309110	38.8		
T	34.844011323	136.537315031	38.6		
T	34.844061898	136.537315750	38.4		
T	34.844126352	136.537313853	38.2		
T	34.844157254	136.537304236	38.1		
T	34.844203666	136.537295905	38.3		
T	34.844259684	136.537278870	38.7		
T	34.844304380	136.537262142	39.0		
T	34.844356449	136.537235529	39.5		
T	34.844412498	136.537200811	40.3		
T	34.844460514	136.537163969	41.2		
T	34.844516263	136.537112139	42.5		
T	34.844587759	136.537031989	44.5		
T	34.844630353	136.536968498	45.9		
T	34.844670229	136.536889212	47.3		
T	34.844791586	136.536608438	49.9		
T	34.844855588	136.536446739	49.6		
T	34.844888877	136.536346305	49.2		
T	34.844915253	136.536264763	48.9		
T	34.844944636	136.536142187	48.6		
T	34.844976015	136.535985459	48.1		
T	34.845002939	136.535785436	47.3		
T	34.845011395	136.535655787	45.6		
T	34.845015800	136.535457537	43.6		
T	34.845009865	136.535294221	42.3		
T	34.844994823	136.535137351	42.5		
T	34.844957610	136.534955210	43.5		
T	34.844923188	136.534836107	44.9		
T	34.844878810	136.534711163	46.2		
T	34.844795661	136.534496918	46.3		
T	34.844732892	136.534349093	46.1		
T	34.844656095	136.534205188	45.1		
T	34.844579870	136.534081945	44.3		
T	34.844535310	136.534015626	43.9		
T	34.844487125	136.533953642	43.4		
T	34.844420332	136.533869606	43.0		
T	34.844357411	136.533799585	43.2		
T	34.844257349	136.533696169	43.2		
T	34.844137588	136.533580123	43.0		
T	34.843989805	136.533431401	42.6		
