type	latitude	longitude	altitude (m)	name	desc
T	51.207692860	-1.608896826	97.0	Thruxton Inner	
T	51.207787251	-1.608966317	97.0		
T	51.208084787	-1.609153181	97.0		
T	51.208218923	-1.609233341	97.0		
T	51.208344624	-1.609297510	97.0		
T	51.208457114	-1.609347843	97.0		
T	51.208594531	-1.609401149	97.0		
T	51.208696057	-1.609432887	97.3		
T	51.208751210	-1.609446048	97.5		
T	51.208811674	-1.609456372	97.7		
T	51.208886779	-1.609464875	98.0		
T	51.208941339	-1.609465430	98.0		
T	51.208988273	-1.609461135	98.0		
T	51.209040355	-1.609454946	98.0		
T	51.209098250	-1.609438577	98.0		
T	51.209152702	-1.609421304	98.0		
T	51.209218924	-1.609388472	98.0		
T	51.209285816	-1.609347623	98.0		
T	51.209334879	-1.609308370	98.0		
T	51.209396397	-1.609248125	98.0		
T	51.209429897	-1.609215306	98.0		
T	51.209532551	-1.609095908	98.0		
T	51.209620155	-1.608982111	98.0		
T	51.209690899	-1.608882374	98.0		
T	51.209740730	-1.608803399	98.0		
T	51.209840177	-1.608645695	98.0		
T	51.209971740	-1.608409404	97.3		
T	51.210024959	-1.608301709	97.2		
T	51.210073945	-1.608184230	97.5		
T	51.210110371	-1.608091344	97.6		
T	51.210166051	-1.607950059	97.2		
T	51.210198472	-1.607869466	97.1		
T	51.210245778	-1.607761282	97.1		
T	51.210294704	-1.607656961	97.5		
T	51.210351802	-1.607542301	97.9		
T	51.210427478	-1.607393342	98.2		
T	51.210539976	-1.607198509	98.9		
T	51.210615995	-1.607073690	98.6		
T	51.210709850	-1.606935896	98.6		
T	51.210798961	-1.606823717	98.9		
T	51.210921854	-1.606689029	99.0		
T	51.211021420	-1.606581210	99.0		
T	51.211180914	-1.606430525	99.3		
T	51.211337387	-1.606291465	99.8		
T	51.211442240	-1.606212074	100.1		
T	51.211533575	-1.606145368	100.1		
T	51.211641093	-1.606077588	100.0		
T	51.211753762	-1.606016634	100.2		
T	51.211862338	-1.605969298	100.3		
T	51.211979385	-1.605929434	100.4		
T	51.212081939	-1.605900865	100.6		
T	51.212239252	-1.605868219	101.0		
T	51.212406677	-1.605842476	101.0		
T	51.212549046	-1.605816007	101.0		
T	51.212630701	-1.605798353	101.0		
T	51.212725035	-1.605766679	101.0		
T	51.212835309	-1.605718062	101.1		
T	51.212925699	-1.605670461	101.2		
T	51.212979492	-1.605635589	101.2		
T	51.213030118	-1.605600147	101.1		
T	51.213060777	-1.605572422	101.1		
T	51.213078940	-1.605543657	101.0		
T	51.213094520	-1.605507855	101.0		
T	51.213106786	-1.605459398	101.0		
T	51.213112428	-1.605419019	101.0		
T	51.213090954	-1.604373334	99.1		
T	51.213091584	-1.604226355	99.0		
T	51.213103030	-1.604124365	98.9		
T	51.213118265	-1.604055715	98.7		
T	51.213139206	-1.603994534	98.6		
T	51.213168704	-1.603944160	98.5		
T	51.213666814	-1.603442958	98.3		
T	51.213869950	-1.603241483	98.0		
T	51.214012927	-1.603101459	98.0		
T	51.214048016	-1.603061700	98.0		
T	51.214070905	-1.603031783	97.9		
T	51.214088872	-1.603000541	97.9		
T	51.214102593	-1.602965170	97.8		
T	51.214118038	-1.602908262	97.6		
T	51.214143502	-1.602772054	97.1		
T	51.214161834	-1.602643424	97.0		
T	51.214172895	-1.602553618	97.0		
T	51.214184787	-1.602445429	96.8		
T	51.214193220	-1.602349052	96.4		
T	51.214200430	-1.602234735	96.0		
T	51.214212783	-1.601970475	95.8		
T	51.214214770	-1.601782670	95.3		
T	51.214210095	-1.601603403	95.0		
T	51.214187395	-1.601231873	94.9		
T	51.214156250	-1.600895321	95.0		
T	51.214114749	-1.600585763	95.0		
T	51.214040362	-1.600134346	94.7		
T	51.213947282	-1.599713563	94.8		
T	51.213846626	-1.599355657	95.1		
T	51.213718826	-1.598959509	95.0		
T	51.213578644	-1.598528547	95.1		
T	51.213540078	-1.598417683	95.3		
T	51.213512191	-1.598343874	95.4		
T	51.213474483	-1.598254498	95.5		
T	51.213449806	-1.598194913	95.6		
T	51.213348688	-1.597987356	95.7		
T	51.213262131	-1.597820644	95.4		
T	51.213194036	-1.597673857	95.5		
T	51.213150215	-1.597558047	95.7		
T	51.213115947	-1.597445883	95.7		
T	51.213083723	-1.597333534	95.4		
T	51.213058873	-1.597217962	95.0		
T	51.213033332	-1.597057546	95.0		
T	51.213011883	-1.596843136	95.0		
T	51.213000459	-1.596694388	95.0		
T	51.212984024	-1.596414831	95.0		
T	51.212978242	-1.596211690	95.0		
T	51.212978183	-1.596091286	95.0		
T	51.212985546	-1.595979490	95.0		
T	51.212996411	-1.595868165	95.0		
T	51.213013188	-1.595763911	95.0		
T	51.213031538	-1.595661535	95.0		
T	51.213064957	-1.595495156	95.0		
T	51.213106276	-1.595328278	94.9		
T	51.213162420	-1.595136851	94.6		
T	51.213291874	-1.594756188	94.1		
T	51.213316706	-1.594684987	94.1		
T	51.213378840	-1.594462887	94.0		
T	51.213449718	-1.594173736	94.0		
T	51.213520990	-1.593882613	93.3		
T	51.213554578	-1.593714415	93.2		
T	51.213576149	-1.593570065	93.1		
T	51.213593032	-1.593441495	93.1		
T	51.213601155	-1.593348880	93.0		
T	51.213609164	-1.593265414	93.0		
T	51.213614416	-1.593155456	93.0		
T	51.213620615	-1.593007662	93.0		
T	51.213621186	-1.592862640	93.0		
T	51.213616204	-1.592746236	93.0		
T	51.213592397	-1.592450700	93.1		
T	51.213572952	-1.592297379	93.0		
T	51.213546930	-1.592143220	93.0		
T	51.213514109	-1.592001885	93.0		
T	51.213473892	-1.591864425	93.0		
T	51.213378135	-1.591559601	93.0		
T	51.213345573	-1.591471497	93.0		
T	51.213304849	-1.591380648	93.0		
T	51.213224114	-1.591239753	93.0		
T	51.213159156	-1.591142995	93.0		
T	51.213095437	-1.591062943	93.0		
T	51.212984181	-1.590932704	93.0		
T	51.212878286	-1.590823529	93.0		
T	51.212759883	-1.590729784	92.6		
T	51.212698427	-1.590687274	92.3		
T	51.212548395	-1.590601424	92.0		
T	51.212448547	-1.590554904	92.0		
T	51.212298923	-1.590497896	91.8		
T	51.212071529	-1.590426971	91.2		
T	51.211864496	-1.590374452	90.8		
T	51.211703613	-1.590358913	90.4		
T	51.211415793	-1.590356163	90.0		
T	51.211196720	-1.590364736	90.0		
T	51.211071188	-1.590383106	89.9		
T	51.210804606	-1.590448293	89.5		
T	51.210507737	-1.590552220	88.8		
T	51.210330957	-1.590639935	88.2		
T	51.210138753	-1.590778999	88.0		
T	51.209352306	-1.591414109	85.8		
T	51.208845063	-1.591898912	84.7		
T	51.208551549	-1.592189875	84.0		
T	51.208437827	-1.592324366	84.1		
T	51.208163962	-1.592708974	83.4		
T	51.208066778	-1.592882353	83.4		
T	51.208019781	-1.592986996	83.6		
T	51.207983994	-1.593084216	83.7		
