type	latitude	longitude	altitude (m)	name	desc
T	51.207635903	-1.609080313	97.0	Thruxton Outer	
T	51.207722440	-1.609143888	97.0		
T	51.207831037	-1.609215940	97.0		
T	51.207963958	-1.609296284	97.0		
T	51.208190402	-1.609434094	97.0		
T	51.208265060	-1.609474445	97.0		
T	51.208447486	-1.609553898	97.2		
T	51.208573914	-1.609601968	97.5		
T	51.208673527	-1.609633560	97.8		
T	51.208740019	-1.609649949	97.9		
T	51.208829842	-1.609667199	98.0		
T	51.208919002	-1.609673598	98.0		
T	51.208998925	-1.609668394	98.0		
T	51.209082388	-1.609651935	98.0		
T	51.209179805	-1.609617828	98.0		
T	51.209270361	-1.609574336	98.2		
T	51.209329079	-1.609537074	98.2		
T	51.209409701	-1.609473377	98.1		
T	51.209517072	-1.609366676	98.2		
T	51.209597376	-1.609270700	98.2		
T	51.209702222	-1.609134415	98.0		
T	51.209810419	-1.608984161	98.1		
T	51.209904326	-1.608834417	98.0		
T	51.210005866	-1.608656666	98.0		
T	51.210132946	-1.608416697	97.6		
T	51.210198034	-1.608250092	97.6		
T	51.210270942	-1.608061378	97.0		
T	51.210332981	-1.607918624	97.2		
T	51.210424486	-1.607724151	97.6		
T	51.210497934	-1.607579673	97.9		
T	51.210579440	-1.607429420	98.4		
T	51.210659619	-1.607294903	98.9		
T	51.210749219	-1.607153540	98.9		
T	51.210820537	-1.607055042	99.0		
T	51.210909714	-1.606947775	99.3		
T	51.211022349	-1.606824636	99.4		
T	51.211113111	-1.606731622	99.2		
T	51.211222611	-1.606626088	99.4		
T	51.211362141	-1.606498872	99.9		
T	51.211488341	-1.606399895	100.4		
T	51.211604653	-1.606317539	100.6		
T	51.211720196	-1.606249798	100.6		
T	51.211793633	-1.606210487	100.7		
T	51.211869330	-1.606176682	100.8		
T	51.211979303	-1.606136164	101.0		
T	51.212126510	-1.606095945	101.0		
T	51.212305625	-1.606063246	101.2		
T	51.212467744	-1.606038205	101.7		
T	51.212590574	-1.606012748	101.6		
T	51.212685993	-1.605989076	101.6		
T	51.212774658	-1.605955332	101.4		
T	51.212897578	-1.605900591	101.7		
T	51.212965856	-1.605863563	101.8		
T	51.213045396	-1.605814640	101.9		
T	51.213117953	-1.605757199	101.7		
T	51.213148937	-1.605722973	101.6		
T	51.213182988	-1.605673330	101.4		
T	51.213210985	-1.605609381	101.2		
T	51.213228512	-1.605552964	101.0		
T	51.213239024	-1.605490749	101.0		
T	51.213241891	-1.605414752	101.0		
T	51.213222353	-1.604367329	99.4		
T	51.213222396	-1.604313706	99.3		
T	51.213221770	-1.604267494	99.2		
T	51.213223266	-1.604232664	99.1		
T	51.213223934	-1.604208278	99.1		
T	51.213227762	-1.604178718	99.0		
T	51.213234631	-1.604149629	99.0		
T	51.213245608	-1.604124479	99.0		
T	51.213259902	-1.604104151	98.9		
T	51.213275595	-1.604081250	98.9		
T	51.214014653	-1.603343745	98.0		
T	51.214124234	-1.603232208	98.0		
T	51.214169588	-1.603171612	98.0		
T	51.214205206	-1.603107299	97.9		
T	51.214222695	-1.603057656	97.8		
T	51.214237465	-1.603002080	97.6		
T	51.214264574	-1.602841589	97.1		
T	51.214282227	-1.602725170	96.9		
T	51.214296708	-1.602604795	96.7		
T	51.214312815	-1.602464118	96.4		
T	51.214325652	-1.602287302	96.1		
T	51.214333958	-1.602168839	95.9		
T	51.214339496	-1.602057812	95.6		
T	51.214343074	-1.601948445	95.4		
T	51.214343172	-1.601861080	95.3		
T	51.214342318	-1.601773064	95.1		
T	51.214337143	-1.601596292	94.8		
T	51.214324343	-1.601361561	94.4		
T	51.214307741	-1.601125244	94.5		
T	51.214287699	-1.600917320	94.6		
T	51.214271789	-1.600788010	94.6		
T	51.214231521	-1.600494232	94.5		
T	51.214193850	-1.600258075	94.7		
T	51.214167449	-1.600108891	94.4		
T	51.214112708	-1.599838248	94.2		
T	51.214071748	-1.599666568	94.3		
T	51.213993121	-1.599369837	94.6		
