type	latitude	longitude	altitude (m)	name	desc
T	39.483596918	-0.631099475	149.1	Valencia Inner	
T	39.485798134	-0.626985682	146.4		
T	39.486021299	-0.626569456	144.7		
T	39.486096277	-0.626434545	144.2		
T	39.486142955	-0.626350461	143.8		
T	39.486184066	-0.626289630	143.5		
T	39.486226542	-0.626243443	143.3		
T	39.486286608	-0.626192409	142.8		
T	39.486342140	-0.626155302	142.5		
T	39.486399515	-0.626129272	142.2		
T	39.486450375	-0.626109815	142.2		
T	39.486531098	-0.626094763	142.5		
T	39.486604131	-0.626094957	142.7		
T	39.486669605	-0.626102677	143.0		
T	39.486838823	-0.626177553	143.7		
T	39.488597359	-0.627105650	147.6		
T	39.489135549	-0.627385769	146.4		
T	39.489229546	-0.627446217	147.0		
T	39.489276196	-0.627482516	147.6		
T	39.489332252	-0.627535595	148.6		
T	39.489367667	-0.627580672	149.3		
T	39.489386816	-0.627625712	149.7		
T	39.489394578	-0.627685943	150.1		
T	39.489395442	-0.627753236	150.4		
T	39.489394805	-0.627806833	150.6		
T	39.489386730	-0.627857810	150.7		
T	39.489361166	-0.627909136	150.7		
T	39.489318003	-0.627960449	150.6		
T	39.489265175	-0.627981514	150.3		
T	39.489174510	-0.628000927	149.7		
T	39.489006172	-0.628018047	148.7		
T	39.488297704	-0.628158856	147.1		
T	39.488196911	-0.628179970	147.3		
T	39.488150873	-0.628187609	147.3		
T	39.488120506	-0.628191010	147.4		
T	39.488090901	-0.628191183	147.4		
T	39.488051239	-0.628185112	147.5		
T	39.488016785	-0.628173859	147.4		
T	39.487984516	-0.628156658	147.4		
T	39.487894360	-0.628076936	147.3		
T	39.487760987	-0.627935422	146.9		
T	39.487001796	-0.627140523	149.4		
T	39.486946010	-0.627094374	149.5		
T	39.486903882	-0.627070731	149.5		
T	39.486853187	-0.627054557	149.5		
T	39.486805841	-0.627047791	149.6		
T	39.486772335	-0.627047229	149.6		
T	39.486733654	-0.627057710	149.7		
T	39.486684299	-0.627079871	149.9		
T	39.486636753	-0.627125449	150.3		
T	39.486104565	-0.628024637	146.2		
T	39.486015220	-0.628203923	146.5		
T	39.485988001	-0.628283457	146.8		
T	39.485972435	-0.628352532	147.1		
T	39.485961558	-0.628422616	147.3		
T	39.485958729	-0.628492836	147.6		
T	39.485959410	-0.628554431	147.9		
T	39.485966007	-0.628618111	148.0		
T	39.485978366	-0.628688519	147.8		
T	39.486000575	-0.628763584	147.6		
T	39.486035086	-0.628846977	147.3		
T	39.486075897	-0.628919217	147.2		
T	39.486111158	-0.628970320	147.3		
T	39.486158893	-0.629020789	147.4		
T	39.486210672	-0.629065274	147.5		
T	39.486252762	-0.629091272	147.6		
T	39.486303527	-0.629116441	147.7		
T	39.486348580	-0.629134071	147.8		
T	39.486438206	-0.629152847	147.9		
T	39.487389633	-0.629157094	148.4		
T	39.488075004	-0.629162951	150.1		
