type	latitude	longitude	altitude (m)	name	desc
T	39.483502802	-0.631015410	152.3	Valencia Outer	
T	39.484947487	-0.628316821	148.2		
T	39.485931246	-0.626475053	145.2		
T	39.485965452	-0.626411772	145.0		
T	39.486102558	-0.626167395	145.0		
T	39.486162286	-0.626114513	145.0		
T	39.486232250	-0.626059305	145.3		
T	39.486301169	-0.626014327	145.3		
T	39.486355197	-0.625990513	145.2		
T	39.486427073	-0.625965819	145.0		
T	39.486466017	-0.625956868	145.0		
T	39.486531397	-0.625948000	145.0		
T	39.486605870	-0.625950313	145.0		
T	39.486691547	-0.625965623	145.0		
T	39.486775649	-0.625993933	145.0		
T	39.487132599	-0.626183064	145.7		
T	39.487891957	-0.626585991	147.0		
T	39.488455770	-0.626885852	148.0		
T	39.489075565	-0.627204015	149.7		
T	39.489227136	-0.627283017	150.0		
T	39.489333845	-0.627348372	150.1		
T	39.489392956	-0.627405973	150.2		
T	39.489448463	-0.627496580	150.0		
T	39.489479841	-0.627588130	150.3		
T	39.489497448	-0.627678730	150.4		
T	39.489495798	-0.627789963	150.4		
T	39.489475530	-0.627874552	150.6		
T	39.489430808	-0.627965150	150.6		
T	39.489382061	-0.628043019	150.7		
T	39.489315728	-0.628100446	150.8		
T	39.489228282	-0.628123238	150.7		
T	39.488824266	-0.628193087	150.5		
T	39.488213159	-0.628314550	150.5		
T	39.488091248	-0.628330880	150.1		
T	39.488046933	-0.628325947	150.0		
T	39.487989964	-0.628310342	149.9		
T	39.487939327	-0.628286630	149.8		
T	39.487896154	-0.628253834	149.7		
T	39.487840949	-0.628195817	149.5		
T	39.487741475	-0.628097618	149.2		
T	39.487390317	-0.627729488	148.5		
T	39.487167563	-0.627492665	147.8		
T	39.487052663	-0.627376407	147.4		
T	39.487011323	-0.627335746	147.2		
T	39.486932189	-0.627268023	147.0		
T	39.486844592	-0.627232929	147.0		
T	39.486792137	-0.627232252	147.0		
T	39.486728605	-0.627254381	146.9		
T	39.486674786	-0.627311325	146.7		
T	39.486594345	-0.627428606	146.4		
T	39.486180149	-0.628140172	147.0		
T	39.486121338	-0.628246038	147.0		
T	39.486084743	-0.628346437	147.1		
T	39.486069978	-0.628446722	147.1		
T	39.486068998	-0.628532418	147.2		
T	39.486085570	-0.628635984	147.2		
T	39.486118901	-0.628748903	147.5		
T	39.486170481	-0.628838917	147.8		
T	39.486240625	-0.628921330	148.1		
T	39.486336987	-0.628984339	148.3		
T	39.486404347	-0.629005348	148.5		
T	39.486571118	-0.629016063	148.8		
T	39.487437211	-0.629018954	150.8		
T	39.488049608	-0.629018764	152.5		
T	39.488205325	-0.629022990	152.8		
T	39.488328245	-0.629072164	153.0		
T	39.488382806	-0.629109883	153.2		
T	39.488421496	-0.629145867	153.3		
T	39.488457068	-0.629190560	153.5		
T	39.488502195	-0.629263772	153.8		
T	39.488538303	-0.629349513	154.2		
T	39.488563417	-0.629437496	154.6		
T	39.488575223	-0.629566003	154.8		
T	39.488562331	-0.629707996	154.8		
T	39.488513056	-0.629849057	155.6		
T	39.488457914	-0.629968912	156.2		
T	39.487980278	-0.630858121	157.8		
T	39.487158527	-0.632374337	160.4		
T	39.487031796	-0.632595875	161.1		
T	39.486989137	-0.632664601	161.1		
T	39.486930518	-0.632743577	160.9		
T	39.486870166	-0.632802995	161.2		
T	39.486811182	-0.632853371	161.4		
T	39.486691421	-0.632942863	161.6		
T	39.486163586	-0.633347268	162.2		
T	39.485835983	-0.633598889	162.0		
T	39.485700528	-0.633704431	161.9		
T	39.485595244	-0.633745599	161.6		
T	39.485479914	-0.633754669	161.5		
T	39.485379021	-0.633734969	161.4		
T	39.485281086	-0.633684887	161.3		
T	39.485180934	-0.633583996	160.9		
T	39.485127800	-0.633497467	160.6		
T	39.485075904	-0.633366526	160.1		
T	39.485032559	-0.633176669	159.4		
T	39.485029635	-0.633006709	158.7		
T	39.485063311	-0.632843121	158.0		
T	39.485128522	-0.632671956	157.3		
T	39.485200199	-0.632518633	157.0		
T	39.485279070	-0.632354694	156.5		
T	39.485488524	-0.631964457	155.3		
T	39.485620969	-0.631731014	155.0		
T	39.485677417	-0.631655744	155.0		
T	39.485801189	-0.631546666	154.9		
T	39.485889328	-0.631497124	155.0		
T	39.486124616	-0.631430369	155.0		
T	39.486400163	-0.631359801	155.0		
T	39.486551939	-0.631357935	155.0		
T	39.486655360	-0.631353203	155.0		
T	39.486815825	-0.631223399	155.0		
T	39.486947364	-0.631041244	154.8		
T	39.487072256	-0.630796352	154.4		
T	39.487170851	-0.630579038	154.1		
T	39.487221825	-0.630477703	154.0		
T	39.487244531	-0.630412258	154.0		
T	39.487256339	-0.630338571	154.0		
T	39.487253704	-0.630266977	154.0		
T	39.487244687	-0.630207673	154.0		
T	39.487223605	-0.630155279	154.0		
T	39.487196210	-0.630093071	153.9		
T	39.487168122	-0.630061260	153.8		
T	39.487122884	-0.630019140	153.6		
T	39.487085796	-0.629996648	153.5		
T	39.487046064	-0.629983017	153.4		
T	39.486996780	-0.629978060	153.3		
T	39.486941741	-0.629984512	153.1		
T	39.486850087	-0.630041247	153.0		
T	39.484877865	-0.631543852	153.4		
T	39.484783326	-0.631620327	153.8		
T	39.484704516	-0.631686412	154.1		
T	39.484651225	-0.631737574	154.5		
T	39.484612638	-0.631808037	154.9		
T	39.484590659	-0.631889886	155.3		
T	39.484588199	-0.631971439	155.5		
T	39.484595403	-0.632115836	155.8		
T	39.484622408	-0.632447400	156.8		
T	39.484627411	-0.632603068	157.4		
T	39.484622582	-0.632744600	157.9		
T	39.484614949	-0.632875825	158.4		
T	39.484600251	-0.633011084	158.8		
T	39.484562218	-0.633305102	159.9		
T	39.484524238	-0.633522248	161.2		
T	39.484484157	-0.633697529	161.9		
T	39.484420558	-0.633884652	162.1		
T	39.484329404	-0.634064069	162.8		
T	39.484249742	-0.634211922	163.2		
T	39.484130692	-0.634396033	163.8		
T	39.483939622	-0.634622106	164.6		
T	39.483703670	-0.634843609	164.6		
T	39.483494814	-0.634995994	164.6		
T	39.483261902	-0.635118422	164.2		
T	39.483051281	-0.635207694	163.7		
T	39.482892538	-0.635242976	163.3		
T	39.482672581	-0.635261321	162.6		
T	39.482461976	-0.635257200	161.8		
T	39.482199648	-0.635238670	160.8		
T	39.481925754	-0.635189145	159.6		
T	39.481811951	-0.635169059	159.1		
T	39.481768072	-0.635156056	158.9		
T	39.481721824	-0.635127574	158.7		
T	39.481690564	-0.635102166	158.5		
T	39.481656754	-0.635062269	158.2		
T	39.481618096	-0.635002638	158.0		
T	39.481585267	-0.634929992	157.7		
T	39.481564621	-0.634846543	157.4		
T	39.481561627	-0.634758337	157.1		
T	39.481570311	-0.634676757	156.9		
T	39.481590174	-0.634593766	156.7		
T	39.481615304	-0.634530504	156.4		
T	39.481945299	-0.633910810	155.1		
T	39.482032015	-0.633752018	155.2		
T	39.482590103	-0.632723277	155.0		
T	39.483180735	-0.631615427	151.5		
T	39.483330937	-0.631335477	153.0		
T	39.483450749	-0.631112903	152.6		
T	39.483502802	-0.631015410	152.3		
