type	latitude	longitude	altitude (m)	name	desc
T	52.388485630	4.540642212	4.9	Zandvoort Inner	
T	52.390634528	4.542089113	5.1		
T	52.391604600	4.542744474	5.7		
T	52.391627395	4.542760943	5.8		
T	52.391644282	4.542777753	5.8		
T	52.391664048	4.542800835	5.9		
T	52.391693576	4.542849461	6.0		
T	52.391714886	4.542892107	6.1		
T	52.391735872	4.542944978	6.1		
T	52.391755684	4.543014015	6.1		
T	52.391770365	4.543084964	6.1		
T	52.391777413	4.543163299	6.2		
T	52.391778344	4.543218483	6.2		
T	52.391774256	4.543277357	6.2		
T	52.391765137	4.543343754	6.1		
T	52.391753238	4.543393329	6.2		
T	52.391735609	4.543452749	6.2		
T	52.391716185	4.543499759	6.1		
T	52.391691204	4.543547966	6.0		
T	52.391659629	4.543594043	5.9		
T	52.391625816	4.543633845	6.0		
T	52.391593899	4.543662213	6.1		
T	52.391565658	4.543682431	6.2		
T	52.391538984	4.543695667	6.1		
T	52.391506724	4.543706489	6.1		
T	52.391474128	4.543710979	6.0		
T	52.391423422	4.543707192	5.8		
T	52.391374830	4.543695020	5.6		
T	52.391322162	4.543666750	5.4		
T	52.391292882	4.543647594	5.3		
T	52.390897628	4.543354326	4.8		
T	52.390702966	4.543225407	4.4		
T	52.390517839	4.543107035	4.3		
T	52.390306543	4.542982867	4.9		
T	52.390208846	4.542931556	5.0		
T	52.390081280	4.542876549	5.2		
T	52.389992170	4.542849859	5.5		
T	52.389853345	4.542817683	5.3		
T	52.389696543	4.542804422	4.8		
T	52.389300412	4.542807669	4.6		
T	52.389263541	4.542806361	4.7		
T	52.389228465	4.542793516	4.8		
T	52.389195838	4.542771518	4.9		
T	52.389159488	4.542737141	4.9		
T	52.389123238	4.542697306	5.1		
T	52.389100836	4.542668085	5.2		
T	52.389084519	4.542644673	5.3		
T	52.389064511	4.542610788	5.4		
T	52.389046216	4.542577354	5.5		
T	52.389030195	4.542542983	5.6		
T	52.389014983	4.542504150	5.6		
T	52.388996818	4.542449350	5.7		
T	52.388965271	4.542327330	5.7		
T	52.388808638	4.541603000	5.0		
T	52.388788900	4.541511886	5.0		
T	52.388772498	4.541452586	5.0		
T	52.388741365	4.541381060	5.0		
T	52.388708904	4.541319994	5.0		
T	52.388675031	4.541271731	5.0		
T	52.388641930	4.541232000	5.0		
T	52.388600068	4.541195785	4.9		
T	52.388554097	4.541167047	4.5		
T	52.388498395	4.541145830	4.1		
T	52.388449172	4.541138745	3.8		
T	52.388394562	4.541144895	3.3		
T	52.388359279	4.541154311	3.0		
T	52.388321681	4.541172706	2.9		
T	52.388293079	4.541192123	3.0		
T	52.388265705	4.541214536	3.2		
T	52.388235669	4.541242587	3.4		
T	52.388201362	4.541283653	3.6		
T	52.388169382	4.541333908	3.9		
T	52.388140213	4.541393264	4.1		
T	52.388113784	4.541464663	4.6		
T	52.388091487	4.541544046	5.2		
T	52.388078971	4.541618731	5.6		
T	52.388072319	4.541684446	5.9		
T	52.388072312	4.541793481	6.3		
T	52.388078907	4.541863187	6.5		
T	52.388081608	4.541912169	6.7		
T	52.388198616	4.542480527	8.0		
T	52.388294434	4.542968138	9.2		
T	52.388313995	4.543044400	9.6		
T	52.388341947	4.543194707	9.9		
T	52.388370862	4.543362200	9.6		
T	52.388393378	4.543504733	9.6		
T	52.388414700	4.543667898	9.7		
T	52.388426687	4.543808137	9.7		
T	52.388435826	4.543961822	9.7		
T	52.388443844	4.544202523	9.7		
T	52.388444164	4.544421871	9.2		
T	52.388440632	4.544637014	8.9		
T	52.388428178	4.544882393	8.5		
T	52.388411084	4.545070982	8.0		
T	52.388384693	4.545295120	7.1		
T	52.388338487	4.545617620	5.8		
T	52.388294992	4.545925530	4.9		
T	52.388265335	4.546164205	4.5		
T	52.388243787	4.546390028	4.6		
T	52.388232920	4.546618867	4.7		
T	52.388232428	4.546821184	4.5		
T	52.388244959	4.547009182	4.3		
T	52.388268194	4.547205949	4.2		
T	52.388302969	4.547401270	4.1		
T	52.388336142	4.547544098	4.1		
T	52.388385713	4.547720968	4.5		
T	52.388464506	4.547970287	4.4		
T	52.388572383	4.548249878	4.7		
T	52.388644018	4.548431157	5.2		
T	52.388700743	4.548581754	5.6		
T	52.388730406	4.548664575	5.9		
T	52.388768255	4.548776259	6.5		
T	52.388800843	4.548878912	7.0		
T	52.388831052	4.548986878	7.5		
T	52.388856986	4.549095386	7.8		
T	52.388896961	4.549333812	7.9		
T	52.388922959	4.549561102	8.3		
T	52.388931538	4.549748015	8.9		
T	52.388932534	4.549921620	9.4		
T	52.388929244	4.550170044	10.4		
T	52.388923179	4.550443649	10.9		
T	52.388912922	4.550705173	11.0		
T	52.388907396	4.550838950	11.1		
T	52.388889859	4.551309838	11.0		
T	52.388879356	4.551570507	10.2		
T	52.388866308	4.551750334	9.8		
T	52.388849972	4.551890374	9.7		
T	52.388828505	4.552019808	9.7		
T	52.388796493	4.552162787	9.9		
T	52.388772929	4.552245437	9.9		
T	52.388753594	4.552305350	9.6		
T	52.388717869	4.552396132	8.8		
T	52.388677350	4.552484073	7.8		
T	52.388637174	4.552558488	7.3		
T	52.388608283	4.552605133	7.0		
T	52.388564641	4.552671055	6.7		
T	52.388510907	4.552740191	6.3		
T	52.388454207	4.552800793	6.0		
T	52.388394931	4.552855299	5.8		
T	52.388346514	4.552894344	5.5		
T	52.388286915	4.552931486	5.5		
T	52.388204873	4.552968384	5.5		
T	52.388116739	4.552992154	5.3		
T	52.388028641	4.553001708	5.2		
T	52.387979021	4.553000750	5.3		
T	52.387925623	4.552994393	5.3		
